Ranking,University Name,Location,Teaching,International Outlook,Research,Citations,Industry Income,Overall score,Free
1,Stanford University,United States,96.7,66.5,92.5,80.9,72.4,89.9,免费评估
2,剑桥大学University of Cambridge,United Kingdom,90.7,75.2,96.3,62.8,58.8,86.7,免费评估
3,牛津大学University of Oxford,United Kingdom,90.1,75.8,95.5,68.1,35.2,86.4,免费评估
4,Massachusetts Institute of Technology,United States,88.4,86.3,88.8,76.3,56.5,85.8,免费评估
5,Harvard University,United States,90.8,59.1,92.5,68.3,36.0,84.3,免费评估
6,伦敦大学学院University College London,United Kingdom,83.1,94.2,90.0,73.2,39.5,84.0,免费评估
7,Princeton University,United States,92.6,53.2,90.9,59.8,52.8,83.1,免费评估
8,University of Chicago,United States,92.9,56.1,88.6,59.3,34.7,82.0,免费评估
9,Yale University,United States,92.2,42.3,88.7,65.5,38.0,81.8,免费评估
10,"University of California, Berkeley",United States,87.1,43.5,89.5,69.8,35.1,80.8,免费评估
11,爱丁堡大学The University of Edinburgh,United Kingdom,80.4,80.9,84.7,66.5,35.0,78.8,免费评估
12,Columbia University,United States,87.4,64.5,82.9,59.9,42.1,78.7,免费评估
13,University of Pennsylvania,United States,82.9,68.6,79.8,75.0,39.2,78.4,免费评估
14,"University of California, Los Angeles",United States,82.4,43.0,86.8,70.7,35.1,78.1,免费评估
15,University of Michigan-Ann Arbor,United States,78.8,43.1,80.3,81.6,36.8,76.0,免费评估
16,LMU Munich,Germany,73.9,63.3,84.8,55.3,97.3,75.0,免费评估
17,New York University,United States,76.2,48.7,83.7,64.6,37.5,74.3,免费评估
18,University of Toronto,Canada,75.7,58.3,84.9,58.1,34.7,74.2,免费评估
19,Humboldt University of Berlin,Germany,78.2,51.2,83.6,45.8,45.3,72.5,免费评估
19,Paris Sciences et Lettres – PSL Research University Paris,France,76.1,64.7,81.5,51.2,36.3,72.5,免费评估
21,Leiden University,Netherlands,71.2,79.8,79.5,52.8,52.7,71.7,免费评估
22,KU Leuven,Belgium,68.1,65.5,80.3,54.1,99.7,71.2,免费评估
23,Peking University,China,73.6,98.9,64.4,64.4,80.3,70.8,免费评估
24,伦敦国王学院King's College London,United Kingdom,73.0,73.2,74.1,58.8,34.7,70.3,免费评估
25,Free University of Berlin,Germany,71.9,59.5,76.3,50.0,39.0,68.5,免费评估
26,Cornell University,United States,69.8,52.8,69.9,71.8,34.8,68.0,免费评估
27,杜伦大学Durham University,United Kingdom,70.6,68.7,66.3,68.4,44.6,67.9,免费评估
28,伦敦政治经济学院The London School of Economics and Political Science,United Kingdom,65.9,86.8,64.5,75.8,34.7,67.7,免费评估
29,Duke University,United States,70.1,39.1,65.1,73.9,100.0,67.2,免费评估
30,University of Vienna,Austria,68.2,84.5,67.4,53.7,35.6,66.1,免费评估
31,University of Hong Kong,Hong Kong,64.6,97.1,62.4,66.2,37.5,65.8,免费评估
32,Heidelberg University,Germany,69.3,65.8,66.3,53.1,38.8,64.7,免费评估
33,Australian National University,Australia,53.0,79.9,72.1,71.3,39.6,64.6,免费评估
34,University of Tübingen,Germany,58.5,59.4,66.6,67.7,91.8,63.8,免费评估
35,National University of Singapore,Singapore,57.5,88.0,67.7,54.6,69.5,63.5,免费评估
36,Johns Hopkins University,United States,61.9,58.4,63.1,71.4,56.8,63.4,免费评估
37,University of Amsterdam,Netherlands,54.4,77.0,66.0,75.1,34.7,63.0,免费评估
38,The University of Tokyo,Japan,69.8,41.6,67.7,41.6,78.2,62.9,免费评估
39,"Rutgers, the State University of New Jersey",United States,61.8,25.3,66.3,73.3,40.8,61.9,免费评估
40,约克大学The University of York,United Kingdom,59.1,73.6,58.6,73.5,34.8,61.6,免费评估
41,University of Sydney,Australia,61.5,72.0,57.7,58.6,60.1,60.4,免费评估
42,University of Melbourne,Australia,54.7,86.6,59.6,58.1,88.9,60.3,免费评估
43,曼彻斯特大学The University of Manchester,United Kingdom,58.0,68.1,60.0,64.7,34.8,59.9,免费评估
44,University of Wisconsin-Madison,United States,62.1,32.3,58.8,72.4,45.4,59.7,免费评估
45,McGill University,Canada,55.5,90.8,58.7,59.3,34.7,59.4,免费评估
46,Tsinghua University,China,60.2,65.2,55.3,56.9,100.0,59.2,免费评估
47,圣安德鲁斯大学University of St Andrews,United Kingdom,62.3,75.7,56.8,52.0,35.0,59.0,免费评估
48,Panthéon-Sorbonne University – Paris 1,France,66.7,35.8,64.3,40.0,37.5,58.7,免费评估
49,ETH Zurich,Switzerland,49.9,95.9,50.7,75.0,98.5,58.6,免费评估
50,兰卡斯特大学Lancaster University,United Kingdom,50.6,72.3,56.2,79.3,35.5,58.2,免费评估
51,华威大学The University of Warwick,United Kingdom,55.1,63.8,58.7,63.4,34.7,57.9,免费评估
