Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,,,54.0%,216,85.1%,100.0,免费评估
2,牛津大学University of Oxford,,,41.3%,207,84.8%,93.7,免费评估
2,杜伦大学Durham University,83.9%,76.0%,34.6%,205,86.8%,93.7,免费评估
4,圣安德鲁斯大学University of St Andrews,94.5%,89.6%,26.4%,186*,76.7%,91.7,免费评估
5,谢菲尔德大学The University of Sheffield,,,41.2%,,72.1%,91.6,免费评估
6,埃克塞特大学University of Exeter,88.3%,88.3%,35.1%,176,76.0%,91.5,免费评估
7,伯明翰大学University of Birmingham,83.1%,77.5%,33.7%,164,85.6%,90.4,免费评估
8,利兹大学University of Leeds,85.4%,81.9%,30.6%,165,82.9%,90.0,免费评估
9,伦敦大学学院University College London,,,43.7%,182,82.8%,89.6,免费评估
10,布里斯托大学University of Bristol,,,36.0%,173,68.0%,89.2,免费评估
11,曼彻斯特大学The University of Manchester,,,48.9%,157,65.7%,88.1,免费评估
12,巴斯大学University of Bath,81.3%,82.1%,27.4%,159,73.9%,85.8,免费评估
13,格拉斯哥大学University of Glasgow,78.3%,75.6%,26.3%,169,76.2%,85.4,免费评估
14,朴茨茅斯大学University of Portsmouth,91.7%,89.1%,32.2%,102,69.4%,85.0,免费评估
14,诺丁汉大学University of Nottingham,81.0%,71.6%,39.4%,130,70.7%,85.0,免费评估
16,爱丁堡大学The University of Edinburgh,76.6%,75.7%,30.3%,177,55.7%,82.0,免费评估
