Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
72,"University of Maryland, College Park",United States,91.0,89.3,56.2,72.9,71.5,免费评估
75,杜伦大学Durham University,United Kingdom,81.9,92.1,58.7,71.6,71.3,免费评估
76,Universitat de Barcelona,Spain,76.2,80.5,64.5,76.3,71.2,免费评估
77,The University of Georgia,United States,87.8,88.4,60.4,56.8,71.1,免费评估
78,Macquarie University,Australia,87.8,89.6,55.7,77.0,71.0,免费评估
79,Arizona State University,United States,90.7,87.5,59.3,56.4,70.9,免费评估
79,Florida State University,United States,90.1,89.7,56.4,67.1,70.9,免费评估
81,Northwestern University,United States,94.0,97.0,51.3,69.2,70.8,免费评估
82,Duke University,United States,85.6,91.7,55.7,72.6,70.6,免费评估
82,University of Virginia,United States,90.1,91.3,55.6,65.6,70.6,免费评估
84,Freie Universitaet Berlin,Germany,77.4,82.2,63.2,69.9,70.5,免费评估
84,University of Otago,New Zealand,86.0,92.1,55.1,72.8,70.5,免费评估
84,University of Southern California,United States,89.1,92.7,54.6,68.1,70.5,免费评估
87,Aarhus University,Denmark,82.8,88.1,57.9,71.5,70.3,免费评估
87,Brown University,United States,89.1,96.5,53.6,64.2,70.3,免费评估
87,Delft University of Technology,Netherlands,74.4,79.9,67.0,59.7,70.3,免费评估
87,The University of Tokyo,Japan,64.8,60.5,73.2,86.2,70.3,免费评估
91,Sorbonne University,France,67.6,65.1,71.5,78.9,70.2,免费评估
92,University of Jyväskylä,Finland,84.9,88.0,63.4,37.6,70.0,免费评估
93,Cornell University,United States,82.4,87.8,56.7,74.6,69.9,免费评估
94,University of Granada,Spain,77.4,76.9,65.3,62.8,69.8,免费评估
94,Université de Montréal,Canada,83.2,96.0,54.1,68.7,69.8,免费评估
94,University of Limerick,Ireland,83.2,88.5,57.4,67.9,69.8,免费评估
97,Universität Hamburg,Germany,80.0,86.7,60.0,63.8,69.7,免费评估
98,Leiden University,Netherlands,83.2,91.4,55.5,68.8,69.6,免费评估
98,National Taiwan University (NTU),Taiwan,70.9,77.5,64.8,75.5,69.6,免费评估
98,约克大学The University of York,United Kingdom,80.5,92.3,55.9,70.5,69.6,免费评估
