Ranking,University Name,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,87.9,48.3,533.0,73.9,100.0,免费评估
2,杜伦大学Durham University,87.1,35.0,557.0,87.2,98.5,免费评估
3,牛津大学University of Oxford,88.0,50.0,526.0,61.7,97.4,免费评估
4,伯明翰大学University of Birmingham,88.9,33.3,,69.4,90.5,免费评估
5,爱丁堡大学The University of Edinburgh,68.9,40.0,451.0,84.4,87.0,免费评估
6,伦敦大学亚非学院SOAS University of London,70.9,36.7,398.0,75.0,82.2,免费评估
7,埃克塞特大学University of Exeter,75.6,23.3,425.0,73.8,79.9,免费评估
8,曼彻斯特大学The University of Manchester,73.8,30.0,401.0,44.4,73.5,免费评估
9,利兹大学University of Leeds,79.5,,366.0,75.4,70.3,免费评估
10,威斯敏斯特大学University of Westminster,76.7,,281.0,44.9,58.2,免费评估
