Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
75,金斯顿大学Kingston University,74.0,2.1,222.0,44.0,65.4,免费评估
76,Leeds Trinity University College,75.0,,251.0,60.0,65.0,免费评估
78,伯明翰城市大学Birmingham City University,71.0,1.1,231.0,58.0,64.8,免费评估
79,巴斯斯巴大学Bath Spa University,78.0,,274.0,47.0,64.5,免费评估
80,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,75.0,0.9,295.0,40.0,64.3,免费评估
81,威斯敏斯特大学University of Westminster,70.0,1.3,269.0,51.0,64.2,免费评估
82,纽波特大学University of Wales Newport,83.0,,252.0,35.0,64.1,免费评估
82,南安普顿索伦特大学Southampton Solent University,75.0,,262.0,54.0,64.1,免费评估
84,桑德兰大学University of Sunderland,79.0,,241.0,47.0,64.0,免费评估
85,约克圣约翰大学York St John University,75.0,,255.0,54.0,63.8,免费评估
86,切斯特大学University of Chester,72.0,,259.0,60.0,63.7,免费评估
87,北安普顿大学The University of Northampton,77.0,0.8,223.0,44.0,63.6,免费评估
88,蒂赛德大学Teesside University,73.0,1.2,243.0,45.0,63.5,免费评估
89,格罗斯特大学University of Gloucestershire,69.0,0.4,255.0,63.0,63.4,免费评估
89,温切斯特大学University of Winchester,76.0,,263.0,50.0,63.4,免费评估
91,考文垂大学Coventry University,72.0,0.7,292.0,46.0,63.2,免费评估
91,斯塔福德郡大学Staffordshire University,68.0,1.4,222.0,57.0,63.2,免费评估
93,伦敦南岸大学London South Bank University,79.0,1.0,176.0,38.0,62.7,免费评估
94,伍斯特大学University of Worcester,74.0,,255.0,49.0,62.0,免费评估
95,威尔士大学卡迪夫学院UWIC,71.0,0.4,228.0,56.0,61.8,免费评估
95,奇切斯特大学University of Chichester,80.0,,233.0,37.0,61.8,免费评估
97,坎特伯雷大学Canterbury Christ Church University,74.0,,214.0,52.0,61.5,免费评估
97,罗汉普顿大学Roehampton University,78.0,,208.0,44.0,61.5,免费评估
97,西苏格兰大学University of the West of Scotland,,1.3,242.0,42.0,61.5,免费评估
100,波尔顿大学University of Bolton,75.0,0.4,172.0,51.0,61.2,免费评估
101,阿伯泰邓迪大学University of Abertay Dundee,,0.6,197.0,54.0,60.6,免费评估
102,伯明翰大学学院University College Birmingham,72.0,,224.0,51.0,60.5,免费评估
103,利物浦约翰摩尔斯大学Liverpool John Moores University,71.0,0.3,254.0,44.0,59.9,免费评估
104,利兹都会大学Leeds Metropolitan University,62.0,0.7,262.0,59.0,59.7,免费评估
105,格林多大学Glyndwr University,,,230.0,49.0,59.4,免费评估
106,艾芝西尔大学Edge Hill University,70.0,,206.0,54.0,59.3,免费评估
107,米德塞斯大学Middlesex University,71.0,1.3,171.0,39.0,59.0,免费评估
108,贝德福德大学University of Bedfordshire,74.0,0.6,141.0,44.0,58.8,免费评估
109,剑桥安鲁大学Anglia Ruskin University,69.0,,225.0,50.0,58.5,免费评估
110,德比大学University of Derby,72.0,,212.0,41.0,57.6,免费评估
111,玛格利特女王学校Queen Margaret's School,,0.2,242.0,41.0,57.2,免费评估
112,哥比亚大学University of Cumbria,71.0,,230.0,36.0,56.8,免费评估
113,新白金汉大学Buckinghamshire New University,67.0,0.7,181.0,43.0,56.1,免费评估
114,东伦敦大学University of East London,69.0,,211.0,40.0,55.5,免费评估
115,伦敦都市大学London Metropolitan University,61.0,0.6,217.0,35.0,51.8,免费评估
116,创意艺术大学University for the Creative Arts,54.0,,238.0,48.0,49.6,免费评估
