Ranking,University Name,Student Satisfaction,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
78,哈德斯菲尔德大学University of Huddersfield,63%,0.2/9,275,45.00%,61.1,免费评估
79,伦敦南岸大学London South Bank University,67%,2.6/9,210,33.00%,61.0,免费评估
80,Canterbury CC,74%,,224,39.00%,60.4,免费评估
81,北安普顿大学The University of Northampton,75%,,220,36.00%,60.1,免费评估
82,格拉摩根大学University of Glamorgan,57%,2.0/9,282,31.00%,58.9,免费评估
83,格罗斯特大学University of Gloucestershire,60%,0.2/9,251,44.00%,58.2,免费评估
84,艾芝西尔大学Edge Hill University,71%,,272,25.00%,58.0,免费评估
85,Thames Valley,62%,0.9/9,201,45.00%,57.9,免费评估
86,哥比亚大学University of Cumbria,66%,,262,33.00%,57.4,免费评估
87,新白金汉大学Buckinghamshire New University,67%,,196,44.00%,57.2,免费评估
88,格林多大学Glyndwr University,,,276,30.00%,57.1,免费评估
89,曼彻斯特城市大学Manchester Metropolitan University,67%,1.8/9,204,24.00%,55.8,免费评估
