Ranking,University Name,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,3.5,554.0,0.89,0.84,免费评估
2,牛津大学University of Oxford,3.7,539.0,0.86,0.8,免费评估
3,伦敦政治经济学院The London School of Economics and Political Science,3.7,474.0,0.76,0.96,免费评估
4,圣安德鲁斯大学University of St Andrews,4.1,485.0,0.84,0.61,免费评估
5,杜伦大学Durham University,2.6,488.0,0.79,0.78,免费评估
6,谢菲尔德大学The University of Sheffield,3.8,436.0,0.81,0.61,免费评估
7,中央兰开夏大学University of Central Lancashire,4.3,465.0,0.72,0.68,免费评估
8,伦敦国王学院King's College London,3.9,440.0,0.78,0.62,免费评估
9,阿伯丁大学University of Aberdeen,1.5,305.0,0.91,0.78,免费评估
10,布里斯托大学University of Bristol,3.5,455.0,0.75,0.66,免费评估
11,斯特林大学University of Stirling,3.4,293.0,0.83,0.67,免费评估
12,埃克塞特大学University of Exeter,2.9,403.0,0.83,0.57,免费评估
12,约克大学The University of York,2.7,449.0,0.77,0.67,免费评估
14,华威大学The University of Warwick,2.7,479.0,0.76,0.65,免费评估
15,阿伯泰邓迪大学University of Abertay Dundee,2.3,364.0,0.84,0.63,免费评估
15,埃塞克斯大学University of Essex,3.3,309.0,0.87,0.5,免费评估
17,诺丁汉大学University of Nottingham,3.2,400.0,0.75,0.66,免费评估
18,纽卡斯尔大学Newcastle University,2.5,366.0,0.75,0.76,免费评估
19,利兹大学University of Leeds,3.1,389.0,0.77,0.56,免费评估
20,爱丁堡大学The University of Edinburgh,3.1,450.0,0.7,0.64,免费评估
20,卡迪夫大学Cardiff University,1.7,374.0,0.86,0.54,免费评估
22,格拉斯哥大学University of Glasgow,2.3,410.0,0.81,0.49,免费评估
23,雷丁大学University of Reading,3.7,349.0,0.77,0.48,免费评估
24,赫尔大学The University of Hull,1.7,311.0,0.81,0.64,免费评估
25,南安普顿大学University of Southampton,2.0,384.0,0.77,0.57,免费评估
25,伯明翰大学University of Birmingham,2.0,396.0,0.74,0.64,免费评估
27,东英吉利大学University of East Anglia,1.8,352.0,0.79,0.52,免费评估
28,肯特大学University of Kent,2.0,316.0,0.76,0.62,免费评估
29,布拉德福德大学University of Bradford,2.4,,0.77,0.5,免费评估
30,萨塞克斯大学University of Sussex,2.6,375.0,0.69,0.59,免费评估
31,曼彻斯特大学The University of Manchester,2.3,428.0,0.69,0.56,免费评估
32,兰卡斯特大学Lancaster University,2.2,376.0,0.78,0.41,免费评估
33,中央兰开夏大学University of Central Lancashire,,266.0,0.82,0.75,免费评估
34,布莱顿大学University of Brighton,3.6,248.0,0.78,0.38,免费评估
35,利物浦大学The University of Liverpool,1.4,397.0,0.74,0.53,免费评估
35,格林威治大学The University of Greenwich,,270.0,0.87,0.56,免费评估
37,斯塔福德郡大学Staffordshire University,1.2,,0.78,0.53,免费评估
38,牛津布鲁克斯大学Oxford Brookes University,0.8,290.0,0.79,0.57,免费评估
39,西英格兰大学University of the West of England,0.8,265.0,0.83,0.5,免费评估
40,米德塞斯大学Middlesex University,3.1,225.0,0.72,,免费评估
41,英国女王大学Queen's University Belfast,2.4,326.0,0.74,0.37,免费评估
42,赫特福德大学University of Hertfordshire,1.6,233.0,0.78,0.5,免费评估
42,海斯罗珀学院Heythrop College of the University of London,0.7,308.0,0.75,0.6,免费评估
44,基尔大学Keele University,,323.0,0.75,0.6,免费评估
45,曼彻斯特城市大学Manchester Metropolitan University,2.0,263.0,0.74,0.38,免费评估
46,兰彼得大学University of Wales Lampeter,0.9,229.0,0.74,,免费评估
47,剑桥安鲁大学Anglia Ruskin University,,255.0,0.78,0.37,免费评估
48,罗汉普顿大学Roehampton University,,248.0,0.72,0.5,免费评估
49,伍尔弗汉普顿大学University of Wolverhampton,,219.0,0.71,0.43,免费评估
50,纽波特大学University of Wales Newport,,245.0,0.73,0.29,免费评估
