Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,圣安德鲁斯大学University of St Andrews,84.4%,81.8%,46.7%,197,,100.0,免费评估
2,剑桥大学University of Cambridge,,,45.0%,220,88.9%,99.4,免费评估
3,杜伦大学Durham University,81.8%,73.1%,34.6%,194,88.5%,95.5,免费评估
4,爱丁堡大学The University of Edinburgh,78.2%,73.5%,30.1%,176,89.2%,92.3,免费评估
5,牛津大学University of Oxford,,,36.2%,198,89.6%,91.1,免费评估
6,曼彻斯特大学The University of Manchester,77.3%,63.0%,48.9%,147,75.0%,89.6,免费评估
7,利兹大学University of Leeds,83.2%,86.2%,30.6%,155,69.2%,88.1,免费评估
8,伦敦大学亚非学院SOAS University of London,82.0%,75.2%,26.3%,151,76.0%,87.1,免费评估
9,伯明翰大学University of Birmingham,73.5%,67.8%,50.9%,137*,57.1%,84.5,免费评估
10,埃克塞特大学University of Exeter,59.7%,59.1%,36.0%,167,76.7%,84.3,免费评估
11,威斯敏斯特大学University of Westminster,81.4%,86.6%,11.3%,106*,66.7%,78.3,免费评估
