Rank,Institution,Country/Region,Pub,CNCI,IC,TOP,AWARD,Total Score,Free
1,University of Michigan-Ann Arbor,UnitedStates,64.9,77.5,81.1,100.0,100.0,358.7,免费评估
2,University of Washington,UnitedStates,56.2,90.0,75.3,84.5,79.8,325.5,免费评估
3,University of North Carolina at Chapel Hill,UnitedStates,54.6,84.3,63.9,93.9,78.3,323.9,免费评估
4,伦敦国王学院King's College London,UnitedKingdom,62.4,80.9,77.0,83.1,72.3,314.1,免费评估
5,Harvard University,UnitedStates,71.0,72.8,76.4,83.1,54.4,296.5,免费评估
6,"University of California, Los Angeles",UnitedStates,45.1,79.4,73.9,59.8,95.3,294.5,免费评估
7,"University of California, San Francisco",UnitedStates,41.0,79.2,69.4,61.7,87.9,283.7,免费评估
8,University of Pennsylvania,UnitedStates,47.2,76.2,74.5,70.7,73.9,282.8,免费评估
9,University of Sao Paulo,Brazil,100.0,66.6,61.2,63.6,30.2,272.6,免费评估
10,University of Florida,UnitedStates,47.7,66.9,67.4,61.7,72.3,262.1,免费评估
11,KU Leuven,Belgium,43.3,97.4,92.5,48.8,52.2,260.2,免费评估
12,University of Southern California,UnitedStates,39.8,68.7,89.4,63.6,69.1,259.1,免费评估
13,"University at Buffalo, the State University of New York",UnitedStates,34.3,97.3,72.8,57.7,54.4,258.3,免费评估
14,伦敦大学学院University College London,UnitedKingdom,52.8,79.4,83.5,51.2,56.4,256.5,免费评估
15,曼彻斯特大学The University of Manchester,UnitedKingdom,44.2,72.5,78.6,43.6,73.9,249.9,免费评估
16,Osaka University,Japan,41.6,67.6,56.9,70.7,58.4,249.7,免费评估
17,New York University,UnitedStates,59.8,73.0,83.6,43.6,56.4,249.6,免费评估
18,Tokyo Medical and Dental University,Japan,59.0,67.9,64.0,67.3,39.9,246.9,免费评估
19,University of Bern,Switzerland,66.7,89.3,96.1,43.6,26.1,245.0,免费评估
20,"University of Pittsburgh, Pittsburgh Campus",UnitedStates,35.8,75.9,69.3,65.5,50.0,241.1,免费评估
21,University of Helsinki,Finland,41.1,79.9,81.7,51.2,52.2,240.8,免费评估
22,Radboud University Nijmegen,Netherlands,45.9,72.8,84.3,61.7,42.6,239.9,免费评估
23,University of Turku,Finland,39.0,80.8,86.6,46.3,56.4,239.8,免费评估
24,伯明翰大学University of Birmingham,UnitedKingdom,37.7,88.4,78.6,48.8,47.7,238.3,免费评估
25,University of Zurich,Switzerland,65.5,87.7,89.0,40.8,26.1,238.0,免费评估
26,University of Gothenburg,Sweden,56.6,85.5,76.3,46.3,33.7,237.5,免费评估
27,University of British Columbia,Canada,39.2,73.4,90.4,46.3,60.3,237.3,免费评估
28,University of Alabama at Birmingham,UnitedStates,37.7,72.5,62.0,40.8,72.3,235.7,免费评估
29,The University of Adelaide,Australia,43.0,65.4,74.1,46.3,65.7,235.2,免费评估
30,University of Toronto,Canada,46.2,73.8,77.1,40.8,58.4,234.5,免费评估
31,University of Iowa,UnitedStates,45.6,65.8,58.9,55.6,54.4,233.2,免费评估
32,Seoul National University,SouthKorea,65.6,64.6,49.0,83.1,0.0,223.0,免费评估
33,Peking University,China,56.6,69.4,59.8,84.5,0.0,222.5,免费评估
34,University of Amsterdam,Netherlands,50.2,88.8,80.2,67.3,0.0,222.3,免费评估
35,University of Geneva,Switzerland,46.7,81.4,84.4,34.5,42.6,222.1,免费评估
36,VU University Amsterdam,Netherlands,53.9,86.9,78.4,65.5,0.0,222.0,免费评估
37,The University of Hong Kong,China-HongKong,53.9,77.0,82.9,34.5,39.9,221.8,免费评估
38,Augusta University,UnitedStates,40.0,82.2,91.0,46.3,33.7,220.4,免费评估
39,McGill University,Canada,31.7,67.5,88.4,55.6,47.7,220.2,免费评估
40,University of Copenhagen,Denmark,40.5,93.6,86.2,26.7,39.9,218.0,免费评估
41,Sichuan University,China,55.3,75.5,65.2,72.4,0.0,216.2,免费评估
42,University of Connecticut,UnitedStates,39.2,69.7,62.9,40.8,52.2,214.5,免费评估
43,"University of Maryland, Baltimore",UnitedStates,40.5,90.4,75.3,34.5,33.7,214.2,免费评估
44,The University of Texas Health Science Center at San Antonio,UnitedStates,41.1,80.8,66.4,48.8,30.2,214.1,免费评估
45,Columbia University,UnitedStates,37.4,74.7,64.2,43.6,45.2,213.8,免费评估
46,伦敦大学玛丽女王学院Queen Mary University of London,UnitedKingdom,38.4,83.6,80.3,43.6,30.2,211.9,免费评估
47,"University of Minnesota, Twin Cities",UnitedStates,42.2,85.7,76.3,34.5,33.7,211.3,免费评估
48,Boston University,UnitedStates,35.5,66.7,79.0,37.8,54.4,210.1,免费评估
49,University of Groningen,Netherlands,39.4,82.8,66.3,26.7,47.7,209.8,免费评估
50,University of Campinas,Brazil,73.8,70.0,62.4,53.5,0.0,209.7,免费评估
