Ranking,University Name,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,伦敦国王学院King's College London,3.4,413.0,,0.8,免费评估
2,萨里大学University of Surrey,3.0,415.0,0.74,0.82,免费评估
3,诺丁汉大学University of Nottingham,2.8,349.0,0.8,0.87,免费评估
4,雷丁大学University of Reading,2.2,336.0,0.81,0.74,免费评估
5,英国女王大学Queen's University Belfast,1.7,316.0,0.79,0.81,免费评估
6,布莱顿大学University of Brighton,1.8,,,0.73,免费评估
7,格林威治大学The University of Greenwich,1.6,,0.82,0.7,免费评估
7,考文垂大学Coventry University,,370.0,,0.79,免费评估
9,纽卡斯尔大学Newcastle University,2.0,387.0,0.83,0.46,免费评估
10,阿尔斯特大学University of Ulster,1.6,298.0,0.81,0.73,免费评估
11,利兹大学University of Leeds,2.8,375.0,0.66,0.56,免费评估
12,罗伯特高登大学The Robert Gordon University,,367.0,,0.73,免费评估
13,利兹都会大学Leeds Metropolitan University,,300.0,0.88,0.8,免费评估
14,巴斯斯巴大学Bath Spa University,,297.0,0.88,0.74,免费评估
15,利物浦约翰摩尔斯大学Liverpool John Moores University,1.4,243.0,0.81,0.71,免费评估
16,曼彻斯特城市大学Manchester Metropolitan University,1.3,311.0,,0.64,免费评估
17,诺桑比亚大学Northumbria University,1.5,288.0,0.8,0.52,免费评估
18,普利茅斯大学University of Plymouth,0.9,,0.68,0.8,免费评估
19,谢菲尔德哈莱姆大学Sheffield Hallam University,,276.0,0.81,0.74,免费评估
19,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,,329.0,0.8,0.65,免费评估
21,玛格丽特女王大学Queen Margaret University,,330.0,,0.64,免费评估
22,威尔士大学卡迪夫学院UWIC,1.0,232.0,0.8,0.67,免费评估
23,牛津布鲁克斯大学Oxford Brookes University,,311.0,0.72,0.66,免费评估
24,切斯特大学University of Chester,0.8,357.0,0.58,0.63,免费评估
25,贝德福德大学University of Bedfordshire,,260.0,0.87,0.48,免费评估
26,伯恩茅斯大学Bournemouth University,,241.0,0.68,0.75,免费评估
27,哈德斯菲尔德大学University of Huddersfield,,253.0,0.83,0.39,免费评估
28,罗汉普顿大学Roehampton University,,207.0,,0.65,免费评估
29,圣玛丽学院St Mary's College,,253.0,0.73,0.48,免费评估
