Ranking,University Name,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,84.8,60.0,647.0,97.0,100.0,免费评估
2,萨里大学University of Surrey,89.6,43.3,488.0,93.8,91.3,免费评估
3,南安普顿大学University of Southampton,88.8,38.3,499.0,96.1,90.4,免费评估
4,帝国理工学院Imperial College London,85.9,38.3,557.0,90.4,89.9,免费评估
5,利兹大学University of Leeds,88.7,46.7,419.0,89.0,88.3,免费评估
6,格拉斯哥大学University of Glasgow,88.4,35.0,480.0,89.0,87.1,免费评估
7,巴斯大学University of Bath,91.9,36.7,447.0,84.0,87.0,免费评估
8,伦敦大学学院University College London,85.7,36.7,527.0,82.6,86.7,免费评估
9,思克莱德大学University of Strathclyde,86.8,26.7,493.0,91.6,85.1,免费评估
10,谢菲尔德大学The University of Sheffield,89.9,32.7,396.0,91.9,84.8,免费评估
11,曼彻斯特大学The University of Manchester,86.0,40.0,433.0,81.7,84.2,免费评估
12,赫瑞瓦特大学Heriot Watt University,92.0,25.0,421.0,86.3,83.4,免费评估
13,伯明翰大学University of Birmingham,88.4,26.7,405.0,91.8,82.7,免费评估
14,约克大学The University of York,92.2,25.0,412.0,81.0,82.1,免费评估
15,拉夫堡大学Loughborough University,87.8,30.0,365.0,89.9,81.6,免费评估
15,阿伯丁大学University of Aberdeen,75.6,31.7,458.0,100.0,81.6,免费评估
17,纽卡斯尔大学Newcastle University,83.0,30.0,407.0,90.1,80.8,免费评估
18,布拉德福德大学University of Bradford,81.2,28.3,435.0,88.1,80.1,免费评估
19,班戈大学Bangor University,88.0,43.3,299.0,75.0,79.9,免费评估
20,埃克塞特大学University of Exeter,83.1,25.0,435.0,86.5,79.7,免费评估
21,英国女王大学Queen's University Belfast,82.4,33.3,396.0,81.1,79.2,免费评估
22,埃塞克斯大学University of Essex,79.4,33.3,348.0,95.0,78.9,免费评估
23,爱丁堡大学The University of Edinburgh,76.1,28.3,460.0,86.1,78.2,免费评估
24,诺丁汉大学University of Nottingham,80.5,28.3,402.0,80.2,77.0,免费评估
25,利物浦大学The University of Liverpool,80.6,28.3,381.0,82.8,76.8,免费评估
26,雷丁大学University of Reading,87.7,16.7,368.0,82.5,76.4,免费评估
27,Cardiff University,85.5,23.3,337.0,83.1,76.2,免费评估
28,伦敦城市大学City University London,87.9,21.7,375.0,59.5,73.4,免费评估
28,布鲁内尔大学Brunel University,83.6,20.0,341.0,77.8,73.4,免费评估
30,肯特大学University of Kent,88.1,23.3,251.0,76.2,72.9,免费评估
