Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
65,罗汉普顿大学Roehampton University,76.90%,77.10%,20.60%,282,67.40%,84.0,免费评估
67,伦敦都市大学London Metropolitan University,88.00%,88.70%,,258,60.10%,83.3,免费评估
68,东伦敦大学University of East London,78.90%,82.90%,7.60%,294,59.70%,82.6,免费评估
69,蒂赛德大学Teesside University,80.30%,81.90%,2.40%,313,58.00%,82.5,免费评估
70,利兹圣三一大学Leeds Trinity University,79.80%,81.60%,0.80%,313,58.70%,82.3,免费评估
71,桑德兰大学University of Sunderland,81.30%,86.00%,2.40%,300,53.30%,81.9,免费评估
72,萨福克学院University Campus Suffolk,87.90%,90.10%,,278,46.50%,81.4,免费评估
73,格林威治大学The University of Greenwich,67.30%,78.80%,7.40%,343,58.30%,80.9,免费评估
74,格林多大学Glyndwr University,82.90%,79.30%,3.60%,247,56.10%,80.2,免费评估
75,约克圣约翰大学York St John University,69.10%,71.40%,5.50%,302,64.60%,80.0,免费评估
75,北安普顿大学The University of Northampton,82.80%,83.60%,,283,48.00%,80.0,免费评估
77,哥比亚大学University of Cumbria,73.80%,75.30%,3.20%,263,58.70%,78.7,免费评估
78,新白金汉大学Buckinghamshire New University,70.30%,76.10%,0.90%,251,54.50%,76.6,免费评估
