Ranking,University Name,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,格拉斯哥大学University of Glasgow,2.7,502,0.87,1.0,免费评估
2,纽卡斯尔大学Newcastle University,2.8,488,0.86,1.0,免费评估
3,曼彻斯特大学The University of Manchester,3.7,451,0.78,1.0,免费评估
4,谢菲尔德大学The University of Sheffield,3.0,452,0.87,1.0,免费评估
5,利兹大学University of Leeds,2.9,445,0.8,1.0,免费评估
6,卡迪夫大学Cardiff University,2.9,452,0.76,1.0,免费评估
7,英国女王大学Queen's University Belfast,2.5,430,0.89,1.0,免费评估
8,布里斯托大学University of Bristol,3.0,456,0.71,1.0,免费评估
9,伦敦国王学院King's College London,3.6,470,0.69,0.99,免费评估
10,利物浦大学The University of Liverpool,2.2,459,0.76,1.0,免费评估
11,邓迪大学University of Dundee,2.3,463,0.8,0.99,免费评估
12,伯明翰大学University of Birmingham,2.5,438,0.86,0.99,免费评估
13,伦敦大学玛丽女王学院Queen Mary University of London,3.5,446,0.67,0.98,免费评估
