Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
75,温切斯特大学University of Winchester,307.0,4.15,,44.0,74.2,免费评估
76,切斯特大学University of Chester,261.0,4.09,,,73.7,免费评估
77,坎特伯雷大学Canterbury Christ Church University,239.0,4.08,,,72.8,免费评估
78,谢菲尔德哈莱姆大学Sheffield Hallam University,296.0,4.1,,40.0,72.7,免费评估
79,米德塞斯大学Middlesex University,239.0,4.03,,,72.4,免费评估
80,伍斯特大学University of Worcester,279.0,3.78,,,72.0,免费评估
81,东伦敦大学University of East London,245.0,3.87,,,71.2,免费评估
82,北安普顿大学The University of Northampton,222.0,3.98,,,71.2,免费评估
83,中央兰开夏大学University of Central Lancashire,,4.05,1.2,30.0,70.0,免费评估
84,西苏格兰大学University of the West of Scotland,,4.07,,34.0,69.8,免费评估
85,伦敦南岸大学London South Bank University,178.0,3.93,,,68.9,免费评估
