Ranking,University Name,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,4.6,564.0,0.85,0.94,免费评估
2,萨里大学University of Surrey,3.1,355.0,0.9,0.95,免费评估
3,布里斯托大学University of Bristol,3.6,464.0,0.78,0.94,免费评估
4,南安普顿大学University of Southampton,2.8,451.0,0.86,0.79,免费评估
5,谢菲尔德大学The University of Sheffield,3.7,376.0,0.79,0.85,免费评估
5,纽卡斯尔大学Newcastle University,2.9,,0.78,0.96,免费评估
7,巴斯大学University of Bath,2.5,460.0,0.82,0.86,免费评估
8,帝国理工学院Imperial College London,3.8,490.0,0.68,0.84,免费评估
9,拉夫堡大学Loughborough University,3.2,383.0,0.81,0.8,免费评估
10,诺丁汉大学University of Nottingham,3.5,391.0,0.78,0.72,免费评估
11,英国女王大学Queen's University Belfast,2.9,342.0,0.76,0.82,免费评估
12,阿斯顿大学Aston University,2.0,306.0,0.87,0.74,免费评估
13,利物浦大学The University of Liverpool,3.1,373.0,0.71,0.7,免费评估
14,利兹大学University of Leeds,3.3,358.0,0.7,0.69,免费评估
15,斯旺西大学Swansea University,2.3,318.0,0.78,,免费评估
15,曼彻斯特大学The University of Manchester,3.2,414.0,0.63,0.73,免费评估
17,思克莱德大学University of Strathclyde,2.4,397.0,0.7,0.69,免费评估
18,布鲁内尔大学Brunel University,2.3,361.0,0.69,0.77,免费评估
19,西英格兰大学University of the West of England,2.4,261.0,0.75,0.72,免费评估
20,伦敦大学玛丽女王学院Queen Mary University of London,2.1,298.0,0.76,0.7,免费评估
21,格拉斯哥大学University of Glasgow,2.2,374.0,0.66,0.73,免费评估
22,赫特福德大学University of Hertfordshire,2.4,247.0,0.78,0.61,免费评估
22,德蒙福特大学De Montfort University,2.1,,0.73,0.71,免费评估
24,朴茨茅斯大学University of Portsmouth,2.0,222.0,0.81,0.67,免费评估
25,谢菲尔德哈莱姆大学Sheffield Hallam University,1.7,279.0,0.72,0.77,免费评估
26,索尔福德大学University of Salford,2.3,279.0,0.67,0.73,免费评估
27,布莱顿大学University of Brighton,2.6,223.0,0.69,,免费评估
28,考文垂大学Coventry University,1.0,231.0,0.75,0.72,免费评估
29,金斯顿大学Kingston University,1.4,254.0,0.73,0.67,免费评估
30,布拉德福德大学University of Bradford,2.1,221.0,0.7,,免费评估
31,伦敦城市大学City University London,2.2,237.0,0.73,0.5,免费评估
32,利物浦约翰摩尔斯大学Liverpool John Moores University,2.9,183.0,0.7,0.49,免费评估
33,阿尔斯特大学University of Ulster,,196.0,0.72,0.9,免费评估
34,萨塞克斯大学University of Sussex,,361.0,0.7,0.67,免费评估
34,曼彻斯特城市大学Manchester Metropolitan University,1.5,259.0,0.67,0.62,免费评估
36,普利茅斯大学University of Plymouth,1.3,202.0,0.76,0.41,免费评估
37,伦敦南岸大学London South Bank University,2.4,132.0,0.64,0.51,免费评估
38,威尔士大学卡迪夫学院UWIC,,309.0,,0.54,免费评估
39,北安普顿大学The University of Northampton,,250.0,,0.53,免费评估
