Ranking,University Name,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score,Free
1,剑桥大学University of Cambridge,,,45.0%,224.0,86.0%,100.0,免费评估
2,杜伦大学Durham University,84.6%,75.3%,34.6%,188.0,,96.4,免费评估
3,牛津大学University of Oxford,,,36.2%,218.0,82.4%,96.3,免费评估
3,曼彻斯特大学The University of Manchester,,,48.9%,166.0,68.9%,96.3,免费评估
5,利兹大学University of Leeds,77.2%,78.1%,30.6%,161.0,67.0%,90.7,免费评估
6,爱丁堡大学The University of Edinburgh,76.2%,76.5%,30.1%,188.0,58.5%,90.4,免费评估
7,伦敦大学亚非学院SOAS University of London,,,26.3%,165.0,60.8%,89.9,免费评估
8,赫尔大学The University of Hull,82.8%,72.6%,22.7%,130.0,,87.1,免费评估
9,诺丁汉大学University of Nottingham,65.7%,64.0%,27.3%,140.0,78.1%,85.7,免费评估
10,诺丁汉特伦特大学Nottingham Trent University,83.6%,83.5%,10.0%,113.0,,85.4,免费评估
11,谢菲尔德大学The University of Sheffield,73.5%,69.7%,16.7%,149.0,66.1%,84.9,免费评估
12,威斯敏斯特大学University of Westminster,84.1%,77.6%,11.3%,,46.2%*,84.4,免费评估
13,牛津布鲁克斯大学Oxford Brookes University,83.6%,79.7%,,129.0,52.3%,81.9,免费评估
14,中央兰开夏大学University of Central Lancashire,72.7%,62.4%,,120.0,51.0%,75.8,免费评估
