Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
63,曼彻斯特城市大学Manchester Metropolitan University,60.2,85.9,82.2,70.5,17,5,337,4,72,免费评估
65,普利茅斯大学University of Plymouth,60.0,92,90.5,72.7,19.7,4,306,8,47,免费评估
66,斯特林大学University of Stirling,59.9,89,87.2,68.7,27.5,3,402,5,79,免费评估
67,蒂赛德大学Teesside University,59.8,94,90.7,85.5,21.4,4,269,4,56,免费评估
68,格林威治大学The University of Greenwich,59.7,94.4,91.9,81.6,19.3,3,321,3,48,免费评估
69,白金汉大学The University of Buckingham,58.2,91,90.5,71.7,16.7,4,331,1,-,免费评估
70,伦敦南岸大学London South Bank University,57.8,91,91,81.1,19.6,4,210,4,53,免费评估
71,亚伯大学Aberystwyth University,56.3,84.8,85.5,66.8,17.8,3,327,2,77,免费评估
72,斯塔福德郡大学Staffordshire University,55.5,83.2,88.7,70.8,22,7,256,5,61,免费评估
73,谢菲尔德哈莱姆大学Sheffield Hallam University,55.4,90,84.4,73.4,20.2,5,323,6,52,免费评估
73,贝德福德大学University of Bedfordshire,55.4,94.1,91.3,84.7,29.8,6,196,3,67,免费评估
75,波尔顿大学University of Bolton,55.1,84,83.9,68.5,16.3,2,239,4,-,免费评估
76,赫尔大学The University of Hull,54.9,86.1,88.6,63.4,21,5,331,3,62,免费评估
77,哥比亚大学University of Cumbria,53.6,84.8,87.9,78.7,24.6,2,267,3,-,免费评估
78,林肯大学University of Lincoln,53.4,91.1,90.5,75.8,30.4,3,322,2,75,免费评估
79,"特威克南圣玛丽大学St Mary's, Twickenham",53.3,88,91.8,80.2,28.8,3,237,5,-,免费评估
80,威斯敏斯特大学University of Westminster,52.9,80,80.6,64.3,20.2,3,314,4,66,免费评估
81,新白金汉大学Buckinghamshire New University,51.7,93,94.5,81.9,19.5,3,247,1,52,免费评估
82,金斯顿大学Kingston University,51.5,81,81.7,62.9,24.1,5,299,4,60,免费评估
83,伦敦都市大学London Metropolitan University,51.1,83,82.7,71.3,23.2,2,228,4,66,免费评估
84,赫特福德大学University of Hertfordshire,50.7,83,84.2,59.3,34.2,4,313,9,69,免费评估
85,艾芝西尔大学Edge Hill University,50.6,90,91.5,79.1,18.1,4,283,1,45,免费评估
86,切斯特大学University of Chester,50.4,98,92.5,82.8,38.5,3,308,1,68,免费评估
87,坎特伯雷大学Canterbury Christ Church University,49.3,85,85.3,63.9,17.5,3,278,6,34,免费评估
88,伯明翰城市大学Birmingham City University,48.1,85,85.3,72.1,33.2,4,268,4,67,免费评估
89,北安普顿大学The University of Northampton,47.8,93,91.2,78.8,35.3,4,254,5,54,免费评估
90,东伦敦大学University of East London,47.4,89,84.7,67.5,26,9,239,2,55,免费评估
91,西苏格兰大学University of the West of Scotland,45.6,75.8,82.2,55,-,4,282,7,34,免费评估
92,布拉德福德大学University of Bradford,44.2,80,73.1,65.7,35.8,4,311,6,71,免费评估
92,温切斯特大学University of Winchester,44.2,92,82,55.7,17.8,2,294,2,45,免费评估
94,桑德兰大学University of Sunderland,41.1,76.8,81,68.6,27,6,247,3,42,免费评估
95,利兹贝克特大学Leeds Beckett University,40.6,78,82,70.8,27.7,3,263,2,58,免费评估
96,南威尔士大学The University of South Wales,40.4,80.8,81.2,69.8,26.6,3,304,3,45,免费评估
97,泰晤士河谷大学Thames Valley University,40.0,81.2,84,66.3,26.5,5,254,1,52,免费评估
98,南安普顿索伦特大学Southampton Solent University,31.9,85,78.5,52.7,36.5,5,264,2,55,免费评估
