Ranking,University Name,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,4.1,501,0.86,0.85,免费评估
2,牛津大学University of Oxford,4.0,501,0.81,0.77,免费评估
3,伦敦大学学院University College London,3.7,471,0.8,0.77,免费评估
4,约克大学The University of York,3.1,461,0.83,0.68,免费评估
5,巴斯大学University of Bath,3.9,493,0.74,0.67,免费评估
6,格拉斯哥大学University of Glasgow,3.0,393,0.83,0.72,免费评估
7,圣安德鲁斯大学University of St Andrews,3.1,470,0.83,0.6,免费评估
8,拉夫堡大学Loughborough University,3.2,400,0.83,0.65,免费评估
9,埃克塞特大学University of Exeter,2.6,421,0.82,0.65,免费评估
10,伯明翰大学University of Birmingham,3.6,411,0.78,0.6,免费评估
11,谢菲尔德大学The University of Sheffield,2.8,415,0.78,0.69,免费评估
12,卡迪夫大学Cardiff University,3.4,433,0.77,0.57,免费评估
13,布里斯托大学University of Bristol,2.5,453,0.73,0.7,免费评估
14,肯特大学University of Kent,2.0,362,0.79,0.73,免费评估
15,杜伦大学Durham University,2.8,428,0.77,0.59,免费评估
16,伦敦大学皇家霍洛威学院Royal Holloway University of London,3.0,390,0.79,0.56,免费评估
17,赫尔大学The University of Hull,1.7,313,0.82,0.75,免费评估
18,南安普顿大学University of Southampton,2.8,417,0.77,0.57,免费评估
19,利兹大学University of Leeds,2.4,430,0.77,0.6,免费评估
20,阿伯丁大学University of Aberdeen,2.1,344,0.81,0.63,免费评估
21,萨塞克斯大学University of Sussex,2.8,388,0.74,0.63,免费评估
22,阿斯顿大学Aston University,2.5,376,0.77,0.62,免费评估
23,兰卡斯特大学Lancaster University,2.1,395,0.79,0.58,免费评估
24,埃塞克斯大学University of Essex,2.5,326,0.77,0.64,免费评估
24,华威大学The University of Warwick,2.5,418,0.7,0.66,免费评估
26,诺丁汉大学University of Nottingham,2.6,433,0.73,0.56,免费评估
27,东英吉利大学University of East Anglia,0.9,349,0.88,0.55,免费评估
28,班戈大学Bangor University,3.0,310,0.75,0.59,免费评估
29,莱斯特大学University of Leicester,1.2,360,0.77,0.67,免费评估
29,爱丁堡大学The University of Edinburgh,2.8,424,0.72,0.52,免费评估
29,诺桑比亚大学Northumbria University,1.4,315,0.81,0.63,免费评估
32,朴茨茅斯大学University of Portsmouth,1.3,313,0.8,0.65,免费评估
32,布鲁内尔大学Brunel University,1.8,323,0.79,0.6,免费评估
34,思克莱德大学University of Strathclyde,1.4,385,0.74,0.65,免费评估
35,纽卡斯尔大学Newcastle University,2.1,421,0.69,0.62,免费评估
35,利物浦大学The University of Liverpool,1.6,387,0.78,0.53,免费评估
37,雷丁大学University of Reading,2.6,388,0.74,0.5,免费评估
38,斯旺西大学Swansea University,1.7,361,0.77,0.54,免费评估
39,萨里大学University of Surrey,2.1,394,0.7,0.59,免费评估
40,伦敦城市大学City University London,2.1,368,0.7,0.62,免费评估
41,伯恩茅斯大学Bournemouth University,1.8,266,0.81,0.54,免费评估
42,伦敦大学金史密斯学院Goldsmiths University of London,2.3,319,0.72,0.58,免费评估
43,阿伯泰邓迪大学University of Abertay Dundee,1.8,374,0.76,0.48,免费评估
44,曼彻斯特大学The University of Manchester,2.2,417,0.67,0.53,免费评估
45,中央兰开夏大学University of Central Lancashire,1.3,268,0.78,0.62,免费评估
46,西英格兰大学University of the West of England,1.8,293,0.84,0.39,免费评估
47,英国女王大学Queen's University Belfast,1.6,352,0.78,0.45,免费评估
48,基尔大学Keele University,1.2,316,0.72,0.63,免费评估
48,斯塔福德郡大学Staffordshire University,1.2,253,0.78,0.59,免费评估
50,诺丁汉特伦特大学Nottingham Trent University,0.8,292,0.78,0.59,免费评估
51,牛津布鲁克斯大学Oxford Brookes University,1.3,333,0.78,0.48,免费评估
52,林肯大学University of Lincoln,1.4,292,0.8,0.47,免费评估
53,赫特福德大学University of Hertfordshire,1.7,257,0.74,0.54,免费评估
54,斯特林大学University of Stirling,1.2,297,0.74,0.53,免费评估
55,巴斯斯巴大学Bath Spa University,0.8,284,0.8,0.47,免费评估
56,蒂赛德大学Teesside University,,271,0.82,0.54,免费评估
57,普利茅斯大学University of Plymouth,1.7,301,0.77,0.41,免费评估
58,考文垂大学Coventry University,0.7,295,0.75,0.54,免费评估
58,赫瑞瓦特大学Heriot Watt University,0.5,332,0.8,0.42,免费评估
60,东伦敦大学University of East London,1.3,191,0.72,0.67,免费评估
60,龙比亚大学Napier University,0.5,309,,0.58,免费评估
62,布拉德福德大学University of Bradford,2.4,228,0.76,0.43,免费评估
62,切斯特大学University of Chester,0.8,283,0.76,0.53,免费评估
64,威斯敏斯特大学University of Westminster,0.9,297,0.75,0.47,免费评估
64,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,0.7,327,0.77,0.42,免费评估
66,约克圣约翰大学York St John University,0.3,284,0.76,0.54,免费评估
67,圣玛丽学院St Mary's College,,240,0.82,0.48,免费评估
68,曼彻斯特城市大学Manchester Metropolitan University,1.8,309,0.71,0.39,免费评估
69,布莱顿大学University of Brighton,1.6,328,0.71,0.38,免费评估
69,谢菲尔德哈莱姆大学Sheffield Hallam University,0.7,308,0.75,0.44,免费评估
71,温切斯特大学University of Winchester,,277,0.78,0.49,免费评估
72,格林威治大学The University of Greenwich,0.9,234,0.72,0.56,免费评估
73,格拉摩根大学University of Glamorgan,0.6,255,0.77,0.47,免费评估
74,米德塞斯大学Middlesex University,0.6,193,0.7,0.66,免费评估
75,桑德兰大学University of Sunderland,0.5,240,0.8,0.41,免费评估
76,索尔福德大学University of Salford,1.7,292,0.69,0.41,免费评估
76,利物浦约翰摩尔斯大学Liverpool John Moores University,1.4,273,0.72,0.42,免费评估
78,阿尔斯特大学University of Ulster,1.4,258,0.79,0.3,免费评估
79,坎特伯雷大学Canterbury Christ Church University,,246,0.75,0.53,免费评估
79,泰晤士河谷大学Thames Valley University,0.3,197,0.77,0.53,免费评估
81,伍斯特大学University of Worcester,,251,0.74,0.54,免费评估
82,德蒙福特大学De Montfort University,,236,0.8,0.44,免费评估
82,阿伯泰邓迪大学University of Abertay Dundee,0.9,263,,0.48,免费评估
84,剑桥安鲁大学Anglia Ruskin University,1.9,262,0.68,0.43,免费评估
85,北安普顿大学The University of Northampton,,243,0.79,0.43,免费评估
85,格罗斯特大学University of Gloucestershire,0.6,257,0.75,0.43,免费评估
87,威尔士大学卡迪夫学院UWIC,1.0,268,0.72,0.43,免费评估
88,艾芝西尔大学Edge Hill University,,285,0.76,0.4,免费评估
89,玛格丽特女王大学Queen Margaret University,,334,,0.39,免费评估
90,金斯顿大学Kingston University,1.0,262,0.68,0.45,免费评估
91,贝德福德大学University of Bedfordshire,,182,0.75,0.52,免费评估
92,罗汉普顿大学Roehampton University,1.1,229,0.66,0.51,免费评估
93,德比大学University of Derby,0.8,258,0.68,0.44,免费评估
94,南安普顿索伦特大学Southampton Solent University,,253,0.7,0.49,免费评估
