Ranking,University Name,Location,Teaching,International Outlook,Research,Citations,Industry Income,Overall score,Free
1,Stanford University,United States,91.0,33.4,88.4,81.8,62.2,82.0,免费评估
2,Duke University,United States,86.8,36.3,92.2,72.7,100.0,80.7,免费评估
3,剑桥大学University of Cambridge,United Kingdom,77.3,91.3,90.6,72.7,39.1,80.6,免费评估
4,Yale University,United States,90.6,24.2,85.1,83.9,39.0,80.0,免费评估
5,牛津大学University of Oxford,United Kingdom,78.2,86.5,89.7,65.9,43.9,78.6,免费评估
6,University of Chicago,United States,90.5,28.3,87.0,71.1,39.0,77.7,免费评估
7,Harvard University,United States,78.9,31.4,87.4,82.9,42.5,77.4,免费评估
7,伦敦政治经济学院The London School of Economics and Political Science,United Kingdom,76.7,76.5,87.2,70.4,39.0,77.4,免费评估
9,New York University,United States,90.9,38.9,89.1,62.1,43.7,77.3,免费评估
10,University of Melbourne,Australia,86.8,62.8,83.5,57.3,50.1,75.3,免费评估
11,"University of California, Berkeley",United States,81.8,41.8,90.9,60.5,39.0,74.6,免费评估
11,University of Toronto,Canada,88.2,60.9,88.2,48.6,39.0,74.6,免费评估
11,伦敦大学学院University College London,United Kingdom,75.2,87.3,86.1,58.7,39.0,74.6,免费评估
14,McGill University,Canada,83.1,59.1,78.7,60.4,39.0,72.8,免费评估
15,Columbia University,United States,81.6,46.0,78.0,64.4,45.0,72.1,免费评估
16,University of Pennsylvania,United States,85.0,30.2,80.4,61.2,49.4,71.8,免费评估
17,爱丁堡大学The University of Edinburgh,United Kingdom,72.2,72.6,84.2,55.4,39.0,70.9,免费评估
18,"University of California, Los Angeles",United States,86.8,27.2,76.5,61.8,39.0,70.8,免费评估
19,University of British Columbia,Canada,64.4,74.4,71.5,74.7,40.7,69.4,免费评估
20,University of Washington,United States,68.5,33.7,86.2,65.2,39.0,69.2,免费评估
21,National University of Singapore,Singapore,76.7,68.7,84.3,38.7,88.2,69.1,免费评估
22,University of Hong Kong,Hong Kong,70.7,88.9,89.3,37.7,39.5,69.0,免费评估
23,UNSW Sydney,Australia,75.6,67.6,80.3,47.6,46.3,68.6,免费评估
24,KU Leuven,Belgium,64.9,49.2,84.1,57.1,97.3,68.3,免费评估
25,伦敦国王学院King's College London,United Kingdom,72.5,75.3,84.1,41.3,39.0,67.7,免费评估
