Ranking,University Name,Guardian score,Satisfied with teaching,Satisfied with feedback,Spend per student,Student:taff ratio,Career prospects,Value added score,Entry Tariff,Free
71,阿斯大,54.3,88.0,68.0,4.51,18.4,50,5.1,304.0,免费评估
72,班大,54.2,84.0,63.0,5.15,20.9,62,4.5,286.0,免费评估
73,金顿学,54.0,82.0,64.0,4.67,20.7,57,7.1,235.0,免费评估
74,布顿学,53.9,83.0,63.0,4.68,24.2,63,5.8,278.0,免费评估
75,考垂学,53.5,79.0,63.0,4.63,22.3,63,7.1,277.0,免费评估
75,阿斯大,53.5,76.0,60.0,4.24,17.9,63,6.6,269.0,免费评估
77,德福大,53.4,83.0,70.0,3.64,18.5,62,4.7,246.0,免费评估
78,兰得学,53.3,87.0,67.0,3.73,14.1,53,3.5,252.0,免费评估
78,朴茅大,53.3,88.0,67.0,5.14,20.3,61,4.1,269.0,免费评估
80,格摩大,53.1,80.0,59.0,4.56,18.5,55,5.3,257.0,免费评估
81,奇斯大,52.9,89.0,73.0,3.69,19.3,60,4.2,240.0,免费评估
82,中兰夏学,52.7,82.0,67.0,5.95,22.3,67,3.3,262.0,免费评估
83,安利鲁金学,52.4,77.0,58.0,7.22,22.6,61,5.8,256.0,免费评估
84,布德德学,51.8,77.0,59.0,5.07,16.0,68,4.7,268.0,免费评估
85,格拉斯哥大学University of Glasgow,51.4,80.0,64.0,5.53,18.0,68,3.5,263.0,免费评估
85,纽大学,51.4,89.0,71.0,2.87,19.3,73,5.2,231.0,免费评估
87,约克圣约翰大学York St John University,50.7,83.0,66.0,5.51,21.4,56,4.1,288.0,免费评估
88,贝福大,50.0,81.0,62.0,3.69,15.7,62,4.8,213.0,免费评估
89,林大,49.4,82.0,69.0,2.78,23.2,58,5.7,261.0,免费评估
90,切特学,49.3,85.0,66.0,3.59,20.3,63,4.4,264.0,免费评估
91,伍特学,49.2,85.0,67.0,4.04,19.8,64,4.2,232.0,免费评估
92,格林多大学Glyndwr University,48.9,78.0,71.0,3.78,22.7,65,4.8,222.0,免费评估
93,萨福学,48.6,81.0,64.0,4.36,19.9,58,5.0,271.0,免费评估
94,温斯大,48.3,87.0,67.0,2.31,18.3,53,4.9,255.0,免费评估
95,斯西学,48.1,86.0,61.0,4.11,18.8,56,3.5,298.0,免费评估
96,哈斯尔大,47.9,78.0,64.0,3.86,17.6,52,4.4,258.0,免费评估
97,赫福大,46.9,78.0,57.0,4.69,17.1,60,3.8,241.0,免费评估
97,曼斯城大,46.9,76.0,60.0,3.53,20.6,60,5.8,268.0,免费评估
99,圣克圣翰院,46.2,85.0,69.0,2.35,19.2,59,4.1,213.0,免费评估
100,纽特学,45.3,76.0,67.0,3.7,26.7,53,6.1,242.0,免费评估
100,北普大,45.3,85.0,69.0,3.36,23.3,55,5.7,234.0,免费评估
102,利城大,45.2,72.0,54.0,5.09,24.5,54,5.3,263.0,免费评估
103,坎特伯雷大学Canterbury Christ Church University,44.8,83.0,65.0,3.63,19.9,57,4.1,243.0,免费评估
104,艾希大,44.3,82.0,67.0,3.5,21.3,53,3.4,246.0,免费评估
105,德大,43.9,82.0,65.0,4.48,20.0,50,4.1,233.0,免费评估
106,米塞大,43.6,78.0,64.0,6.69,26.0,59,4.9,192.0,免费评估
107,阿泰迪学,43.4,,,3.41,23.0,50,5.5,277.0,免费评估
108,罗普大,43.1,80.0,59.0,4.04,19.8,51,4.0,250.0,免费评估
109,格威大,42.5,83.0,69.0,4.16,23.3,56,4.0,210.0,免费评估
110,威敏特学,42.4,75.0,58.0,4.08,18.2,48,4.5,247.0,免费评估
111,利三学,42.0,82.0,69.0,2.57,23.3,61,3.4,230.0,免费评估
112,利浦翰尔大,40.5,79.0,61.0,3.96,22.1,55,3.2,243.0,免费评估
113,新金大,39.6,74.0,60.0,4.88,22.0,49,3.3,209.0,免费评估
114,波顿学,37.7,80.0,65.0,2.52,22.5,50,5.0,208.0,免费评估
115,南普索特学,36.8,73.0,57.0,3.79,24.8,53,3.2,221.0,免费评估
116,东伦敦大学University of East London,34.6,80.0,61.0,4.42,22.7,55,3.1,190.0,免费评估
117,伦南大,30.1,76.0,55.0,2.79,29.6,59,5.9,178.0,免费评估
