Ranking,University English Name,Country/Region,Academic Reputation,Employer Reputation,Faculty Student,International Faculty,International Students,Citations per Faculty,Overall Score,Free
1,麻省理工学院Massachusetts Institute of Technology,United States,100,100,100,100,96.1,99.9,100.0,免费评估
2,斯坦福大学Stanford University,United States,100,100,100,99.6,72.7,99.4,98.7,免费评估
3,哈佛大学Harvard University,United States,100,100,98.3,96.5,75.2,99.9,98.4,免费评估
4,加利福尼亚理工学院California Institute of Technology,United States,99.5,85.4,100,93.4,89.2,100,97.7,免费评估
5,剑桥大学University of Cambridge,United Kingdom,100,100,100,97.4,97.7,78.3,95.6,免费评估
6,牛津大学University of Oxford,United Kingdom,100,100,100,98.6,98.5,76.3,95.3,免费评估
7,伦敦大学学院University College London,United Kingdom,99.7,99.5,99.1,96.6,100,74.7,94.6,免费评估
8,帝国理工学院Imperial College London,United Kingdom,99.4,100,100,100,100,68.7,93.7,免费评估
9,芝加哥大学The University of Chicago,United States,99.9,92.9,96.5,71.9,79.8,85.9,93.5,免费评估
10,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,99.6,99.4,68.2,100,98.8,98.7,93.3,免费评估
11,"Nanyang Technological University, Singapore (NTU)",Singapore,93.9,96.6,93.6,100,88.2,83.3,92.2,免费评估
12,Ecole Polytechnique Fédérale de Lausanne (EPFL),Switzerland,83,95.5,92,100,100,99.2,91.2,免费评估
13,普林斯顿大学Princeton University,United States,100,97.3,70.9,67.4,70.8,100,91.0,免费评估
14,康奈尔大学Cornell University,United States,99.6,93.7,67.4,92.2,79.2,96.2,90.7,免费评估
15,National University of Singapore (NUS),Singapore,100,99.9,88.8,100,86.1,66.2,90.5,免费评估
16,耶鲁大学Yale University,United States,100,99.8,100,90.7,61.7,63.2,90.4,免费评估
17,约翰霍普金斯大学Johns Hopkins University,United States,94.3,66.4,100,87.9,81.3,83.9,89.8,免费评估
18,哥伦比亚大学Columbia University,United States,99.9,98.1,100,34.7,94.9,62.3,88.9,免费评估
19,宾夕法尼亚大学University of Pennsylvania,United States,97.4,94.9,100,67.1,64.5,67.4,88.7,免费评估
20,澳大利亚国立大学The Australian National University,Australia,99.3,90.4,55.3,100,98.8,85.6,87.1,免费评估
21,杜克大学Duke University,United States,94,78.1,98.1,-,56.6,91.4,87.0,免费评估
21,"密歇根大学安娜堡分校University of Michigan,Ann Arbor",United States,99.7,92.2,89.6,78,51.2,66.7,87.0,免费评估
23,伦敦大学国王学院King's College London,United Kingdom,92.8,92.4,87.6,97.4,99.2,64.8,86.9,免费评估
23,爱丁堡大学The University of Edinburgh,United Kingdom,99.1,96.6,83.2,94.9,98.6,55.5,86.9,免费评估
25,Tsinghua University,China,99.2,99.6,86.7,42.1,25.6,75.3,85.6,免费评估
26,香港大学The University of Hong Kong,Hong Kong,99.1,93.4,85.3,100,99.4,46.3,85.5,免费评估
27,"加州大学伯克利分校University of California,Berkeley",United States,100,99.9,36.2,97.7,54.6,99.3,84.9,免费评估
28,西北大学Northwestern University,United States,91.3,76.6,98.6,57.9,55,75.4,84.8,免费评估
28,The University of Tokyo,Japan,100,99.8,92.6,-,-,73.3,84.8,免费评估
30,香港科技大学The Hong Kong University of Science and Technology,Hong Kong,93,87.2,54.9,100,93,87.7,84.3,免费评估
31,多伦多大学University of Toronto,Canada,99.7,95.6,74.5,97,92.1,50,84.0,免费评估
32,麦吉尔大学McGill University,Canada,96.9,96.1,69.4,88.9,95.6,61.4,83.9,免费评估
33,"加州大学洛杉矶分校University of California,Los Angeles",United States,100,99.4,43.7,54,50,97.5,83.6,免费评估
34,曼彻斯特大学The University of Manchester,United Kingdom,97.4,99.4,75.4,89.3,98.3,47.5,83.0,免费评估
35,伦敦政治经济学院the London Shool of Economics and Political Scienc,United Kingdom,90.3,100,55.9,100,100,71.7,81.8,免费评估
36,Kyoto University,Japan,99.7,94.9,95.7,-,-,56.4,81.5,免费评估
36,Seoul National University,South Korea,98.9,97.4,79.8,23,-,70.6,81.5,免费评估
38,Peking University,China,99.8,99.9,66.6,52.8,48.5,61.7,80.8,免费评估
38,"加利福尼亚大学圣地亚哥分校University of California,San Diego",United States,96,61.3,58.9,64.6,59.9,90.3,80.8,免费评估
40,Fudan University,China,91.4,97.1,76.1,79.5,45.2,63.7,80.6,免费评估
41,KAIST - Korea Advanced Institute of Science & Technology,South Korea,89.4,87.4,70.1,25.2,-,99.5,80.4,免费评估
41,墨尔本大学The University of Melbourne,Australia,99.8,99.5,26.2,94.7,99.7,77.2,80.4,免费评估
43,"Ecole normale supérieure, Paris",France,80.2,78.6,60.4,94.4,60.4,100,79.9,免费评估
44,布里斯托大学University of Bristol,United Kingdom,85.7,95.5,79.2,87.9,79.2,56.4,79.5,免费评估
45,新南威尔士大学The University of New South Wales,Australia,96.4,98.4,-,100,97.8,79.8,78.9,免费评估
46,香港大学The University of Hong Kong,Hong Kong,94.3,83.3,66,99.8,84.9,50.7,78.8,免费评估
47,卡内基梅隆大学Carnegie Mellon University,United States,85,85.1,43.2,62.3,100,95.6,78.6,免费评估
47,昆士兰大学The University of Queensland,Australia,94.6,84.1,30.8,100,87.3,83.4,78.6,免费评估
49,香港城市大学City University of Hong Kong,Hong Kong,70.8,50.5,83.6,100,97.5,91.5,78.4,免费评估
50,悉尼大学The University of Sydney,Australia,99.3,98.3,-,100,98.1,70.3,78.0,免费评估
51,英属哥伦比亚大学University of British Columbia,Canada,99.1,95.5,37.9,91.5,72.2,63.7,77.9,免费评估
52,纽约大学New York University,United States,97.9,92.6,95.5,-,84.1,23.4,77.3,免费评估
53,布朗大学Brown University,United States,72.5,56.9,80.3,80.2,60.9,92.5,76.5,免费评估
54,Delft University of Technology,Netherlands,79.7,91,36.7,97.7,87.4,91.6,76.1,免费评估
55,威斯康星大学-麦迪逊分校University of Wisconsin-Madison,United States,94,62.1,84,53.2,30.9,54.2,75.8,免费评估
56,Tokyo Institute of Technology,Japan,83.1,83.7,90.1,26.5,24.4,62.4,74.8,免费评估
57,华威大学The University of Warwick,United Kingdom,83.5,98.9,51.2,98,99,54.1,74.4,免费评估
58,University of Amsterdam,Netherlands,90.1,66.1,45.2,75.4,38.9,83.5,74.3,免费评估
59,Ecole Polytechnique,France,61.2,99.9,99.3,96.4,90.8,50.8,74.0,免费评估
60,蒙纳什大学Monash University,Australia,93.6,95.2,-,100,97.7,68.5,73.1,免费评估
61,"西雅图华盛顿大学University of Washington,Seattle Campus",United States,92.3,56.7,28,57.2,39.4,98.8,72.9,免费评估
62,Shanghai Jiao Tong University,China,87,97.4,36.7,69.2,-,81.5,72.5,免费评估
63,Osaka University,Japan,88.5,75.4,71.9,21.5,-,63.1,72.1,免费评估
64,Technical University of Munich,Germany,86.3,98.7,86.4,53,44.8,26.6,72.0,免费评估
65,格拉斯哥大学University of Glasgow,United Kingdom,80.4,66.6,60.7,90.5,96.6,55.5,71.6,免费评估
66,Ludwig-Maximilians-Universität München,Germany,95.8,88.2,38.9,54.8,38.6,55.1,70.8,免费评估
67,德克萨斯大学奥斯汀分校The University of Texas at Austin,United States,97.6,82.1,-,-,-,95.7,70.6,免费评估
68,Ruprecht-Karls-Universitaet Heidelberg,Germany,87.6,76.5,76.6,50.5,55.2,34.8,70.4,免费评估
69,伊利诺伊大学香槟分校University of Illinois at Urbana-Champaign,United States,95.1,59.8,-,20.4,71.2,93.5,70.3,免费评估
70,佐治亚理工学院Georgia Institute of Technology,United States,79.1,79.4,31.7,-,72.1,99.1,70.1,免费评估
71,KU Leuven,Belgium,88.1,78,-,84.8,41.6,88.9,69.4,免费评估
71,Pohang University of Science And Technology (POSTECH),South Korea,50.9,65.6,99.5,42.4,-,99.8,69.4,免费评估
73,University of Copenhagen,Denmark,81.7,54.2,99.9,84.9,26.5,26.9,69.2,免费评估
73,University of Zurich,Switzerland,68.3,78.1,98.1,100,59.2,31.9,69.2,免费评估
75,Universidad de Buenos Aires (UBA),Argentina,94.5,95.5,75.1,50.3,70.6,-,69.1,免费评估
76,National Taiwan University (NTU),Taiwan,95.6,74.2,33.3,-,-,74.1,69.0,免费评估
76,Tohoku University,Japan,78.3,66,98.1,-,-,48.4,69.0,免费评估
78,杜伦大学Durham University,United Kingdom,66.8,97.1,37.5,94.8,87.8,76.3,68.5,免费评估
78,Lund University,Sweden,80,71.8,53.7,88.3,73.8,51.8,68.5,免费评估
80,北卡罗来纳州大学教堂山分校University of North Carolina at Chapel Hill,United States,77.5,48.1,86.9,28.5,-,61.5,67.8,免费评估
81,波士顿大学Boston University,United States,71.3,78.5,66.4,22.1,86.5,59.8,67.2,免费评估
82,奥克兰大学The University of Auckland,New Zealand,92.2,77.3,-,85.5,89.6,48.1,67.0,免费评估
82,谢菲尔德大学The University of Sheffield,United Kingdom,69.8,69.9,64.3,83.6,96.8,50.1,67.0,免费评估
84,诺丁汉大学The University of Nottingham,United Kingdom,69.9,87.5,59.5,89.5,86.5,46.3,66.8,免费评估
84,伯明翰大学University of Birmingham,United Kingdom,74.7,88.6,48.2,90.9,86,47.2,66.8,免费评估
86,俄亥俄州立大学Ohio State University,United States,75.3,60.6,77.7,79.3,44.7,40.3,66.1,免费评估
87,Zhejiang University,China,74,87.1,37.2,54.2,25.9,80.2,65.9,免费评估
88,"Trinity College Dublin, The University of Dublin",Ireland,73.8,68.9,30.7,98.4,89.5,68.3,65.7,免费评估
89,莱斯大学Rice University,United States,45.5,-,83.9,87.5,87.7,96.7,65.6,免费评估
90,Korea University,South Korea,76.8,88.1,82.8,-,36.7,32.8,65.5,免费评估
90,阿尔伯塔大学University of Alberta,Canada,73,61.1,56.6,93,82.4,49.6,65.5,免费评估
92,圣安德鲁斯大学University of St Andrews,United Kingdom,53,57.1,72,98,99.9,69.6,65.3,免费评估
93,宾州州立大学Pennsylvania State University,United States,84.6,75.1,-,-,42.9,80.2,65.2,免费评估
93,西澳大学The University of Western Australia,Australia,71.6,64.1,-,100,72.9,82.3,65.2,免费评估
95,Lomonosov Moscow State University,Russia,82,79.6,99.7,-,48.7,-,65.0,免费评估
95,香港理工大学The Hong Kong Polytechnic University,Hong Kong,70.2,52.4,58,100,80.2,54.5,65.0,免费评估
97,University of Science and Technology of China,China,62.9,57.9,67.6,-,-,96.7,64.9,免费评估
98,KTH Royal Institute of Technology,Sweden,57.2,87,62.5,88.1,42,70,64.7,免费评估
98,University of Geneva,Switzerland,57.7,41.4,55.1,100,98.9,82.1,64.7,免费评估
100,圣路易斯华盛顿大学Washington University in St Louis,United States,51,-,99.6,57.8,62.4,78.3,64.6,免费评估
101,利兹大学University of Leeds,United Kingdom,74.4,86.9,47,79.4,81.3,42.3,64.5,免费评估
102,University of Helsinki,Finland,76.4,51.4,83.4,53.6,-,41.5,63.9,免费评估
102,南安普顿大学University of Southampton,United Kingdom,62.1,58.4,62.6,92.7,95.3,56,63.9,免费评估
104,Eindhoven University of Technology,Netherlands,39.1,54.4,93.1,98.4,43.8,83.3,63.6,免费评估
105,普渡大学Purdue University,United States,73.7,70.7,31.6,97.2,73.7,58,63.2,免费评估
106,Yonsei University,South Korea,71.8,87.7,79.6,-,32.6,31.8,62.3,免费评估
107,"KIT, Karlsruhe Institute of Technology",Germany,57.2,96.8,47,61.1,55.5,69.8,61.9,免费评估
108,Sungkyunkwan University (SKKU),South Korea,62.4,96.5,85.1,-,27.6,37.9,61.6,免费评估
109,Leiden University,Netherlands,77.9,42.1,33.7,69.2,33,70.9,61.5,免费评估
109,阿德莱德大学The University of Adelaide,Australia,73,58.5,28.5,93.3,98.8,55.2,61.5,免费评估
109,Utrecht University,Netherlands,74.6,43.6,41.8,57.2,-,75.5,61.5,免费评估
112,Uppsala University,Sweden,75.7,49.4,46.2,46.7,64.1,56.5,61.4,免费评估
113,University of Groningen,Netherlands,60.9,36.3,65.3,89.7,99.1,53.6,61.3,免费评估
114,Nanjing University,China,69.5,66.2,-,69.7,-,85.3,60.8,免费评估
114,Universiti Malaya (UM),Malaysia,65.7,57.5,87.8,65.4,59.7,24.3,60.8,免费评估
116,Nagoya University,Japan,68.9,51.5,93.5,-,-,37,60.7,免费评估
116,Technical University of Denmark,Denmark,35.4,38.5,99.8,99.2,75.7,69.3,60.7,免费评估
118,"加州大学戴维斯分校University of California,Davis",United States,80.7,47.1,36.1,42,33.3,61.6,60.4,免费评估
119,Aarhus University,Denmark,66.1,54.6,34.3,72.1,37.9,74.6,59.3,免费评估
120,Humboldt-Universität zu Berlin,Germany,94,73.4,-,55.2,38.4,33.6,59.2,免费评估
121,Universidade de São Paulo,Brazil,94.8,90.2,31.4,-,-,25.7,59.1,免费评估
122,Hokkaido University,Japan,68.5,59.5,85,-,-,35.1,59.0,免费评估
122,Universidad Nacional Autónoma de México (UNAM),Mexico,95.8,89.6,50.9,-,-,-,59.0,免费评估
124,Wageningen University,Netherlands,45.2,35.3,97.9,32.8,88.8,56.7,58.7,免费评估
125,Freie Universitaet Berlin,Germany,88.7,61.4,-,60.2,51.1,48.3,58.4,免费评估
125,Ghent University,Belgium,62.4,47.3,69.4,49.7,22.9,55.3,58.4,免费评估
127,伦敦大学玛丽女王学院Queen Mary University of London,United Kingdom,56.2,49.7,61,98,99.6,43.3,58.3,免费评估
128,Kyushu University,Japan,63.6,62,91.1,-,-,31.9,58.2,免费评估
129,马里兰大学University of Maryland-College Park,United States,63.8,33.2,55,26.1,33.1,75.8,58.1,免费评估
130,蒙特利尔大学University of Montreal,Canada,67.2,73.5,-,91.3,79.4,49.9,57.7,免费评估
131,Université Pierre et Marie Curie (UPMC),France,63,53.5,34.5,23.3,50.7,81,57.5,免费评估
132,南加州大学University of Southern California,United States,64.8,55,27.8,44.6,75.8,70.4,57.2,免费评估
133,Chalmers University of Technology,Sweden,42.1,75.7,60.5,84.9,44.2,70.3,57.1,免费评估
134,"加利福尼亚大学圣塔芭芭拉分校University of California, Santa Barbara",United States,75.7,-,-,47.2,-,97.5,56.9,免费评估
135,兰卡斯特大学University of Lancaster,United Kingdom,50.2,47.1,46.2,91.2,98,63.2,56.3,免费评估
135,约克大学University of York,United Kingdom,52.2,50.2,58.9,90.9,66.2,53,56.3,免费评估
137,Aalto University,Finland,46.5,53.5,65.1,81,41,63.8,56.0,免费评估
137,卡迪夫大学Cardiff University,United Kingdom,57.1,63,56.6,70.9,79.6,39.5,56.0,免费评估
137,Pontificia Universidad Católica de Chile (UC),Chile,92.4,94.6,30.3,-,-,-,56.0,免费评估
140,麦克马斯特大学McMaster University,Canada,51.8,57.2,77.2,92.8,40.5,35.7,55.8,免费评估
141,RWTH Aachen University,Germany,71.3,98.4,-,32.6,58.8,42.1,55.6,免费评估
142,University of Oslo,Norway,62.8,41.5,51.7,78.4,42.4,48.9,55.5,免费评估
142,匹兹堡大学University of Pittsburgh-Pittsburgh Campus,United States,51,-,97.7,24.3,25.2,51.3,55.5,免费评估
144,Technische Universität Berlin (TU Berlin),Germany,64.2,84.9,53.1,34.6,63.2,27.2,55.2,免费评估
145,The Hebrew University of Jerusalem,Israel,55.6,36.4,77,53.4,-,50.4,54.7,免费评估
146,University of Lausanne,Switzerland,41.9,42.8,91.2,99.6,79.6,30.9,54.5,免费评估
147,埃默里大学Emory University,United States,35.5,-,97.5,49,48.3,70.5,54.4,免费评估
147,Erasmus University Rotterdam,Netherlands,46.8,70.3,34.7,62.1,71.7,74.3,54.4,免费评估
149,密歇根州立大学Michigan State University,United States,68.6,60.7,-,61.7,47.2,59.5,54.3,免费评估
149,University of Basel,Switzerland,40.9,39.1,29.1,100,84.9,94.4,54.3,免费评估
151,奥塔哥大学University of Otago,New Zealand,63.9,49.9,-,100,65.7,57.2,54.2,免费评估
152,滑铁卢大学University of Waterloo,Canada,48.8,82.4,-,77.6,80.7,80.9,53.7,免费评估
153,Université catholique de Louvain (UCL),Belgium,62.7,63,-,88.7,55.4,54.6,53.6,免费评估
154,University of Vienna,Austria,75.2,51.2,-,97.1,93.8,-,53.3,免费评估
155,Hanyang University,South Korea,53.5,72.6,76.3,25.3,38.8,29.7,53.2,免费评估
156,Universitat de Barcelona,Spain,80,60.7,30.6,-,33.7,33.4,52.9,免费评估
157,École Normale Supérieure de Lyon,France,48.9,-,99.8,57,24.6,30.1,52.8,免费评估
158,阿伯丁大学University of Aberdeen,United Kingdom,39.6,45.7,53.7,95.5,97.5,59,52.7,免费评估
158,埃克塞特大学University of Exeter,United Kingdom,47.2,70.6,31.1,89.8,84.3,58.6,52.7,免费评估
160,巴斯大学University of Bath,United Kingdom,45.3,80.9,28.2,94.5,90.4,56.9,52.6,免费评估
161,National Tsing Hua University,Taiwan,56.4,50.8,-,24.9,-,90.2,52.4,免费评估
161,纽卡斯尔大学Newcastle University,United Kingdom,42.6,66.4,56.5,90.4,83.9,42.9,52.4,免费评估
163,"明尼苏达大学双城校区University of Minnesota,Twin Cities",United States,76.8,34.9,-,-,24.6,63.1,52.2,免费评估
164,Eberhard Karls Universität Tübingen,Germany,55.8,49.8,80.1,55.2,36.9,-,52.1,免费评估
164,University of Bergen,Norway,42,-,81,86.4,-,59.7,52.1,免费评估
164,"加利福尼亚大学欧文分校University of California, Irvine",United States,54,-,-,51.3,84.4,89.2,52.1,免费评估
167,University of Bern,Switzerland,38.1,43.2,37.7,100,40.8,88.4,51.9,免费评估
168,University College Dublin,Ireland,53.4,69.4,28,95.7,60.2,48.4,51.5,免费评估
169,达特茅斯学院Dartmouth College,United States,31.4,49.1,86.3,-,41.5,70.5,51.3,免费评估
170,Politecnico di Milano,Italy,63.9,93.4,-,36.9,42.4,53.1,50.9,免费评估
171,Albert-Ludwigs-Universitaet Freiburg,Germany,61.6,37.8,31.2,56.2,48.4,53.8,50.8,免费评估
172,Indian Institute of Technology Delhi (IITD),India,54.9,71.1,-,-,-,91.2,50.7,免费评估
173,King Fahd University of Petroleum & Minerals,Saudi Arabia,35.7,40.5,94.9,100,46.6,27.6,50.3,免费评估
173,利物浦大学The University of Liverpool,United Kingdom,45.4,47.5,53,82.3,96.5,38.7,50.3,免费评估
173,"弗吉尼亚大学University of Virginia,Main Campus",United States,47.7,49.2,60.6,50.7,-,53.3,50.3,免费评估
176,"悉尼科技大学University of Technology, Sydney",Australia,50.7,87,-,97.2,94.5,45.8,50.1,免费评估
177,CentraleSupélec,France,-,100,79.4,64.4,90.2,31.8,50.0,免费评估
178,佛罗里达大学University of Florida,United States,58.6,37.5,63.1,18.2,21.7,39.2,49.8,免费评估
179,Indian Institute of Technology Bombay (IITB),India,62.3,77.9,32.1,-,-,50.8,49.7,免费评估
179,University of Twente,Netherlands,28.9,-,42.7,88,76.8,92.2,49.7,免费评估
181,University of Göttingen,Germany,62.2,-,64.7,43.8,29.6,23.9,49.6,免费评估
182,Vienna University of Technology,Austria,39.8,75.6,-,67.2,91.2,83.7,49.5,免费评估
182,Universidade Estadual de Campinas (Unicamp),Brazil,76.9,73.4,-,-,-,30,49.5,免费评估
182,科罗拉多大学波尔得分校University of Colorado Boulder,United States,47,43.7,65.6,36.7,-,52,49.5,免费评估
182,Vrije Universiteit Brussel (VUB),Belgium,34.5,41.3,98.2,79.4,61.9,23.8,49.5,免费评估
186,罗彻斯特大学University of Rochester,United States,32.1,-,100,47.3,90,42.6,49.3,免费评估
187,Universidad Autónoma de Madrid,Spain,65.7,74.1,43.4,-,24.3,24.7,49.2,免费评估
188,Alma Mater Studiorum - University of Bologna,Italy,81.5,62.9,-,-,-,36.9,49.1,免费评估
188,雷丁大学University of Reading,United Kingdom,39.4,55.8,41.3,88.1,92.5,51.6,49.1,免费评估
190,Indian Institute of Science (IISc) Bangalore,India,38.3,-,56.1,-,-,100,49.0,免费评估
191,University of Cape Town,South Africa,60.2,55.1,32.9,59.2,49.2,35.9,48.9,免费评估
192,Keio University,Japan,63,80.2,60.7,-,-,-,48.5,免费评估
192,Scuola Normale Superiore di Pisa,Italy,-,-,91.2,-,-,98.3,48.5,免费评估
192,Scuola Superiore Sant'Anna Pisa di Studi Universitari e di Perfezionamento,Italy,-,-,86.3,-,49.8,96,48.5,免费评估
195,Stockholm University,Sweden,65.8,-,-,64.3,-,49.2,48.1,免费评估
195,Technische Universität Dresden,Germany,41.5,77,-,92.4,38.5,79,48.1,免费评估
195,德克萨斯A&M大学Texas A & M University,United States,69.7,54.1,-,-,-,57,48.1,免费评估
195,Universitat Autònoma de Barcelona,Spain,72.1,41.5,-,21.5,28.6,43.7,48.1,免费评估
199,Instituto Tecnológico y de Estudios Superiores de Monterrey,Mexico,42.8,84.9,77.1,98.4,23.2,-,48.0,免费评估
200,Maastricht University,Netherlands,30.8,39,35.4,95.9,100,73.3,47.9,免费评估
201,Universidad de Chile,Chile,82.7,85.1,-,-,-,-,47.8,免费评估
202,英国女王大学Queen's University Belfast,United Kingdom,35.2,50.5,41.7,98.8,94.5,50.9,47.4,免费评估
203,Waseda University,Japan,69,89,29.9,28.3,34.2,-,47.2,免费评估
204,Radboud University,Netherlands,38.6,-,55.5,44.7,40.4,73.6,47.1,免费评估
205,Tel Aviv University,Israel,49.1,45.5,-,29.7,-,96,47.0,免费评估
205,Universite libre de Bruxelles,Belgium,46.2,67,-,91.7,95.3,44.4,47.0,免费评估
207,National Chiao Tung University,Taiwan,33.3,38.4,49.5,35.2,53.1,76.8,46.9,免费评估
207,"University of Illinois, Chicago (UIC)",United States,55,33.1,36.2,35.4,61.1,46.9,46.9,免费评估
209,亚利桑那州立大学Arizona State University,United States,51.4,34.2,-,51,64,73,46.7,免费评估
210,University of Antwerp,Belgium,35,38,93,65.3,45.7,22.6,46.6,免费评估
210,西安大略大学University of Western Ontario,Canada,39.2,69.3,-,99.1,47.6,72.1,46.6,免费评估
212,范德堡大学Vanderbilt University,United States,35.8,-,100,21.7,36,33.4,46.5,免费评估
213,凯斯西储大学Case Western Reserve University,United States,-,-,97.8,25.4,61.4,54.9,46.4,免费评估
214,坎特伯雷大学University of Canterbury,New Zealand,47.1,48.5,-,99,64.7,56.8,46.3,免费评估
215,Sapienza University of Rome,Italy,78.2,49.5,-,-,-,40.1,46.1,免费评估
216,圣母诺特丹大学University of Notre Dame,United States,36.3,34.1,42.3,79.3,-,72,45.9,免费评估
217,卡尔加里大学Calgary University,Canada,42.8,56.9,35,82.5,61.3,43.5,45.8,免费评估
218,Vrije Universiteit Amsterdam,Netherlands,50.5,43.5,35.8,38.2,-,55.8,45.6,免费评估
219,惠灵顿维多利亚大学Victoria University of Wellington,New Zealand,54,41.6,-,100,58.7,45.8,45.5,免费评估
220,Sciences Po,France,31.6,72.1,82.5,62.2,98.5,-,45.2,免费评估
221,King Saud University,Saudi Arabia,35.9,37.7,89.3,98.3,-,-,44.5,免费评估
222,National Cheng Kung University (NCKU),Taiwan,49.9,42,40.2,-,26.7,49.3,44.3,免费评估
