Ranking,University Name,Average Teaching Score,NSS Teaching,NSS overall,expenditure pre student,Student:taff ratio,Career prospects,Value added score,Entry Tariff,NSS Feedback,Free
18,布里斯托大学University of Bristol,70.3,90.0,87.0,5.68,14.3,75,5.9,477,66.0,免费评估
19,莱斯特大学University of Leicester,70.1,89.0,89.0,7.55,13.7,60,5.5,408,73.0,免费评估
19,赫瑞瓦特大学Heriot Watt University,69.9,86.0,86.0,7.43,18.8,71,6.5,383,67.0,免费评估
21,伦敦城市大学City University London,69.3,82.0,78.0,7.87,16.6,66,6.6,370,63.0,免费评估
22,肯特大学University of Kent,69.0,87.0,88.0,6.3,14.6,68,5.8,349,66.0,免费评估
23,南安普顿大学University of Southampton,69.0,86.0,85.0,6.02,13.4,69,6.4,439,62.0,免费评估
24,东英吉利大学University of East Anglia,68.8,91.0,89.0,7.74,13.9,57,5.2,393,68.0,免费评估
25,雷丁大学University of Reading,68.6,88.0,89.0,5.79,14.9,66,6.1,374,64.0,免费评估
26,诺丁汉大学University of Nottingham,68.5,87.0,87.0,6.4,14.1,72,5.6,435,64.0,免费评估
27,阿斯顿大学Aston University,67.7,83.0,86.0,6.88,17.0,73,6.1,381,64.0,免费评估
28,萨塞克斯大学University of Sussex,67.7,90.0,88.0,5.1,16.6,64,7.5,381,67.0,免费评估
29,伦敦大学亚非学院SOAS University of London,67.5,86.0,86.0,7.22,11.3,59,6.9,410,62.0,免费评估
30,伯明翰大学University of Birmingham,67.3,87.0,85.0,8.1,15.5,70,5.6,433,62.0,免费评估
31,伦敦艺术大学University of the Arts London,67.2,77.0,69.0,8.95,17.4,53,6.2,302,67.0,免费评估
32,伦敦国王学院King's College London,67.2,88.0,84.0,6.86,11.7,76,5.9,456,60.0,免费评估
33,纽卡斯尔大学Newcastle University,67.1,89.0,89.0,5.9,15.3,73,5.3,425,66.0,免费评估
34,斯凯莱德大学,66.4,86.0,87.0,5.88,17.9,67,6.4,435,61.0,免费评估
35,罗伯特高登大学The Robert Gordon University,66.2,85.0,86.0,5.12,19.1,75,4.5,332,69.0,免费评估
36,伦敦大学玛丽女王学院Queen Mary University of London,64.9,86.0,88.0,7.04,13.1,68,4.7,394,68.0,免费评估
37,利兹大学University of Leeds,64.1,88.0,86.0,5.58,15.7,70,5.9,412,65.0,免费评估
38,阿伯丁大学University of Aberdeen,64.0,88.0,88.0,5.62,16.2,69,6.6,397,66.0,免费评估
39,伦敦大学皇家霍洛威学院Royal Holloway University of London,63.8,88.0,87.0,4.98,15.6,60,5.6,394,65.0,免费评估
39,卡迪夫大学Cardiff University,63.3,87.0,86.0,6.18,14.4,74,4.9,431,60.0,免费评估
41,曼彻斯特大学The University of Manchester,63.1,84.0,79.0,8.23,15.2,67,5.2,421,59.0,免费评估
42,谢菲尔德大学The University of Sheffield,63.0,89.0,90.0,5.01,15.4,68,5.2,444,65.0,免费评估
42,邓迪大学University of Dundee,62.9,86.0,86.0,6.02,14.2,65,6.4,370,65.0,免费评估
44,布鲁内尔大学Brunel University,62.5,83.0,85.0,6.15,18.0,57,5.7,342,72.0,免费评估
45,利物浦大学The University of Liverpool,61.8,86.0,86.0,7.16,13.0,68,6.0,408,61.0,免费评估
46,考文垂大学Coventry University,61.6,87.0,85.0,3.36,15.4,63,7.1,285,73.0,免费评估
47,林肯大学University of Lincoln,59.7,83.0,82.0,4.06,18.8,66,4.7,315,70.0,免费评估
48,哈德斯菲尔德大学University of Huddersfield,59.6,85.0,85.0,4.55,17.9,64,5.0,297,76.0,免费评估
49,牛津布鲁克斯大学Oxford Brookes University,59.6,85.0,82.0,5.48,16.7,60,7.1,323,66.0,免费评估
50,埃塞克斯大学University of Essex,59.0,86.0,88.0,6.76,15.9,50,4.6,324,68.0,免费评估
50,基尔大学Keele University,59.0,91.0,90.0,3.75,16.0,67,6.0,335,69.0,免费评估
52,切斯特大学University of Chester,58.9,86.0,84.0,4.14,16.6,63,5.6,282,72.0,免费评估
53,英国女王大学Queen's University Belfast,57.9,86.0,83.0,5.24,15.3,67,6.2,384,62.0,免费评估
54,西英格兰大学University of the West of England,57.2,84.0,83.0,3.82,20.8,62,6.7,298,67.0,免费评估
55,伯恩茅斯大学Bournemouth University,56.3,76.0,70.0,6.91,20.4,62,7.3,325,60.0,免费评估
56,诺桑比亚大学Northumbria University,56.3,82.0,83.0,5.37,18.2,60,5.1,315,68.0,免费评估
57,法尔茅茨大学,55.6,81.0,75.0,6.51,23.1,50,5.5,264,70.0,免费评估
58,桑德兰大学University of Sunderland,55.6,84.0,82.0,7.05,16.9,47,4.8,274,73.0,免费评估
59,格罗斯特大学University of Gloucestershire,54.9,85.0,83.0,4.61,21.4,50,7.6,286,71.0,免费评估
60,伯明翰城市大学Birmingham City University,54.7,83.0,80.0,5.74,21.1,60,7.0,280,71.0,免费评估
61,奇切斯特大学University of Chichester,54.5,88.0,87.0,3.24,18.4,50,4.9,290,70.0,免费评估
62,普利茅斯大学University of Plymouth,54.5,83.0,80.0,6.61,16.6,59,5.8,300,63.0,免费评估
63,班戈大学Bangor University,54.4,88.0,86.0,5.45,19.1,55,4.5,293,71.0,免费评估
63,布莱顿大学University of Brighton,54.3,84.0,83.0,4.64,18.6,49,6.0,289,67.0,免费评估
65,伦敦大学金史密斯学院Goldsmiths University of London,54.0,86.0,83.0,3.38,17.7,48,6.3,341,67.0,免费评估
65,威尔士大学卡迪夫学院,53.8,82.0,82.0,4.65,19.9,48,4.8,271,71.0,免费评估
67,斯特林大学University of Stirling,53.7,88.0,88.0,4.46,20.5,56,4.9,332,70.0,免费评估
68,泰士谷学,53.4,78.0,76.0,6.96,21.0,49,4.0,229,67.0,免费评估
69,赫尔大学The University of Hull,52.9,89.0,89.0,4.66,19.9,63,3.5,325,69.0,免费评估
70,德比大学University of Derby,52.3,85.0,81.0,4.66,18.1,48,4.7,273,71.0,免费评估
71,巴斯斯巴大学Bath Spa University,51.4,88.0,84.0,3.78,21.6,51,6.2,301,71.0,免费评估
72,中央兰开夏大学University of Central Lancashire,51.4,82.0,82.0,5.77,18.5,52,4.0,295,70.0,免费评估
73,龙比亚大学Napier University,51.1,83.0,83.0,3.67,23.6,62,7.5,290,66.0,免费评估
74,玛格丽特女王大学Queen Margaret University,51.1,86.0,78.0,2.54,20.6,54,7.1,328,59.0,免费评估
75,艾芝西尔大学Edge Hill University,50.8,86.0,84.0,2.88,18.5,57,4.7,262,75.0,免费评估
75,赫特福德大学University of Hertfordshire,50.6,82.0,83.0,4.03,19.8,56,7.7,295,66.0,免费评估
77,安格里亚鲁斯金大学,50.2,80.0,76.0,8.01,19.1,50,4.8,241,70.0,免费评估
78,朴茨茅斯大学University of Portsmouth,49.8,85.0,85.0,4.92,19.8,59,3.9,287,67.0,免费评估
79,蒂赛德大学Teesside University,49.8,84.0,82.0,5.42,19.5,53,4.7,288,74.0,免费评估
80,诺丁汉特伦特大学Nottingham Trent University,49.5,78.0,79.0,4.92,19.5,56,4.3,301,62.0,免费评估
81,亚伯大学Aberystwyth University,49.0,89.0,89.0,4.37,19.1,47,3.9,305,70.0,免费评估
82,格拉摩根大学University of Glamorgan,49.0,82.0,81.0,4.54,20.5,49,6.0,286,68.0,免费评估
82,谢菲尔德哈莱姆大学Sheffield Hallam University,48.7,80.0,79.0,3.92,19.6,54,7.2,302,64.0,免费评估
84,索尔福德大学University of Salford,48.5,82.0,79.0,3.99,16.2,53,4.7,283,64.0,免费评估
85,德蒙福特大学De Montfort University,48.4,83.0,84.0,3.47,18.1,52,4.3,284,70.0,免费评估
86,北安普顿大学The University of Northampton,48.2,84.0,80.0,5.15,20.6,47,6.9,239,70.0,免费评估
87,温切斯特大学University of Winchester,48.0,86.0,81.0,2.66,18.5,47,5.8,285,67.0,免费评估
88,格林威治大学The University of Greenwich,47.8,86.0,84.0,4.49,22.1,51,,252,72.0,免费评估
89,斯旺西大学Swansea University,47.8,82.0,82.0,4.22,16.4,61,4.9,342,61.0,免费评估
90,阿尔斯特大学University of Ulster,47.8,80.0,82.0,4.11,16.5,45,6.3,282,62.0,免费评估
91,布拉德福德大学University of Bradford,46.5,82.0,83.0,5.16,17.6,64,3.2,277,66.0,免费评估
92,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,46.5,82.0,82.0,3.54,20.9,51,6.6,332,61.0,免费评估
93,威斯敏斯特大学University of Westminster,46.2,75.0,74.0,4.16,18.4,53,6.4,290,61.0,免费评估
94,米德塞斯大学Middlesex University,46.1,80.0,79.0,7.53,21.9,48,5.5,219,69.0,免费评估
94,金斯顿大学Kingston University,45.8,81.0,79.0,4.46,19.8,53,6.8,278,61.0,免费评估
96,斯塔福德大学,45.1,83.0,80.0,5.95,21.6,55,4.0,246,68.0,免费评估
97,圣玛丽大学,44.2,89.0,87.0,2.38,23.3,57,4.2,264,69.0,免费评估
97,利物浦约翰摩尔斯大学Liverpool John Moores University,43.8,80.0,80.0,4.35,21.0,48,5.6,293,66.0,免费评估
99,伍斯特大学University of Worcester,43.8,85.0,84.0,4.16,21.5,52,5.1,282,71.0,免费评估
