Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:taff ratio,Spend per student,Entry Tariff,Value added score,Career after 6 mths,Free
1,剑桥大学University of Cambridge,100.0,90.2,91.1,72.4,11.6,9.7,615.8,6.0,85.8,免费评估
2,牛津大学University of Oxford,94.4,90.6,92.5,71.4,11.0,9.9,580.1,7.3,78.7,免费评估
3,圣安德鲁斯大学University of St Andrews,92.4,92.0,94.1,75.7,11.8,7.5,523.3,7.7,79.6,免费评估
4,巴斯大学University of Bath,83.4,93.7,92.5,74.4,16.6,5.9,489.4,6.3,83.4,免费评估
5,帝国理工学院Imperial College London,82.9,87.3,88.2,69.2,11.7,8.4,576.3,6.4,87.8,免费评估
6,萨里大学University of Surrey,82.5,90.9,91.4,74.1,15.4,7.5,422.3,6.7,73.3,免费评估
7,伦敦政治经济学院The London School of Economics and Political Science,82.0,88.3,85.1,71.4,11.8,7.3,537.8,5.0,76.3,免费评估
8,杜伦大学Durham University,81.7,90.0,89.8,71.8,15.6,5.7,526.7,6.4,83.2,免费评估
9,华威大学The University of Warwick,80.7,87.1,87.8,66.7,13.9,8.6,509.6,6.0,79.1,免费评估
10,兰卡斯特大学Lancaster University,80.5,88.5,90.2,72.1,14.9,7.6,448.5,5.8,73.2,免费评估
11,伦敦大学学院University College London,80.2,83.3,85.8,62.2,10.2,8.8,521.2,6.7,81.3,免费评估
12,埃克塞特大学University of Exeter,79.6,90.3,91.8,74.0,17.2,6.6,459.0,6.8,78.3,免费评估
13,赫瑞瓦特大学Heriot Watt University,79.5,91.3,88.0,77.2,16.4,7.6,423.5,5.9,78.2,免费评估
14,东英吉利大学University of East Anglia,76.1,90.7,91.7,69.8,13.0,7.3,430.8,5.9,69.2,免费评估
15,拉夫堡大学Loughborough University,74.5,88.4,86.8,72.3,15.6,6.5,406.5,5.9,75.9,免费评估
16,约克大学The University of York,74.0,87.8,88.8,68.5,15.0,6.5,446.3,5.6,75.2,免费评估
17,伯明翰大学University of Birmingham,73.5,87.5,89.6,69.6,14.5,7.5,439.0,5.8,80.3,免费评估
18,爱丁堡大学The University of Edinburgh,72.7,82.0,84.8,55.5,13.8,9.2,489.2,6.5,75.6,免费评估
19,南安普顿大学University of Southampton,72.5,88.9,88.6,67.1,12.8,6.6,431.1,6.3,76.1,免费评估
20,肯特大学University of Kent,71.9,87.5,87.0,69.0,13.6,5.8,372.0,6.2,71.1,免费评估
21,莱斯特大学University of Leicester,71.0,88.9,89.0,72.8,12.9,7.2,401.3,6.0,71.2,免费评估
22,阿斯顿大学Aston University,70.4,87.0,86.5,72.5,16.2,5.8,381.4,6.2,73.5,免费评估
22,诺丁汉大学University of Nottingham,70.4,87.6,88.1,68.6,14.1,6.7,442.0,5.9,77.4,免费评估
24,伦敦大学亚非学院SOAS University of London,69.4,88.0,89.9,66.7,11.6,6,422.4,7.1,66.9,免费评估
25,格拉斯哥大学University of Glasgow,69.3,89.9,91.7,68.2,15.2,6.2,487.4,4.5,75.0,免费评估
26,卡迪夫大学Cardiff University,69.0,89.1,88.2,67.4,13.0,7.5,423.4,5.7,77.9,免费评估
27,考文垂大学Coventry University,68.9,88.6,90.9,80.1,15.3,3.7,313.2,6.4,71.9,免费评估
28,利兹大学University of Leeds,68.6,87.1,89.1,71.5,14.7,6.6,434.1,6.4,70.1,免费评估
28,纽卡斯尔大学Newcastle University,68.6,89.9,89.2,71.1,15.2,5.3,438.1,5.5,80.3,免费评估
30,雷丁大学University of Reading,68.3,87.4,88.2,67.7,14.7,6.8,375.5,5.0,69.6,免费评估
31,伦敦艺术大学University of the Arts London,67.4,70.5,77.2,69.1,18.7,9.9,343.1,6.2,54.4,免费评估
32,伦敦大学玛丽女王学院Queen Mary University of London,67.2,88.2,88.2,69.8,14.0,7.3,424.5,4.8,70.0,免费评估
33,曼彻斯特大学The University of Manchester,66.2,84.0,87.2,68.7,13.9,7.2,442.4,5.0,72.1,免费评估
