Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:taff ratio,Spend per student,Entry Tariff,Value added score,Career after 6 mths,Free
1,剑桥大学University of Cambridge,100.0,,,,11.2,9.8,224,6.0,86,免费评估
2,圣安德鲁斯大学University of St Andrews,97.9,93.0,93.0,80.0,11.7,6.1,208,6.6,80,免费评估
3,牛津大学University of Oxford,97.6,,,,10.4,10.0,215,6.8,81,免费评估
4,拉夫堡大学Loughborough University,83.4,88.0,88.0,75.0,13.4,5.9,162,6.2,85,免费评估
5,杜伦大学Durham University,81.6,85.0,85.0,72.0,15.0,5.3,195,7.0,85,免费评估
6,巴斯大学University of Bath,80.0,86.0,87.0,69.0,15.6,6.2,182,6.8,87,免费评估
7,兰卡斯特大学Lancaster University,79.3,89.0,87.0,74.0,12.6,8.0,157,4.7,89,免费评估
7,帝国理工学院Imperial College London,79.3,82.0,84.0,64.0,11.4,8.6,206,5.9,91,免费评估
9,华威大学The University of Warwick,73.9,86.0,86.0,70.0,13.0,7.7,180,5.5,81,免费评估
10,埃克塞特大学University of Exeter,73.2,87.0,89.0,74.0,15.9,3.5,172,6.4,85,免费评估
11,利兹大学University of Leeds,71.8,88.0,90.0,73.0,13.4,7.0,166,7.0,81,免费评估
12,诺丁汉特伦特大学Nottingham Trent University,71.2,88.0,87.0,80.0,14.5,4.6,136,5.2,81,免费评估
13,Uni for the Creative Arts,71.1,83.0,85.0,81.0,12.9,7.7,144,5.1,73,免费评估
14,格拉斯哥大学University of Glasgow,70.9,87.0,90.0,69.0,13.7,5.5,200,5.8,85,免费评估
15,考文垂大学Coventry University,70.6,87.0,89.0,74.0,14.6,6.2,125,6.9,81,免费评估
16,伯明翰大学University of Birmingham,69.8,86.0,88.0,69.0,13.9,7.4,165,6.7,85,免费评估
17,林肯大学University of Lincoln,69.2,89.0,88.0,75.0,14.7,3.9,128,5.3,81,免费评估
18,诺丁汉大学University of Nottingham,67.8,84.0,87.0,70.0,14.5,6.2,161,6.2,85,免费评估
19,伦敦政治经济学院The London School of Economics and Political Science,66.6,69.0,75.0,57.0,11.1,8.6,190,6.1,83,免费评估
20,约克大学The University of York,66.5,85.0,88.0,75.0,14.6,5.5,158,4.7,82,免费评估
21,朴茨茅斯大学University of Portsmouth,66.1,88.0,87.0,74.0,15.4,6.2,115,5.5,85,免费评估
22,伦敦大学学院University College London,66.0,79.0,82.0,63.0,10.5,7.4,187,6.5,83,免费评估
23,布里斯托大学University of Bristol,65.9,82.0,86.0,66.0,13.5,6.7,177,6.3,80,免费评估
24,南安普顿大学University of Southampton,64.9,83.0,86.0,72.0,13.5,5.4,160,6.7,82,免费评估
25,爱丁堡大学The University of Edinburgh,64.8,77.0,85.0,61.0,11.9,8.5,190,6.7,77,免费评估
26,萨里大学University of Surrey,64.4,84.0,85.0,69.0,16.1,5.4,156,6.3,80,免费评估
26,德比大学University of Derby,64.4,88.0,90.0,79.0,14.5,5.9,123,4.1,76,免费评估
28,西英格兰大学University of the West of England,63.9,90.0,89.0,77.0,15.3,5.2,126,6.9,76,免费评估
29,邓迪大学University of Dundee,63.6,88.0,90.0,73.0,13.9,6.1,172,5.8,82,免费评估
30,东英吉利大学University of East Anglia,63.1,87.0,87.0,70.0,13.6,4.1,147,6.8,78,免费评估
31,斯旺西大学Swansea University,62.9,89.0,87.0,73.0,15.4,5.5,132,5.7,86,免费评估
32,基尔大学Keele University,62.8,89.0,89.0,76.0,14.0,4.6,127,5.3,82,免费评估
33,牛津布鲁克斯大学Oxford Brookes University,62.7,86.0,87.0,72.0,15.1,5.7,131,6.3,76,免费评估
34,阿伯丁大学University of Aberdeen,62.5,86.0,87.0,71.0,16.1,4.3,184,6.8,81,免费评估
35,纽卡斯尔大学Newcastle University,62.4,87.0,86.0,70.0,14.2,6.0,159,4.7,85,免费评估
