Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:taff ratio,Spend per student,Entry Tariff,Value added score,Career after 6 mths,Free
53,伦敦艺术大学University of the Arts London,61.1,76.7,80.4,74.2,17.0,9.9,323.1,5.7,58.5,免费评估
55,班戈大学Bangor University,60.5,90.4,90.6,78.1,16.9,4.3,343.8,4.0,67.9,免费评估
56,林肯大学University of Lincoln,60.4,83.9,86.2,72.2,15.7,4.1,339.5,4.3,70.3,免费评估
57,牛津布鲁克斯大学Oxford Brookes University,60.3,88.6,90.1,78.3,18.3,3.9,338.0,6.4,68.9,免费评估
58,斯特林大学University of Stirling,60.2,86.4,88.0,68.6,14.9,3.8,376.9,6.2,73.3,免费评估
59,利物浦大学The University of Liverpool,60.1,86.7,87.8,71.9,11.8,6.8,395.2,5.7,76.5,免费评估
60,曼彻斯特城市大学Manchester Metropolitan University,59.5,84.2,85.6,75.9,15.6,3.5,347.9,5.1,62.8,免费评估
61,德蒙福特大学De Montfort University,58.5,84.0,87.0,75.7,18.6,4.1,292.8,5.9,77.3,免费评估
62,埃塞克斯大学University of Essex,57.7,87.6,88.2,77.2,16.5,3.6,299.9,6.2,64.5,免费评估
63,温切斯特大学University of Winchester,57.3,90.6,91.4,77.6,16.7,2.7,295.3,6.2,61.6,免费评估
64,艾芝西尔大学Edge Hill University,57.2,86.3,89.7,78.8,14.8,4.1,327.9,5.4,64.1,免费评估
65,切斯特大学University of Chester,57.0,86.7,87.5,74.7,14.0,5.4,304.3,4.0,64.2,免费评估
66,巴斯斯巴大学Bath Spa University,56.7,89.1,90.5,81.7,18.5,5.1,321.7,5.3,54.9,免费评估
66,剑桥安鲁大学Anglia Ruskin University,56.7,86.0,89.1,77.1,17.3,8.1,256.4,4.9,65.0,免费评估
68,西英格兰大学University of the West of England,56.5,85.5,87.4,71.6,18.5,3.7,323.9,6.6,70.9,免费评估
69,斯塔福德郡大学Staffordshire University,55.3,81.8,84.8,75.3,15.7,5.8,265.6,5.6,58.1,免费评估
70,龙比亚大学Napier University,55.1,83.5,86.7,72.0,20.1,3.7,349.8,7.7,69.5,免费评估
71,赫尔大学The University of Hull,55.0,86.4,87.1,72.1,16.2,4.8,344.6,5.1,66.9,免费评估
72,格罗斯特大学University of Gloucestershire,54.9,83.6,87.2,72.8,18.3,5.7,326.1,6.6,55.8,免费评估
73,北安普顿大学The University of Northampton,54.7,85.7,87.4,77.1,18.6,5,280.7,6.3,62.3,免费评估
74,米德塞斯大学Middlesex University,54.5,81.8,82.8,73.6,16.3,7.1,300.8,4.6,64.3,免费评估
75,奇切斯特大学University of Chichester,54.3,87.0,90.7,76.2,16.0,3.1,304.9,5.5,58.0,免费评估
76,普利茅斯大学University of Plymouth,54.2,87.7,89.9,77.0,16.4,5.2,314.3,6.0,59.8,免费评估
77,布鲁内尔大学Brunel University,54.1,84.5,83.7,71.9,15.7,4.4,349.6,5.3,63.0,免费评估
77,哈德斯菲尔德大学University of Huddersfield,54.1,88.8,88.0,77.5,20.6,3.5,332.3,5.1,73.9,免费评估
79,阿尔斯特大学University of Ulster,53.9,90.9,89.6,77.9,17.1,4.3,307.7,5.2,63.9,免费评估
79,伯恩茅斯大学Bournemouth University,53.9,76.4,82.6,66.0,17.3,5.7,321.8,7.1,66.3,免费评估
79,利物浦霍普大学Liverpool Hope University,53.9,87.6,89.8,80.3,16.2,2.6,305.2,3.7,54.1,免费评估
79,桑德兰大学University of Sunderland,53.9,83.1,85.4,75.9,16.3,6.9,290.5,4.6,62.6,免费评估
83,索尔福德大学University of Salford,53.6,82.6,85.2,74.5,16.7,4,334.5,5.5,59.2,免费评估
84,利物浦约翰摩尔斯大学Liverpool John Moores University,53.5,85.5,86.4,76.0,18.1,3.5,345.4,6.0,63.5,免费评估
85,阿伯泰邓迪大学University of Abertay Dundee,53.4,87.4,88.2,72.4,19.3,2.6,346.8,6.7,65.7,免费评估
86,谢菲尔德哈莱姆大学Sheffield Hallam University,53.1,85.0,87.1,73.3,16.5,5.3,305.9,6.1,61.8,免费评估
87,中央兰开夏大学University of Central Lancashire,52.6,85.0,86.5,74.2,16.8,5.8,322.9,4.7,62.9,免费评估
88,利兹圣三一大学Leeds Trinity University,52.4,83.7,87.8,78.7,21.6,2.9,286.5,7.0,65.7,免费评估
