No.,Institution,Country Region,World Rank,National Rank,Alumni,Award,HiCi,N&S,PUB,PCP,Total Score,Free
48,Karolinska Institute,Sweden,48,1,22.4,26.6,24.8,23.5,50.8,37.4,31.9,免费评估
49,南加州大学University of Southern California,USA,49,32,0.0,31.7,35.6,22.1,53.2,20.3,31.3,免费评估
50,"University of California, Irvine",USA,50,33,0.0,29.3,34.3,28.9,45.3,27.5,31.0,免费评估
51,Technical University Munich,Germany,51,2,34.8,21.6,22.3,23.2,48.3,32.3,30.5,免费评估
52,University of Munich,Germany,52,3,25.6,19.1,20.3,28.9,50.7,32.6,30.3,免费评估
53,范德堡大学Vanderbilt University,USA,53,34,15.4,29.0,28.4,21.8,51.0,19.0,30.2,免费评估
54,University of Zurich,Switzerland,54,2,5.1,24.0,27.1,29.0,51.6,25.4,30.1,免费评估
55,伦敦国王学院King's College London,UK,55,7,21.2,21.0,29.5,18.2,54.3,25.6,30.0,免费评估
56,Utrecht University,Netherlands,56,1,22.9,20.0,29.1,25.4,46.0,26.9,29.8,免费评估
57,"University of California, Davis",USA,57,35,0.0,0.0,41.0,33.0,58.0,26.0,29.7,免费评估
58,University of Geneva,Switzerland,58,3,27.1,28.2,21.4,27.6,38.1,29.4,29.4,免费评估
59,University of Oslo,Norway,58,1,28.1,32.6,15.9,18.2,49.1,26.9,29.4,免费评估
60,宾州州立大学Pennsylvania State University,USA,60,36,10.3,0.0,41.6,31.6,53.4,22.4,29.3,免费评估
61,卡内基梅隆大学Carnegie Mellon University,USA,61,37,31.6,31.6,28.6,15.2,34.3,34.4,29.2,免费评估
62,Purdue University - West Lafayette,USA,61,37,13.6,23.1,27.7,25.1,49.0,22.4,29.2,免费评估
63,Uppsala University,Sweden,61,2,17.8,27.4,18.4,24.6,49.8,27.1,29.2,免费评估
64,麦吉尔大学McGill University,Canada,64,3,32.8,0.0,22.8,27.3,59.3,26.8,28.5,免费评估
65,"Rutgers, The State University of New Jersey - New Brunswick",USA,64,39,10.3,18.8,34.5,24.8,44.6,22.9,28.5,免费评估
66,布里斯托大学University of Bristol,UK,66,8,7.3,16.3,25.7,32.4,45.5,29.3,28.3,免费评估
67,The Hebrew University of Jerusalem,Israel,67,1,32.0,28.2,19.6,21.5,37.6,29.1,28.2,免费评估
68,俄亥俄州立大学Ohio State University,USA,67,40,12.6,0.0,38.3,22.8,60.9,18.9,28.2,免费评估
69,赫尔大学University of Hull,Finland,67,1,12.6,16.3,25.2,22.4,51.8,31.3,28.2,免费评估
70,"University of Pittsburgh, Pittsburgh Campus",USA,70,41,18.5,0.0,39.8,19.2,59.6,18.3,28.1,免费评估
71,Ghent University,Belgium,71,1,5.1,13.3,26.9,18.3,57.5,34.5,27.8,免费评估
72,Ecole Normale Superieure - Paris,France,72,3,48.9,28.0,6.2,19.5,26.4,60.5,27.6,免费评估
73,Aarhus University,Denmark,73,2,11.5,22.1,12.3,25.8,51.8,31.0,27.3,免费评估
74,波士顿大学Boston University,USA,73,42,11.5,11.5,29.1,26.3,49.5,21.8,27.3,免费评估
75,布朗大学Brown University,USA,75,43,14.5,13.3,26.2,25.1,43.6,32.8,27.0,免费评估
76,University of Groningen,Netherlands,75,2,0.0,18.8,23.0,21.0,52.6,32.7,27.0,免费评估
77,Nagoya University,Japan,77,3,29.0,25.3,16.8,17.7,44.3,23.1,26.7,免费评估
78,Stockholm University,Sweden,77,3,24.1,27.4,18.1,19.4,40.4,25.6,26.7,免费评估
79,Technion-Israel Institute of Technology,Israel,77,2,23.5,37.6,15.2,18.3,33.3,28.2,26.7,免费评估
80,澳大利亚国立大学The Australian National University,Australia,77,2,13.6,19.2,24.8,20.1,45.1,29.1,26.7,免费评估
81,昆士兰大学The University of Queensland,Australia,77,2,12.6,0.0,22.0,24.0,63.2,29.3,26.7,免费评估
