No.,Institution,Country Region,World Rank,National Rank,Alumni,Award,HiCi,N&S,PUB,PCP,Total Score,Free
242,西蒙弗雷泽大学Simon Fraser University,Canada,201-300,7-16,0.0,0.0,12.2,13.2,32.7,18.9,,免费评估
243,纽约州立大学石溪分校Stony Brook University,USA,201-300,79-102,0.0,0.0,14.8,18.4,36.0,16.7,,免费评估
244,Sungkyunkwan University,SouthKorea,201-300,2-5,0.0,0.0,0.0,11.1,47.0,21.4,,免费评估
245,Swedish University of Agricultural Sciences,Sweden,201-300,6-7,0.0,0.0,13.3,14.3,29.1,24.2,,免费评估
246,乔治华盛顿大学George Washington University,USA,201-300,79-102,11.5,0.0,6.3,12.0,35.5,17.9,,免费评估
247,香港科技大学The Hong Kong University of Science and Technology,China-hk,201-300,3-4,0.0,0.0,17.4,9.2,31.9,24.3,,免费评估
248,奥克兰大学The University of Auckland,NewZealand,201-300,1-2,13.6,0.0,10.1,11.9,41.0,21.3,,免费评估
249,卡尔加里大学Calgary University,Canada,201-300,7-16,0.0,0.0,13.8,13.6,44.6,18.0,,免费评估
250,邓迪大学University of Dundee,UK,201-300,22-28,0.0,0.0,16.8,16.9,24.5,20.2,,免费评估
251,The University of New Mexico - Albuquerque,USA,201-300,79-102,0.0,0.0,14.9,16.8,36.0,16.1,,免费评估
252,The University of Texas Health Science Center at Houston,USA,201-300,79-102,0.0,15.4,13.9,11.3,31.9,16.8,,免费评估
253,Toulouse School of Economics,France,201-300,9-15,0.0,29.8,8.6,0.0,10.0,17.9,,免费评估
254,TU Dresden,Germany,201-300,14-21,0.0,0.0,10.7,14.6,40.8,21.7,,免费评估
255,"University at Buffalo, the State University of New York",USA,201-300,79-102,0.0,0.0,13.1,9.3,37.5,15.3,,免费评估
256,阿伯丁大学University of Aberdeen,UK,201-300,22-28,0.0,13.3,12.2,12.5,31.3,21.2,,免费评估
257,University of Alabama at Birmingham,USA,201-300,79-102,0.0,0.0,18.1,11.2,40.4,15.3,,免费评估
258,University of Bergen,Norway,201-300,3,0.0,0.0,10.7,16.5,36.7,20.1,,免费评估
259,University of Bologna,Italy,201-300,6-8,0.0,0.0,13.8,10.0,48.1,18.6,,免费评估
260,University of Bordeaux,France,201-300,9-15,0.0,0.0,15.9,17.9,39.7,16.0,,免费评估
261,University of Cape Town,SouthAfrica,201-300,1-2,18.5,0.0,12.2,11.5,37.3,20.8,,免费评估
262,University of Cincinnati,USA,201-300,79-102,0.0,0.0,22.6,9.2,37.9,15.0,,免费评估
263,东英吉利大学University of East Anglia,UK,201-300,22-28,13.6,0.0,19.2,15.6,28.3,23.2,,免费评估
264,University of Erlangen-Nuremberg,Germany,201-300,14-21,0.0,0.0,15.9,14.5,39.7,21.9,,免费评估
265,University of Florence,Italy,201-300,6-8,0.0,0.0,15.2,10.1,38.8,18.5,,免费评估
266,圭尔夫大学University of Guelph,Canada,201-300,7-16,0.0,0.0,17.5,10.4,31.8,19.4,,免费评估
267,University of Houston,USA,201-300,79-102,0.0,0.0,17.3,13.4,35.9,20.2,,免费评估
268,University of Innsbruck,Austria,201-300,2-3,0.0,9.4,14.8,18.6,24.1,25.2,,免费评估
269,堪萨斯大学University of Kansas,USA,201-300,79-102,11.5,0.0,11.3,14.1,39.2,14.7,,免费评估
270,University of Kentucky,USA,201-300,79-102,10.3,0.0,3.6,12.1,39.4,13.6,,免费评估
271,University of Lausanne,Switzerland,201-300,7,0.0,0.0,14.9,22.0,33.2,21.2,,免费评估
272,莱斯特大学University of Leicester,UK,201-300,22-28,0.0,0.0,14.6,18.5,31.0,20.0,,免费评估
273,University of Leipzig,Germany,201-300,14-21,11.5,13.3,0.0,9.3,33.8,18.6,,免费评估
274,University of Liege,Belgium,201-300,5-6,7.3,0.0,10.1,13.5,30.8,23.5,,免费评估
275,University of Lisbon,Portugal,201-300,1,0.0,8.1,5.0,12.5,45.0,23.3,,免费评估
276,University of Lorraine,France,201-300,9-15,11.5,16.3,0.0,9.8,32.9,18.8,,免费评估
277,University of Mainz,Germany,201-300,14-21,0.0,7.7,8.9,15.9,35.2,20.1,,免费评估
278,University of Marburg,Germany,201-300,14-21,10.3,0.0,14.3,13.4,28.5,17.1,,免费评估
279,"University of Maryland, Baltimore",USA,201-300,79-102,0.0,0.0,19.1,13.6,37.1,16.5,,免费评估
280,University of Montpellier,France,201-300,9-15,10.3,0.0,6.3,17.7,35.9,14.1,,免费评估
281,University of Nebraska - Lincoln,USA,201-300,79-102,17.0,0.0,16.8,11.6,33.4,16.7,,免费评估
282,圣母诺特丹大学University of Notre Dame,USA,201-300,79-102,12.6,0.0,17.5,13.9,31.8,20.0,,免费评估
283,奥塔哥大学University of Otago,NewZealand,201-300,1-2,0.0,0.0,12.2,10.1,34.1,27.1,,免费评估
284,渥太华大学University of Ottawa,Canada,201-300,7-16,0.0,0.0,8.6,14.9,44.0,19.5,,免费评估
285,University of South Carolina - Columbia,USA,201-300,79-102,0.0,0.0,16.8,8.4,35.9,16.1,,免费评估
286,南佛罗里达大学University of South Florida,USA,201-300,79-102,0.0,0.0,16.3,10.4,40.2,18.5,,免费评估
287,University of Southern Denmark,Denmark,201-300,4,0.0,0.0,7.2,11.9,37.6,19.8,,免费评估
288,University of Stuttgart,Germany,201-300,14-21,18.5,0.0,10.1,12.2,26.7,16.3,,免费评估
289,University of Tehran,Iran,201-300,1,12.6,0.0,10.0,0.0,40.0,21.0,,免费评估
290,University of the Witwatersrand,SouthAfrica,201-300,1-2,18.5,0.0,7.1,15.8,33.0,19.5,,免费评估
291,University of Tsukuba,Japan,201-300,8-9,0.0,19.6,5.8,10.4,34.7,15.6,,免费评估
292,维多利亚大学University of Victoria,Canada,201-300,7-16,0.0,0.0,17.2,11.3,29.7,19.9,,免费评估
293,滑铁卢大学University of Waterloo,Canada,201-300,7-16,0.0,0.0,14.6,13.8,42.2,22.0,,免费评估
294,伍伦贡大学University of Wollongong,Australia,201-300,9-11,0.0,0.0,17.4,9.2,32.0,24.0,,免费评估
295,约克大学University of York,UK,201-300,22-28,0.0,0.0,13.9,15.2,32.5,20.4,,免费评估
296,弗吉尼亚理工大学Virginia Polytechnic Institute and State University,USA,201-300,79-102,11.5,0.0,11.4,11.4,40.9,17.4,,免费评估
297,西安大略大学University of Western Ontario,Canada,201-300,7-16,0.0,0.0,5.1,13.5,41.5,18.0,,免费评估
298,Xian Jiao Tong University,China,201-300,8-13,0.0,0.0,8.7,7.7,50.1,18.9,,免费评估
299,叶史瓦大学Yeshiva University,USA,201-300,79-102,0.0,0.0,6.3,21.7,31.5,21.6,,免费评估
300,Yonsei University,SouthKorea,201-300,2-5,0.0,0.0,8.6,4.9,52.1,21.4,,免费评估
301,Aalborg University,Denmark,301-400,5,0.0,0.0,11.2,4.6,30.4,16.8,,免费评估
302,Beihang University,China,301-400,14-27,0.0,0.0,8.6,3.9,40.3,16.5,,免费评估
303,杨百翰大学Brigham Young University,USA,301-400,103-125,8.9,0.0,12.2,8.4,26.3,12.9,,免费评估
304,Central South University,China,301-400,14-27,0.0,0.0,7.1,2.1,47.7,16.4,,免费评估
305,Chalmers University of Technology,Sweden,301-400,8-10,0.0,0.0,8.9,10.7,29.7,19.9,,免费评估
306,Chiba University,Japan,301-400,10-12,0.0,0.0,10.0,9.7,29.1,16.4,,免费评估
307,China Agricultural University,China,301-400,14-27,0.0,0.0,0.0,13.9,39.7,17.2,,免费评估
308,China Medical University,China-tw,301-400,3-5,0.0,0.0,13.6,2.1,31.3,23.2,,免费评估
309,City University of New York City College,USA,301-400,103-125,31.2,0.0,5.1,6.9,18.0,19.1,,免费评估
310,Dalian University of Technology,China,301-400,14-27,0.0,0.0,5.0,5.0,41.8,16.9,,免费评估
311,迪肯大学Deakin University,Australia,301-400,12-19,0.0,0.0,0.0,8.6,35.4,21.0,,免费评估
312,德雷塞尔大学Drexel University,USA,301-400,103-125,0.0,0.0,12.3,10.3,29.5,19.2,,免费评估
313,Ecole Polytechnique,France,301-400,16-18,21.8,0.0,5.1,10.9,25.6,22.0,,免费评估
314,Eindhoven University of Technology,Netherlands,301-400,11-12,0.0,0.0,12.3,9.2,31.1,22.5,,免费评估
315,ESPCI ParisTech,France,301-400,16-18,7.3,18.8,0.0,10.3,15.0,29.3,,免费评估
316,Federal University of Rio de Janeiro,Brazil,301-400,2-4,0.0,0.0,0.0,6.1,40.6,19.9,,免费评估
317,弗林德斯大学Flinders University,Australia,301-400,12-19,15.4,0.0,5.1,5.1,29.1,22.1,,免费评估
318,乔治城大学Georgetown University,USA,301-400,103-125,0.0,0.0,11.1,7.5,31.7,17.9,,免费评估
319,格里菲斯大学Griffith University,Australia,301-400,12-19,0.0,0.0,3.6,8.2,37.1,19.6,,免费评估
320,Hannover Medical School,Germany,301-400,22-28,0.0,0.0,8.7,7.9,31.4,16.8,,免费评估
321,Hanyang University,SouthKorea,301-400,6-8,0.0,0.0,0.0,6.9,40.5,21.6,,免费评估
322,Indian Institute of Science,India,301-400,1,0.0,0.0,7.2,2.7,36.8,18.6,,免费评估
323,Jagiellonian University,Poland,301-400,1-2,10.3,0.0,3.6,5.9,33.6,17.1,,免费评估
324,詹姆斯·库克大学James Cook University,Australia,301-400,12-19,0.0,0.0,10.1,15.4,27.4,23.9,,免费评估
325,Keio University,Japan,301-400,10-12,0.0,0.0,10.1,12.2,32.5,13.4,,免费评估
326,King Abdullah University of Science and Technology,SaudiArabia,301-400,3,0.0,0.0,20.3,9.5,22.4,15.5,,免费评估
327,Kobe University,Japan,301-400,10-12,14.5,0.0,5.1,11.5,30.8,15.1,,免费评估
328,Kyung Hee University,SouthKorea,301-400,6-8,0.0,0.0,5.0,4.4,38.9,18.0,,免费评估
329,兰卡斯特大学University of Lancaster,UK,301-400,29-33,0.0,0.0,13.9,7.4,30.1,19.2,,免费评估
330,Lanzhou University,China,301-400,14-27,0.0,0.0,7.1,2.9,38.9,18.9,,免费评估
331,Linkoping University,Sweden,301-400,8-10,0.0,0.0,10.7,9.3,34.0,17.5,,免费评估
332,London School of Hygiene & Tropical Medicine,UK,301-400,29-33,7.3,0.0,7.1,7.0,32.4,21.6,,免费评估
333,Nankai University,China,301-400,14-27,0.0,0.0,5.0,5.6,36.9,14.2,,免费评估
334,National and Kapodistrian University of Athens,Greece,301-400,1,0.0,0.0,10.6,4.4,38.9,19.7,,免费评估
335,National Cheng Kung University,China-tw,301-400,3-5,0.0,0.0,10.1,4.9,40.7,17.2,,免费评估
336,National Chiao Tung University,China-tw,301-400,3-5,0.0,0.0,8.6,8.8,32.1,19.3,,免费评估
337,Paris Dauphine University (Paris 9),France,301-400,16-18,20.5,26.6,3.6,0.0,12.7,24.2,,免费评估
338,Pohang University of Science and Technology,SouthKorea,301-400,6-8,0.0,0.0,7.1,9.1,29.9,31.9,,免费评估
339,Polytechnic University of Valencia,Spain,301-400,6-8,0.0,0.0,10.4,8.9,32.4,14.7,,免费评估
340,英国女王大学Queen's University Belfast,UK,301-400,29-33,17.8,0.0,0.0,10.1,31.4,17.6,,免费评估
341,伦斯勒理工学院Rensselaer Polytechnic Institute,USA,301-400,103-125,12.6,0.0,13.9,12.0,22.1,23.5,,免费评估
342,Saint Petersburg State University,Russia,301-400,2,26.7,0.0,0.0,6.7,29.7,17.4,,免费评估
343,San Diego State University,USA,301-400,103-125,0.0,0.0,14.3,10.1,24.2,16.2,,免费评估
344,Scuola Normale Superiore - Pisa,Italy,301-400,9-10,0.0,0.0,7.2,6.1,17.2,57.2,,免费评估
345,Shandong University,China,301-400,14-27,0.0,0.0,0.0,3.4,53.1,15.3,,免费评估
346,Sichuan University,China,301-400,14-27,0.0,0.0,0.0,4.3,54.2,15.2,,免费评估
347,South China University of Technology,China,301-400,14-27,0.0,0.0,7.1,5.1,40.7,15.5,,免费评估
348,Southeast University,China,301-400,14-27,0.0,0.0,8.7,5.6,43.6,16.2,,免费评估
349,斯威本科技大学Swinburne University of Technology,Australia,301-400,12-19,0.0,0.0,11.3,10.7,22.3,22.6,,免费评估
350,Technical University of Berlin,Germany,301-400,22-28,16.2,0.0,7.8,7.4,29.1,16.5,,免费评估
351,天普大学Temple University,USA,301-400,103-125,0.0,0.0,13.3,7.0,34.3,12.6,,免费评估
352,香港理工大学The Hong Kong Polytechnic University,China-hk,301-400,5,0.0,0.0,11.3,4.9,38.7,18.9,,免费评估
353,"The University of Newcastle, Australia",Australia,301-400,12-19,0.0,0.0,11.1,5.6,33.0,22.4,,免费评估
354,雷丁大学University of Reading,UK,301-400,29-33,0.0,0.0,14.3,8.4,26.7,18.5,,免费评估
355,The University of Texas at Dallas,USA,301-400,103-125,0.0,0.0,10.1,11.8,27.6,21.9,,免费评估
356,The University of Texas Health Science Center at San Antonio,USA,301-400,103-125,0.0,0.0,20.1,8.5,26.5,15.4,,免费评估
357,Thomas Jefferson University,USA,301-400,103-125,0.0,0.0,8.9,7.2,26.7,27.1,,免费评估
358,Tianjin University,China,301-400,14-27,0.0,0.0,0.0,1.5,46.8,17.8,,免费评估
359,Tongji University,China,301-400,14-27,0.0,0.0,0.0,8.4,46.3,15.7,,免费评估
360,Tulane University,USA,301-400,103-125,0.0,0.0,12.2,8.7,26.1,15.0,,免费评估
361,Umea University,Sweden,301-400,8-10,0.0,0.0,12.2,10.4,33.7,16.8,,免费评估
362,UNESP,Brazil,301-400,2-4,0.0,0.0,0.0,6.6,44.5,21.8,,免费评估
363,University at Albany (State University of New York),USA,301-400,103-125,0.0,0.0,13.1,8.7,25.6,18.4,,免费评估
364,University College Dublin,Ireland,301-400,2,0.0,0.0,10.7,9.7,34.1,18.0,,免费评估
365,University of Antwerp,Belgium,301-400,7,0.0,0.0,5.1,10.7,35.8,26.8,,免费评估
366,University of Belgrade,Serbia,301-400,1,0.0,0.0,0.0,2.5,43.3,21.0,,免费评估
367,University of Bochum,Germany,301-400,22-28,0.0,0.0,13.3,7.4,34.9,18.5,,免费评估
368,University of Campinas,Brazil,301-400,2-4,0.0,0.0,3.6,2.9,41.2,20.2,,免费评估
369,University of Central Florida,USA,301-400,103-125,0.0,0.0,13.6,10.4,28.6,16.6,,免费评估
370,University of Chile,Chile,301-400,1,7.3,0.0,0.0,11.1,33.0,17.1,,免费评估
371,科罗拉多大学丹佛分校University of Colorado Denver,USA,301-400,103-125,0.0,0.0,15.9,10.8,32.3,12.3,,免费评估
372,康涅狄格大学University of Connecticut,USA,301-400,103-125,11.5,0.0,8.0,8.6,35.0,13.4,,免费评估
373,University of Duesseldorf,Germany,301-400,22-28,11.5,0.0,6.1,9.6,31.5,17.0,,免费评估
374,University of Duisburg-Essen,Germany,301-400,22-28,0.0,0.0,8.6,9.7,30.6,16.1,,免费评估
375,University of Giessen,Germany,301-400,22-28,0.0,0.0,12.3,9.9,30.8,17.0,,免费评估
376,University of Granada,Spain,301-400,6-8,0.0,0.0,7.1,7.6,39.7,13.3,,免费评估
377,University of Malaya,Malaysia,301-400,1,0.0,0.0,5.0,0.0,43.9,21.6,,免费评估
378,曼尼托巴大学University of Manitoba,Canada,301-400,17-18,0.0,0.0,8.1,8.0,34.5,15.7,,免费评估
379,University of Missouri - Columbia,USA,301-400,103-125,8.9,0.0,3.6,12.5,38.1,13.7,,免费评估
380,University of Montana - Missoula,USA,301-400,103-125,5.1,0.0,15.9,13.9,17.5,17.8,,免费评估
381,University of Naples Federico II,Italy,301-400,9-10,0.0,0.0,3.6,4.2,42.0,16.6,,免费评估
382,University of New Hampshire - Durham,USA,301-400,103-125,0.0,0.0,14.3,10.3,22.0,15.8,,免费评估
383,奥瑞冈大学University of Oregon (UO),USA,301-400,103-125,8.9,0.0,10.1,14.8,27.3,18.3,,免费评估
384,University of Oulu,Finland,301-400,2-3,11.5,0.0,8.6,7.0,28.5,15.4,,免费评估
385,University of Porto,Portugal,301-400,2,0.0,0.0,0.0,10.7,42.2,21.1,,免费评估
386,萨省大学University of Saskatchewan,Canada,301-400,17-18,8.9,0.0,7.9,7.6,32.3,15.6,,免费评估
387,圣安德鲁斯大学University of St Andrews,UK,301-400,29-33,10.3,0.0,3.8,17.5,29.3,20.8,,免费评估
388,塔斯马尼亚大学University of Tasmania,Australia,301-400,12-19,0.0,0.0,10.1,15.1,28.9,22.9,,免费评估
389,"University of Technology, Sydney",Australia,301-400,12-19,0.0,0.0,14.3,3.9,28.5,19.1,,免费评估
390,University of Turku,Finland,301-400,2-3,0.0,0.0,6.3,8.2,33.0,17.1,,免费评估
391,University of Twente,Netherlands,301-400,11-12,0.0,0.0,5.1,8.3,31.4,20.1,,免费评估
392,University of Ulm,Germany,301-400,22-28,0.0,0.0,12.3,12.6,30.9,17.4,,免费评估
393,University of Valencia,Spain,301-400,6-8,0.0,0.0,8.6,7.6,41.1,14.3,,免费评估
394,佛蒙特大学University of Vermont,USA,301-400,103-125,13.6,0.0,12.2,11.4,26.6,14.8,,免费评估
395,University of Warsaw,Poland,301-400,1-2,15.4,0.0,0.0,8.8,29.9,16.0,,免费评估
396,University of Wyoming,USA,301-400,103-125,0.0,0.0,8.6,14.4,23.3,16.9,,免费评估
397,Washington State University,USA,301-400,103-125,0.0,0.0,17.3,8.5,31.0,16.6,,免费评估
398,Wayne State University,USA,301-400,103-125,0.0,0.0,3.6,9.3,38.1,14.2,,免费评估
399,Wuhan University,China,301-400,14-27,0.0,0.0,0.0,2.5,45.6,13.0,,免费评估
400,Xiamen University,China,301-400,14-27,0.0,0.0,5.5,9.2,39.4,14.7,,免费评估
401,Aalto University,Finland,401-500,4-6,0.0,0.0,0.0,10.4,33.4,17.0,,免费评估
402,Aristotle University of Thessaloniki,Greece,401-500,2,0.0,0.0,4.9,1.5,34.0,16.8,,免费评估
403,奥本大学Auburn University,USA,401-500,126-146,0.0,0.0,8.6,6.3,28.2,13.3,,免费评估
404,Bar-Ilan University,Israel,401-500,5-6,0.0,0.0,7.2,6.9,27.7,14.7,,免费评估
405,Ben-Gurion University of the Negev,Israel,401-500,5-6,0.0,0.0,3.6,5.6,32.9,16.4,,免费评估
406,Bielefeld University,Germany,401-500,29-39,0.0,0.0,11.8,8.6,24.8,14.0,,免费评估
407,波士顿学院Boston College,USA,401-500,126-146,0.0,0.0,8.6,14.1,22.3,15.0,,免费评估
408,布鲁内尔大学Brunel University,UK,401-500,34-37,0.0,0.0,12.2,3.6,23.7,15.5,,免费评估
409,Cairo University,Egypt,401-500,1,19.2,0.0,0.0,3.9,31.0,16.5,,免费评估
410,Capital Medical University,China,401-500,28-32,0.0,0.0,0.0,0.0,36.0,32.2,,免费评估
411,卡尔顿大学Carleton University,Canada,401-500,19-20,0.0,0.0,12.2,5.5,26.8,16.0,,免费评估
412,Catholic University of Chile,Chile,401-500,2,0.0,0.0,3.6,8.0,30.8,15.6,,免费评估
413,Catholic University of Korea,SouthKorea,401-500,9-12,0.0,0.0,0.0,1.5,29.8,34.8,,免费评估
414,Catholic University of the Sacred Heart,Italy,401-500,11-20,0.0,0.0,3.6,7.0,29.8,18.1,,免费评估
415,Chang Gung University,China-tw,401-500,6-7,0.0,0.0,3.6,2.7,34.6,21.7,,免费评估
416,克莱姆森大学Clemson University (CU),USA,401-500,126-146,0.0,0.0,6.3,7.8,26.3,14.4,,免费评估
417,East China University of Science and Technology,China,401-500,28-32,0.0,0.0,5.0,4.6,34.4,15.8,,免费评估
418,Eotvos Lorand University,Hungary,401-500,1-2,13.6,0.0,10.1,7.0,23.5,13.7,,免费评估
419,Ewha Womans University,SouthKorea,401-500,9-12,0.0,0.0,5.0,8.6,27.7,15.9,,免费评估
420,Federal University of Minas Gerais,Brazil,401-500,5-6,0.0,0.0,3.6,4.4,37.0,18.3,,免费评估
421,Federal University of Rio Grande do Sul,Brazil,401-500,5-6,0.0,0.0,0.0,5.0,38.8,19.0,,免费评估
422,Florida International University,USA,401-500,126-146,0.0,0.0,5.0,6.2,28.3,15.8,,免费评估
423,Hiroshima University,Japan,401-500,13-18,0.0,0.0,4.8,11.0,31.1,14.0,,免费评估
424,Istanbul University,Turkey,401-500,1,13.6,0.0,0.0,3.4,34.1,17.2,,免费评估
425,Kanazawa University,Japan,401-500,13-18,0.0,0.0,5.1,10.0,24.6,14.2,,免费评估
426,堪萨斯州立大学Kansas State University,USA,401-500,126-146,0.0,0.0,7.1,10.5,27.9,13.9,,免费评估
427,King Fahd University of Petroleum & Minerals,SaudiArabia,401-500,4,0.0,0.0,21.1,4.6,19.9,17.1,,免费评估
428,Kyungpook National University,SouthKorea,401-500,9-12,0.0,0.0,0.0,3.3,35.0,17.0,,免费评估
429,Medical University of Graz,Austria,401-500,4-6,0.0,9.4,3.6,4.4,23.4,21.4,,免费评估
430,Medical University of South Carolina,USA,401-500,126-146,0.0,0.0,7.2,3.3,29.7,19.7,,免费评估
431,MINES ParisTech,France,401-500,19-22,13.6,24.9,0.0,3.6,7.8,13.6,,免费评估
432,Nanjing Medical University,China,401-500,28-32,0.0,0.0,0.0,3.9,34.9,29.7,,免费评估
433,Nara Institute of Science and Technology,Japan,401-500,13-18,0.0,0.0,13.3,13.5,13.9,11.4,,免费评估
434,National Sun Yat-Sen University,China-tw,401-500,6-7,0.0,0.0,12.3,2.3,26.5,19.6,,免费评估
435,Okayama University,Japan,401-500,13-18,0.0,0.0,3.6,9.0,28.3,11.7,,免费评估
436,Oklahoma State University,USA,401-500,126-146,0.0,0.0,8.6,4.6,27.6,13.6,,免费评估
437,Peking Union Medical College,China,401-500,28-32,0.0,0.0,0.0,10.8,33.6,17.1,,免费评估
438,Polytechnic University of Catalonia,Spain,401-500,9-13,0.0,0.0,5.0,9.3,27.9,14.0,,免费评估
439,Pusan National University,SouthKorea,401-500,9-12,0.0,0.0,0.0,4.3,35.7,16.1,,免费评估
440,昆士兰科技大学Queensland University of Technology,Australia,401-500,20,0.0,0.0,0.0,3.3,34.6,18.5,,免费评估
441,Rush University,USA,401-500,126-146,0.0,0.0,10.7,6.7,24.9,16.6,,免费评估
442,圣路易斯大学Saint Louis University,USA,401-500,126-146,0.0,11.5,5.1,5.0,24.2,11.8,,免费评估
443,Sharif University of Technology,Iran,401-500,2,15.4,0.0,3.6,0.0,29.1,15.3,,免费评估
444,Soochow University,China,401-500,28-32,0.0,0.0,0.0,4.0,41.3,15.3,,免费评估
445,State University of New York Health Science Center at Brooklyn,USA,401-500,126-146,0.0,15.4,5.1,6.7,15.3,17.3,,免费评估
446,Stellenbosch University,SouthAfrica,401-500,3-4,0.0,0.0,5.0,5.3,31.2,15.7,,免费评估
447,Stockholm School of Economics,Sweden,401-500,11,0.0,16.3,0.0,1.5,10.2,39.4,,免费评估
448,雪城大学Syracuse University,USA,401-500,126-146,0.0,0.0,8.1,8.0,25.2,13.4,,免费评估
449,Technical University Darmstadt,Germany,401-500,29-39,14.5,0.0,3.6,7.6,27.8,15.0,,免费评估
450,Technical University of Braunschweig,Germany,401-500,29-39,12.6,0.0,3.6,8.6,22.3,12.6,,免费评估
451,Texas Tech University,USA,401-500,126-146,0.0,0.0,5.1,3.3,31.6,15.1,,免费评估
452,The University of Texas Medical Branch at Galveston,USA,401-500,126-146,0.0,0.0,13.9,5.5,21.3,13.8,,免费评估
453,The University of Tokushima,Japan,401-500,13-18,13.6,0.0,5.1,8.0,19.7,14.7,,免费评估
454,Tokyo Medical and Dental University,Japan,401-500,13-18,0.0,0.0,3.6,9.2,23.9,23.2,,免费评估
455,University College Cork,Ireland,401-500,3,0.0,0.0,13.1,7.5,25.3,14.4,,免费评估
456,University of Alaska - Fairbanks,USA,401-500,126-146,0.0,0.0,12.2,11.7,19.3,15.7,,免费评估
457,University of Arkansas at Fayetteville,USA,401-500,126-146,0.0,0.0,12.2,6.1,24.4,14.1,,免费评估
458,University of Arkansas at Little Rock,USA,401-500,126-146,0.0,0.0,10.7,2.1,24.4,19.9,,免费评估
459,University of Auvergne,France,401-500,19-22,0.0,0.0,7.1,10.5,25.0,16.1,,免费评估
460,巴斯大学University of Bath,UK,401-500,34-37,0.0,0.0,5.1,11.7,27.9,19.1,,免费评估
461,University of Bayreuth,Germany,401-500,29-39,0.0,0.0,8.6,13.3,21.5,13.0,,免费评估
462,University of Bremen,Germany,401-500,29-39,0.0,0.0,0.0,14.1,29.1,15.7,,免费评估
463,University of Coimbra,Portugal,401-500,3,0.0,0.0,0.0,7.2,32.9,16.3,,免费评估
464,University of Eastern Finland,Finland,401-500,4-6,0.0,0.0,10.7,5.7,28.8,15.3,,免费评估
465,埃塞克斯大学University of Essex,UK,401-500,34-37,19.2,0.0,8.6,1.5,20.7,19.9,,免费评估
466,University of Ferrara,Italy,401-500,11-20,0.0,0.0,10.1,5.9,24.9,21.4,,免费评估
467,University of Genoa,Italy,401-500,11-20,0.0,0.0,7.2,4.2,31.7,17.5,,免费评估
468,University of Graz,Austria,401-500,4-6,7.3,9.4,0.0,6.2,19.9,17.0,,免费评估
469,University of Halle-Wittenberg,Germany,401-500,29-39,0.0,6.7,3.6,9.4,25.9,14.0,,免费评估
470,University of Hannover,Germany,401-500,29-39,0.0,0.0,8.6,10.6,24.8,13.8,,免费评估
471,University of Jena,Germany,401-500,29-39,0.0,0.0,0.0,9.3,34.0,17.1,,免费评估
472,University of Jyvaskyla,Finland,401-500,4-6,0.0,0.0,3.6,10.3,26.7,14.1,,免费评估
473,University of Konstanz,Germany,401-500,29-39,0.0,0.0,12.1,11.4,22.2,13.5,,免费评估
474,University of KwaZulu-Natal,SouthAfrica,401-500,3-4,0.0,0.0,3.6,8.4,32.8,16.6,,免费评估
475,University of Ljubljana,Slovenia,401-500,1,0.0,0.0,0.0,7.7,35.1,14.2,,免费评估
476,"University of Maryland, Baltimore County",USA,401-500,126-146,0.0,0.0,17.4,6.5,17.8,17.3,,免费评估
477,University of Milan - Bicocca,Italy,401-500,11-20,0.0,0.0,5.0,5.6,30.9,21.4,,免费评估
478,University of Nice Sophia Antipolis,France,401-500,19-22,0.0,0.0,3.6,16.3,26.2,12.7,,免费评估
479,University of Oklahoma - Norman,USA,401-500,126-146,0.0,0.0,5.1,10.0,28.0,14.0,,免费评估
480,University of Palermo,Italy,401-500,11-20,0.0,0.0,6.3,6.6,28.2,14.8,,免费评估
481,University of Parma,Italy,401-500,11-20,0.0,0.0,13.6,2.1,26.7,19.6,,免费评估
482,University of Pavia,Italy,401-500,11-20,0.0,0.0,5.0,5.7,30.7,19.7,,免费评估
483,University of Perugia,Italy,401-500,11-20,0.0,0.0,3.6,7.5,29.3,18.5,,免费评估
484,University of Quebec,Canada,401-500,19-20,0.0,0.0,0.0,9.8,33.3,16.8,,免费评估
485,University of Regensburg,Germany,401-500,29-39,0.0,0.0,3.6,13.9,27.7,15.2,,免费评估
486,University of Rennes 1,France,401-500,19-22,0.0,0.0,3.6,9.2,28.1,11.2,,免费评估
487,University of Rhode Island,USA,401-500,126-146,0.0,0.0,15.2,6.1,21.1,16.0,,免费评估
488,University of Roma - Tor Vergata,Italy,401-500,11-20,0.0,0.0,0.0,8.8,33.7,19.2,,免费评估
489,University of Rostock,Germany,401-500,29-39,0.0,0.0,8.6,8.4,25.0,13.5,,免费评估
490,University of Santiago Compostela,Spain,401-500,9-13,0.0,0.0,7.1,6.1,31.1,13.2,,免费评估
491,"University of Science, Malaysia",Malaysia,401-500,2,0.0,0.0,7.1,3.3,30.6,15.7,,免费评估
492,University of Seville,Spain,401-500,9-13,0.0,0.0,0.0,7.5,33.7,11.3,,免费评估
493,萨里大学University of Surrey,UK,401-500,34-37,0.0,0.0,8.6,4.9,27.0,18.0,,免费评估
494,University of Szeged,Hungary,401-500,1-2,0.0,13.3,3.6,3.4,21.8,12.8,,免费评估
495,University of the Basque Country,Spain,401-500,9-13,0.0,0.0,3.6,7.1,36.1,13.5,,免费评估
496,University of Trieste,Italy,401-500,11-20,0.0,0.0,5.0,10.9,25.1,20.1,,免费评估
