Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:taff ratio,Spend per student,Entry Tariff,Value added score,Career after 6 mths,Free
1,剑桥大学University of Cambridge,100.0,89,91,70,11.0,9.7,225,5.8,88,免费评估
2,牛津大学University of Oxford,97.4,90,92,68,10.5,9.9,217,6.6,85,免费评估
3,圣安德鲁斯大学University of St Andrews,97.2,93,94,82,11.6,5.2,206,7.1,82,免费评估
4,拉夫堡大学Loughborough University,87.9,90,89,75,13.8,6.3,162,6.1,82,免费评估
5,杜伦大学Durham University,87.6,89,89,76,14.9,5.1,198,6.7,84,免费评估
6,巴斯大学University of Bath,84.1,88,88,72,15.8,6.3,186,6.6,85,免费评估
7,帝国理工学院Imperial College London,83.3,83,85,65,11.4,8.6,219,5.7,90,免费评估
8,华威大学The University of Warwick,80.9,88,87,71,12.8,7.8,182,5.8,80,免费评估
9,兰卡斯特大学Lancaster University,80.2,90,88,75,12.7,7.7,157,4.2,85,免费评估
10,利兹大学University of Leeds,78.8,89,90,74,13.2,7.3,168,6.6,82,免费评估
11,伦敦大学学院University College London,78.0,81,84,63,10.3,8.8,191,6.9,81,免费评估
12,约克大学The University of York,77.9,88,90,76,14.6,5.9,159,4.8,82,免费评估
13,考文垂大学Coventry University,77.8,88,90,78,14.6,5.9,126,6.9,81,免费评估
14,埃克塞特大学University of Exeter,77.2,89,89,75,16.5,3.7,176,5.8,84,免费评估
15,伦敦政治经济学院The London School of Economics and Political Science,76.8,73,78,60,11.9,7.9,203,5.7,86,免费评估
16,诺丁汉特伦特大学Nottingham Trent University,76.6,89,87,80,14.8,4.8,143,5.1,76,免费评估
17,诺丁汉大学University of Nottingham,76.0,87,88,72,13.9,6.3,163,7.0,83,免费评估
18,东英吉利大学University of East Anglia,75.7,90,89,72,13.4,4.4,153,7.5,79,免费评估
19,伯明翰大学University of Birmingham,75.6,88,89,72,14.8,7.2,166,6.4,86,免费评估
