Rank,Institution,Country Region,National Rank,Alumni,Award,HiCi,N&S,PUB,PCP,Total Score,Free
1,哈佛大学Harvard University,UnitedStates,1,100.0,100.0,100.0,100.0,100.0,73.0,100.0,免费评估
2,斯坦福大学Stanford University,UnitedStates,2,42.0,78.7,86.1,69.6,70.3,65.7,73.7,免费评估
3,"加州大学伯克利分校University of California,Berkeley",UnitedStates,3,72.5,77.1,67.9,72.9,69.2,52.6,71.9,免费评估
4,剑桥大学University of Cambridge,UnitedKingdom,1,93.6,91.5,54.0,58.2,65.4,65.1,71.6,免费评估
5,麻省理工学院Massachusetts Institute of Technology,UnitedStates,4,74.6,80.6,65.9,68.4,61.7,53.4,70.0,免费评估
6,加利福尼亚理工学院California Institute of Technology,UnitedStates,5,55.5,69.1,58.4,67.6,50.3,100.0,66.4,免费评估
7,哥伦比亚大学Columbia University,UnitedStates,6,76.0,65.7,56.5,54.3,69.6,46.4,63.2,免费评估
8,普林斯顿大学Princeton University,UnitedStates,7,62.3,80.4,59.3,42.9,46.5,58.9,59.5,免费评估
9,芝加哥大学The University of Chicago,UnitedStates,8,70.8,80.2,50.8,42.8,54.1,41.3,58.4,免费评估
10,牛津大学University of Oxford,UnitedKingdom,2,60.3,57.9,46.3,52.3,65.4,44.7,56.4,免费评估
11,耶鲁大学Yale University,UnitedStates,9,50.9,43.6,57.9,57.2,63.2,48.9,55.9,免费评估
12,康奈尔大学Cornell University,UnitedStates,10,43.6,51.3,54.5,51.4,65.1,39.9,54.3,免费评估
13,"加州大学洛杉矶分校University of California,Los Angeles",UnitedStates,11,25.6,42.8,57.4,49.1,75.9,35.5,52.6,免费评估
14,"加利福尼亚大学圣地亚哥分校University of California,San Diego",UnitedStates,12,16.6,34.0,59.3,55.5,64.6,46.6,50.4,免费评估
15,宾夕法尼亚大学University of Pennsylvania,UnitedStates,13,33.3,34.4,56.9,40.3,70.8,38.7,49.0,免费评估
16,"西雅图华盛顿大学University of Washington,Seattle Campus",UnitedStates,14,27.0,31.8,52.4,49.0,74.1,27.4,48.2,免费评估
17,威斯康星大学-麦迪逊分校University of Wisconsin-Madison,UnitedStates,15,40.3,35.5,52.9,43.1,67.2,28.6,48.0,免费评估
18,旧金山大学University of San Francisco,UnitedStates,16,0.0,36.8,54.0,53.7,59.8,46.7,46.8,免费评估
19,The Johns Hopkins University,UnitedStates,17,48.1,27.8,41.3,50.9,67.9,24.7,46.1,免费评估
20,The University of Tokyo,Japan,1,33.8,14.1,41.9,52.7,80.9,34.0,45.9,免费评估
21,"密歇根大学安娜堡分校University of Michigan,Ann Arbor",UnitedStates,18,40.3,0.0,60.7,40.8,77.1,30.7,44.0,免费评估
22,Kyoto University,Japan,2,37.2,33.4,38.5,35.1,68.6,30.6,43.1,免费评估
23,"The Imperial College of Science, Technology and Medicine",UnitedKingdom,3,19.5,37.4,40.6,39.7,62.2,39.4,43.0,免费评估
23,多伦多大学University of Toronto,Canada,1,26.3,19.3,39.2,37.7,77.6,44.4,43.0,免费评估
25,伦敦大学学院University College London,UnitedKingdom,4,28.8,32.2,38.5,42.9,63.2,33.8,42.8,免费评估
26,伊利诺伊大学香槟分校University of Illinois at Urbana-Champaign,UnitedStates,19,39.0,36.6,44.5,36.4,57.6,26.2,42.7,免费评估
27,Swiss Federal Institute of Technology Zurich,Switzerland,1,37.7,36.3,35.5,39.9,38.4,50.5,39.9,免费评估
28,圣路易斯华盛顿大学Washington University in St Louis,UnitedStates,20,23.5,26.0,39.2,43.2,53.4,39.3,39.7,免费评估
29,西北大学Northwestern University,UnitedStates,21,20.4,18.9,46.9,34.2,57.0,36.9,38.2,免费评估
30,纽约大学New York University,UnitedStates,22,35.8,24.5,41.3,34.4,53.9,25.9,38.0,免费评估
30,Rockefeller University,UnitedStates,22,21.2,58.6,27.7,45.6,23.2,37.8,38.0,免费评估
32,杜克大学Duke University,UnitedStates,24,19.5,0.0,46.9,43.6,62.0,39.2,37.4,免费评估
33,"明尼苏达大学双城校区University of Minnesota,Twin Cities",UnitedStates,25,33.8,0.0,48.6,35.9,67.0,23.5,37.0,免费评估
34,科罗拉多大学波尔得分校University of Colorado Boulder,UnitedStates,26,15.6,30.8,39.9,38.8,45.7,30.0,36.6,免费评估
35,"加利福尼亚大学圣塔芭芭拉分校University of California, Santa Barbara",UnitedStates,27,0.0,35.3,42.6,36.2,42.7,35.1,35.8,免费评估
