Ranking,University Name,Average Teaching Score,expenditure pre student,Student:taff ratio,Change in past year,Free
101,罗汉普顿大学Roehampton University,44.8,3.3,20,8.0,免费评估
103,米德塞斯大学Middlesex University,44.5,7.39,23,-9.0,免费评估
104,坎特伯雷大学Canterbury Christ Church University,44.2,3.2,19.5,1.0,免费评估
105,West Scotland,43.8,3.5,21.7,2.0,免费评估
105,卡迪夫都市大学Cardiff Metropolitan University,43.8,3.58,23.4,-39.0,免费评估
107,利兹都会大学Leeds Metropolitan University,43.5,3.09,20.7,5.0,免费评估
108,格林多大学Glyndwr University,43.3,3.52,23.2,-2.0,免费评估
109,哥比亚大学University of Cumbria,41.1,3.11,18.6,-7.0,免费评估
110,贝德福德大学University of Bedfordshire,40.3,5.54,23.3,-7.0,免费评估
111,南安普顿索伦特大学Southampton Solent University,40.2,3.5,20.5,6.0,免费评估
111,利兹圣三一大学Leeds Trinity University,40.2,2.0,23.3,2.0,免费评估
113,伦敦南岸大学London South Bank University,39.4,3.91,23.7,-9.0,免费评估
114,阿伯泰邓迪大学University of Abertay Dundee,35.3,1.75,24,5.0,免费评估
115,波尔顿大学University of Bolton,33.1,3.4,20.6,5.0,免费评估
115,东伦敦大学University of East London,33.1,3.4,24.8,0.0,免费评估
117,伦敦都市大学London Metropolitan University,31.7,2.09,21.7,1.0,免费评估
118,圣大卫三一学院University of Wales Trinity Saint David,31.2,4.05,21.3,-8.0,免费评估
119,新白金汉大学Buckinghamshire New University,30.1,3.85,24.1,-3.0,免费评估
