Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
82,威斯敏斯特大学University of Westminster,124,3.97,2.74,65.9,554,免费评估
83,罗伯特高登大学The Robert Gordon University,157,4.06,2.35,77.5,546,免费评估
84,伦敦艺术大学University of the Arts London,135,3.94,3.12,56.5,543,免费评估
85,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,164,3.91,2.67,69.6,542,免费评估
86,奇切斯特大学University of Chichester,121,4.14,2.5,60.9,536,免费评估
86,赫特福德大学University of Hertfordshire,119,4.02,2.61,78.4,536,免费评估
88,格罗斯特大学University of Gloucestershire,123,4.1,2.38,68.7,535,免费评估
89,德比大学University of Derby,119,4.09,2.07,73.8,530,免费评估
90,法尔茅斯大学Falmouth University,120,4.06,2.04,71.6,527,免费评估
91,温切斯特大学University of Winchester,113,4.02,2.32,63.3,525,免费评估
92,蒂赛德大学Teesside University,119,4.04,2.58,79.1,524,免费评估
93,伦敦南岸大学London South Bank University,108,4.02,2.52,81.7,523,免费评估
94,赫尔大学The University of Hull,123,4.01,2.7,75.9,522,免费评估
95,金斯顿大学Kingston University,125,3.99,2.7,63.7,521,免费评估
96,格林威治大学The University of Greenwich,135,3.98,2.33,66.1,520,免费评估
97,伯明翰城市大学Birmingham City University,128,4.02,2.64,70.0,517,免费评估
98,切斯特大学University of Chester,114,4.09,2.08,69.5,515,免费评估
99,桑德兰大学University of Sunderland,120,4.0,2.12,67.8,513,免费评估
99,阿伯泰邓迪大学University of Abertay Dundee,155,4.03,2.16,66.1,513,免费评估
101,龙比亚大学Napier University,146,3.94,2.52,65.5,510,免费评估
102,中央兰开夏大学University of Central Lancashire,129,4.02,2.51,69.9,509,免费评估
103,巴斯斯巴大学Bath Spa University,122,4.0,2.52,64.1,507,免费评估
104,"特威克南圣玛丽大学St Mary's, Twickenham",119,4.08,1.98,73.8,502,免费评估
105,米德塞斯大学Middlesex University,119,4.0,2.58,59.0,501,免费评估
106,布莱顿大学University of Brighton,117,4.0,2.84,68.4,494,免费评估
107,南威尔士大学The University of South Wales,129,3.97,2.51,62.1,484,免费评估
108,利兹圣三一大学Leeds Trinity University,100,4.15,2.01,68.0,482,免费评估
109,东伦敦大学University of East London,112,4.08,2.71,61.3,476,免费评估
110,伍斯特大学University of Worcester,119,4.08,2.08,65.7,473,免费评估
111,坎特伯雷大学Canterbury Christ Church University,108,3.98,2.38,63.7,471,免费评估
112,南安普顿索伦特大学Southampton Solent University,116,4.03,1.63,63.1,468,免费评估
113,北安普顿大学The University of Northampton,107,4.0,2.09,62.8,467,免费评估
114,西苏格兰大学University of the West of Scotland,138,4.0,2.36,71.7,464,免费评估
115,圣大卫三一学院University of Wales Trinity Saint David,113,4.12,2.39,52.7,458,免费评估
116,剑桥安鲁大学Anglia Ruskin University,105,4.1,2.37,67.6,439,免费评估
117,皇家农学院Royal Agricultural University,122,3.98,1.4,63.8,432,免费评估
118,贝德福德大学University of Bedfordshire,95,4.01,2.52,67.8,422,免费评估
119,纽曼大学Newman University,119,3.97,2.13,62.3,414,免费评估
120,格罗斯泰斯特主教大学Bishop Grosseteste University,110,4.02,1.96,69.8,411,免费评估
121,利兹贝克特大学Leeds Beckett University,114,4.01,2.16,62.8,400,免费评估
122,新白金汉大学Buckinghamshire New University,111,3.97,2.19,62.1,383,免费评估
123,哥比亚大学University of Cumbria,118,3.87,2.13,68.0,381,免费评估
123,约克圣约翰大学York St John University,113,4.04,2.04,55.0,381,免费评估
125,"伦敦大学伯克贝克学院Birkbeck, University Of London",94,3.95,2.97,72.4,379,免费评估
126,波尔顿大学University of Bolton,112,4.09,2.04,64.2,368,免费评估
127,Wrexham Glyndwr,101,4.06,2.15,62.3,357,免费评估
128,Suffolk,118,3.96,,65.5,354,免费评估
129,伍尔弗汉普顿大学University of Wolverhampton,108,4.01,2.31,65.6,348,免费评估
130,Plymouth Marjon,125,4.08,,59.9,336,免费评估
131,伦敦都市大学London Metropolitan University,101,4.0,2.44,63.7,309,免费评估
