Rank,Institution,Country Region,National Rank,Alumni,Award,HiCi,N&S,PUB,PCP,Total Score,Free
1,哈佛大学Harvard University,UnitedStates,1,100.0,100.0,100.0,100.0,100.0,74.1,100.0,免费评估
2,斯坦福大学Stanford University,UnitedStates,2,40.0,78.7,86.6,68.9,71.6,66.9,73.7,免费评估
3,"加州大学伯克利分校University of California,Berkeley",UnitedStates,3,69.0,77.1,68.8,70.6,70.0,53.0,71.4,免费评估
4,剑桥大学University of Cambridge,UnitedKingdom,1,90.3,91.5,53.6,56.0,64.1,65.0,70.4,免费评估
5,麻省理工学院Massachusetts Institute of Technology,UnitedStates,4,71.0,80.6,65.6,68.7,61.6,53.9,69.6,免费评估
6,加利福尼亚理工学院California Institute of Technology,UnitedStates,5,52.8,69.1,57.4,66.1,49.7,100.0,65.4,免费评估
7,哥伦比亚大学Columbia University,UnitedStates,6,72.4,65.7,56.5,52.3,70.5,46.6,62.5,免费评估
8,普林斯顿大学Princeton University,UnitedStates,7,59.3,80.4,61.9,40.5,44.8,59.3,58.9,免费评估
9,芝加哥大学The University of Chicago,UnitedStates,8,67.4,81.9,50.5,39.5,51.9,41.3,57.1,免费评估
10,牛津大学University of Oxford,UnitedKingdom,2,59.0,57.9,48.4,52.0,66.0,45.7,56.8,免费评估
11,耶鲁大学Yale University,UnitedStates,9,48.5,43.6,57.0,55.7,62.4,48.7,54.9,免费评估
12,康奈尔大学Cornell University,UnitedStates,10,41.5,51.3,54.1,52.3,64.7,40.4,54.1,免费评估
13,"加州大学洛杉矶分校University of California,Los Angeles",UnitedStates,11,24.4,42.8,57.4,48.9,75.7,36.0,52.4,免费评估
14,"加利福尼亚大学圣地亚哥分校University of California,San Diego",UnitedStates,12,15.8,34.0,59.7,53.0,66.7,47.4,50.3,免费评估
15,宾夕法尼亚大学University of Pennsylvania,UnitedStates,13,31.7,34.4,58.3,41.3,69.0,39.2,49.0,免费评估
16,"西雅图华盛顿大学University of Washington,Seattle Campus",UnitedStates,14,25.7,31.8,53.1,49.5,74.1,28.0,48.3,免费评估
17,威斯康星大学-麦迪逊分校University of Wisconsin-Madison,UnitedStates,15,38.4,35.5,52.6,41.2,68.1,28.8,47.4,免费评估
18,旧金山大学University of San Francisco,UnitedStates,16,0.0,36.8,54.1,51.5,60.8,47.5,46.6,免费评估
19,The University of Tokyo,Japan,1,32.2,14.1,43.1,51.9,83.3,35.0,46.4,免费评估
20,The Johns Hopkins University,UnitedStates,17,45.8,27.8,43.1,48.7,68.5,24.8,45.5,免费评估
21,"密歇根大学安娜堡分校University of Michigan,Ann Arbor",UnitedStates,18,38.4,0.0,60.6,41.7,78.1,31.4,44.2,免费评估
22,伦敦大学学院University College London,UnitedKingdom,3,31.2,32.2,38.6,44.3,65.8,35.4,44.0,免费评估
23,Kyoto University,Japan,2,35.4,33.4,38.6,35.8,70.6,31.5,43.5,免费评估
24,Swiss Federal Institute of Technology Zurich,Switzerland,1,35.9,36.3,36.1,38.1,53.6,56.0,43.1,免费评估
24,多伦多大学University of Toronto,Canada,1,25.0,19.3,38.6,37.0,79.8,45.8,43.1,免费评估
26,伊利诺伊大学香槟分校University of Illinois at Urbana-Champaign,UnitedStates,19,37.1,36.6,43.8,36.1,60.3,26.9,42.9,免费评估
27,"The Imperial College of Science, Technology and Medicine",UnitedKingdom,4,18.6,37.4,39.9,38.2,61.8,39.4,42.4,免费评估
28,"明尼苏达大学双城校区University of Minnesota,Twin Cities",UnitedStates,20,32.2,16.3,50.0,34.8,67.5,24.4,40.4,免费评估
29,圣路易斯华盛顿大学Washington University in St Louis,UnitedStates,21,22.4,26.0,38.6,43.2,56.0,40.5,40.1,免费评估
30,西北大学Northwestern University,UnitedStates,22,19.4,18.9,46.7,32.8,58.7,37.7,38.1,免费评估
31,纽约大学New York University,UnitedStates,23,34.1,24.5,39.9,34.4,53.4,25.9,37.4,免费评估
32,杜克大学Duke University,UnitedStates,24,18.6,0.0,46.1,42.6,63.4,39.8,37.2,免费评估
32,Rockefeller University,UnitedStates,24,20.2,58.6,29.2,42.2,22.3,37.9,37.2,免费评估
34,科罗拉多大学波尔得分校University of Colorado Boulder,UnitedStates,26,14.8,30.8,39.3,39.4,45.5,30.4,36.4,免费评估
35,英属哥伦比亚大学University of British Columbia,Canada,2,18.6,18.9,31.8,31.9,65.8,38.2,36.3,免费评估
36,"加利福尼亚大学圣塔芭芭拉分校University of California, Santa Barbara",UnitedStates,27,0.0,35.3,41.9,34.9,43.2,35.4,35.5,免费评估
37,马里兰大学University of Maryland-College Park,UnitedStates,28,23.1,20.0,40.6,30.4,53.1,26.1,34.6,免费评估
38,北卡罗来纳州大学教堂山分校University of North Carolina at Chapel Hill,UnitedStates,29,11.2,16.3,37.9,28.8,62.0,29.1,33.9,免费评估
39,德克萨斯大学奥斯汀分校The University of Texas at Austin,UnitedStates,30,19.4,16.7,46.1,26.7,54.2,21.3,33.7,免费评估
40,曼彻斯特大学The University of Manchester,UnitedKingdom,5,24.4,18.9,28.2,28.3,60.5,30.4,33.6,免费评估
41,The University of Texas Southwestern Medical Center at Dallas,UnitedStates,31,21.7,33.2,30.9,31.7,39.3,32.1,33.3,免费评估
42,宾州州立大学Pennsylvania State University,UnitedStates,32,12.5,0.0,45.5,38.5,58.9,24.4,33.1,免费评估
