Ranking,University Name,Location,Teaching,International Outlook,Research,Citations,Industry Income,Overall score,Free
63,Scuola Normale Superiore di Pisa,Italy,48.2,50.1,46.0,96.4,40.1,61.9,免费评估
64,Leiden University,Netherlands,45.0,59.5,58.2,82.3,47.3,61.3,免费评估
65,昆士兰大学The University of Queensland,Australia,45.8,80.4,58.4,74.2,66.2,61.2,免费评估
66,Pohang University of Science and Technology,South Korea,52.7,36.0,49.3,84.4,100,61.1,免费评估
67,University of G?ttingen,Germany,46.9,53.9,48.0,92.3,32.8,61.0,免费评估
68,俄亥俄州立大学Ohio State University,United States of America,54.0,51.5,51.1,80.4,46.8,60.7,免费评估
69,莱斯大学Rice University,United States of America,41.7,70.8,37.1,99.9,34.6,59.8,免费评估
70,Heidelberg University,Germany,52.6,63.1,45.4,81.4,41.6,59.6,免费评估
71,Delft University of Technology,Netherlands,55.5,77.9,71.4,42.6,100,59.2,免费评估
72,Erasmus University Rotterdam,Netherlands,39.8,66.2,53.7,82.3,54.4,59.1,免费评估
73,Wageningen University and Research Center,Netherlands,44.3,78.7,46.8,77.5,100,59.0,免费评估
74,布里斯托大学University of Bristol,United Kingdom,43.7,76.6,44.7,85.1,42.1,58.9,免费评估
75,University of Basel,Switzerland,41.2,91.2,41.1,81.4,97.7,58.4,免费评估
75,南加州大学University of Southern California,United States of America,55.2,42.7,44.6,81.3,34.4,58.4,免费评估
77,University of Amsterdam,Netherlands,42.0,60.5,55.4,76.6,56.7,58.2,免费评估
78,école Normale Supérieure,France,48.7,81.9,36.2,84.8,39.4,58.1,免费评估
79,Utrecht University,Netherlands,38.2,52.9,54.8,80.0,84.1,58.0,免费评估
80,Humboldt University of Berlin,Germany,51.9,55.7,52.6,71.9,31.9,57.9,免费评估
81,Free University of Berlin,Germany,49.4,56.6,58.0,67.6,33.5,57.6,免费评估
82,密歇根州立大学Michigan State University,United States of America,51.1,55.0,49.4,74.0,31.7,57.3,免费评估
83,杜伦大学Durham University,United Kingdom,37.2,80.4,40.7,88.9,34.8,56.9,免费评估
83,蒙纳什大学Monash University,Australia,43.7,79.6,54.4,65.7,73.4,56.9,免费评估
85,Middle East Technical University,Turkey,45.5,38.7,36.9,92.0,55.2,56.6,免费评估
86,University of Arizona,United States of America,44.9,38.8,51.4,74.0,99.6,56.5,免费评估
86,圣母诺特丹大学University of Notre Dame,United States of America,43.3,51.4,38.5,90.0,-,56.5,免费评估
88,塔夫茨大学Tufts University,United States of America,43.6,51.1,33.9,92.9,58.7,56.4,免费评估
88,"University of California, Irvine",United States of America,39.5,56.1,41.7,89.5,40,56.4,免费评估
90,Ghent University,Belgium,42.5,49.1,51.6,73.8,85.3,56.2,免费评估
91,University of Massachusetts,United States of America,44.8,40.3,49.1,78.7,52.8,56.1,免费评估
91,匹兹堡大学University of Pittsburgh-Pittsburgh Campus,United States of America,45.2,32.2,46.3,84.4,38.5,56.1,免费评估
93,埃默里大学Emory University,United States of America,49.0,42.9,32.4,89.5,42.3,55.5,免费评估
94,麦克马斯特大学McMaster University,Canada,38.1,69.4,43.2,78.8,85,55.3,免费评估
94,格拉斯哥大学University of Glasgow,United Kingdom,37.0,78.8,40.5,83.7,39.9,55.3,免费评估
96,范德堡大学Vanderbilt University,United States of America,46.0,28.3,38.2,87.7,59.4,55.2,免费评估
97,科罗拉多大学波尔得分校University of Colorado Boulder,United States of America,35.0,39.1,38.3,97.4,-,55.1,免费评估
98,Stockholm University,Sweden,30.1,53.2,45.0,90.9,32.4,54.6,免费评估
98,Technical University of Munich,Germany,45.6,64.0,37.4,78.8,49,54.6,免费评估
98,Uppsala University,Sweden,40.2,57.5,53.0,70.9,39.6,54.6,免费评估
101,Maastricht University,Netherlands,32.4,89.7,48.1,70.1,96.1,54.3,免费评估
102,Purdue University,United States of America,47.8,64.3,50.5,62.2,-,54.0,免费评估
103,Pierre and Marie Curie University,France,47.3,64.7,30.0,83.3,33.4,53.9,免费评估
103,University of Helsinki,Finland,37.5,49.7,48.1,79.0,31.5,53.9,免费评估
103,华威大学The University of Warwick,United Kingdom,41.1,85.7,45.8,68.2,35.6,53.9,免费评估
103,University of Zurich,Switzerland,40.2,86.9,33.1,81.4,40.1,53.9,免费评估
107,伦敦大学玛丽女王学院Queen Mary University of London,United Kingdom,32.4,88.6,32.9,88.9,37.1,53.8,免费评估
107,University of Geneva,Switzerland,34.5,96.8,37.2,78.2,65.1,53.8,免费评估
109,"University of California, Santa Cruz",United States of America,30.6,54.6,31.9,100.0,33.8,53.7,免费评估
109,新南威尔士大学The University of New South Wales,Australia,41.1,83.5,51.9,61.1,47.8,53.7,免费评估
111,圣安德鲁斯大学University of St Andrews,United Kingdom,35.7,90.5,35.9,81.4,39.8,53.6,免费评估
111,萨塞克斯大学University of Sussex,United Kingdom,31.9,83.6,30.4,92.8,31.2,53.6,免费评估
113,蒙特利尔大学University of Montreal,Canada,43.8,76.7,44.4,62.9,91.8,53.4,免费评估
113,University of Tübingen,Germany,41.5,53.0,44.7,74.0,54.7,53.4,免费评估
113,约克大学The University of York,United Kingdom,32.2,75.0,33.8,90.5,32.2,53.4,免费评估
116,凯斯西储大学Case Western Reserve University,United States of America,46.5,34.4,37.4,82.9,-,53.2,免费评估
117,University of Groningen,Netherlands,36.9,56.1,50.8,68.1,88.9,53.1,免费评估
118,伦敦大学皇家霍洛威学院Royal Holloway University of London,United Kingdom,29.1,94.4,22.4,98.9,32.8,53.0,免费评估
119,Lund University,Sweden,32.6,70.1,48.5,74.9,32.6,52.9,免费评估
120,Paris-Sud University,France,37.3,62.7,33.1,87.7,28.9,52.8,免费评估
121,Technical University of Denmark,Denmark,39.9,79.7,28.2,79.6,98.6,52.7,免费评估
121,University of Rochester,United States of America,41.9,55.5,29.2,87.7,36.4,52.7,免费评估
121,谢菲尔德大学The University of Sheffield,United Kingdom,40.0,74.8,39.1,74.3,43.8,52.7,免费评估
124,阿尔伯塔大学University of Alberta,Canada,43.8,73.4,47.1,61.8,51.8,52.6,免费评估
124,University of Cape Town,South Africa,26.8,76.7,35.3,86.6,88,52.6,免费评估
126,Boston College,United States of America,32.4,54.6,29.1,95.9,46.5,52.5,免费评估
126,KTH Royal Institute of Technology,Sweden,45.7,84.0,44.8,55.1,100,52.5,免费评估
126,佛罗里达大学University of Florida,United States of America,49.8,32.2,52.1,62.2,-,52.5,免费评估
129,Chinese University of Hong Kong,Hong Kong,43.9,64.0,53.5,57.8,42.8,52.4,免费评估
130,"弗吉尼亚大学University of Virginia,Main Campus",United States of America,48.7,31.8,35.9,76.9,49.8,52.1,免费评估
131,兰卡斯特大学Lancaster University,United Kingdom,35.4,84.7,36.1,78.0,34.1,52.0,免费评估
132,University of Bern,Switzerland,42.0,80.7,36.9,70.1,47.4,51.9,免费评估
132,"University of Maryland, College Park",United States of America,36.5,44.8,39.1,83.6,33.2,51.9,免费评估
132,南安普顿大学University of Southampton,United Kingdom,35.2,82.4,34.1,79.7,38.9,51.9,免费评估
135,Dresden University of Technology,Germany,39.8,44.7,42.0,70.8,99.5,51.6,免费评估
136,University of Lausanne,Switzerland,29.4,85.1,39.9,76.5,50.9,51.4,免费评估
136,VU University Amsterdam,Netherlands,35.5,50.6,43.2,74.9,60,51.4,免费评估
138,Trinity College Dublin,Republic of Ireland,39.4,83.9,30.3,77.6,30.6,51.2,免费评估
139,Bo?azi?i University,Turkey,28.5,54.1,27.6,96.8,47.7,51.1,免费评估
140,Radboud University Nijmegen,Netherlands,30.5,61.6,46.7,73.9,42.8,51.0,免费评估
141,Colorado School of Mines,United States of America,26.1,52.6,26.7,97.1,79.4,50.9,免费评估
141,德克萨斯A&M大学Texas A & M University,United States of America,46.2,49.1,51.9,55.1,49.6,50.9,免费评估
141,Tokyo Institute of Technology,Japan,53.5,37.0,52.9,48.1,69.4,50.9,免费评估
144,Eindhoven University of Technology,Netherlands,38.3,69.0,47.1,57.3,99.9,50.5,免费评估
144,"Rutgers, the State University of New Jersey",United States of America,40.5,34.3,45.3,71.0,35.2,50.5,免费评估
146,利兹大学University of Leeds,United Kingdom,39.4,67.6,39.1,69.3,39.4,50.4,免费评估
147,Brandeis University,United States of America,25.8,54.7,29.1,95.3,43.9,50.3,免费评估
148,Sungkyunkwan University (SKKU),South Korea,48.1,35.8,50.2,51.7,98.5,50.2,免费评估
148,伯明翰大学University of Birmingham,United Kingdom,42.8,75.8,39.8,62.7,36,50.2,免费评估
150,印第安纳大学伯明顿主校区Indiana University Bloomington,United States of America,46.5,37.1,35.1,73.1,-,50.1,免费评估
150,"University of California, Riverside",United States of America,29.4,61.6,27.5,91.5,39.5,50.1,免费评估
152,达特茅斯学院Dartmouth College,United States of America,38.3,33.1,35.4,80.4,49.1,50.0,免费评估
153,Aarhus University,Denmark,30.9,66.3,47.5,66.5,59.8,49.9,免费评估
154,埃克塞特大学University of Exeter,United Kingdom,32.0,79.8,32.7,78.0,35.8,49.7,免费评估
155,National Taiwan University,Taiwan,48.8,27.5,57.3,47.7,43.8,49.3,免费评估
156,RWTH Aachen University,Germany,39.0,56.8,29.9,75.0,69.8,49.2,免费评估
157,Osaka University,Japan,51.3,29.1,48.0,51.1,73.6,49.1,免费评估
157,利物浦大学The University of Liverpool,United Kingdom,31.3,79.5,33.2,76.2,40,49.1,免费评估
157,西澳大学The University of Western Australia,Australia,36.3,87.3,38.1,62.2,63.3,49.1,免费评估
160,University of Copenhagen,Denmark,34.0,71.8,34.4,73.5,44.4,49.0,免费评估
160,école Normale Supérieure de Lyon,France,38.1,64.4,33.8,73.0,29.3,49.0,免费评估
162,University of Utah,United States of America,38.8,27.5,36.5,75.0,58.1,48.6,免费评估
163,University of Freiburg,Germany,38.0,56.7,28.1,74.0,81.4,48.3,免费评估
164,阿德莱德大学The University of Adelaide,Australia,33.8,79.3,40.4,61.1,65.3,48.2,免费评估
165,Istanbul Technical University,Turkey,30.2,37.3,36.9,79.7,51.1,48.1,免费评估
165,Karlsruhe Institute of Technology,Germany,40.5,60.1,34.9,62.9,82.7,48.1,免费评估
165,Pompeu Fabra University,Spain,25.1,63.2,28.3,88.3,35.9,48.1,免费评估
165,Tohoku University,Japan,49.7,29.7,47.3,49.6,76.8,48.1,免费评估
169,迈阿密大学University of Miami,United States of America,42.7,56.7,27.2,73.1,-,48.0,免费评估
170,University of Antwerp,Belgium,34.6,61.0,33.6,67.7,100,47.9,免费评估
171,诺丁汉大学University of Nottingham,United Kingdom,39.9,70.6,35.8,62.7,39.6,47.8,免费评估
171,Université Catholique de Louvain,Belgium,37.9,59.7,34.9,67.7,46.1,47.8,免费评估
173,乔治城大学Georgetown University,United States of America,51.1,43.3,28.2,62.2,80,47.7,免费评估
