Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:taff ratio,Spend per student,Entry Tariff,Value added score,Career after 6 mths,Free
1,剑桥大学University of Cambridge,100.0,90.6,92.4,72.7,11.3,9.9,602.0,5.5,89.3,免费评估
2,牛津大学University of Oxford,97.5,92.0,93.3,70.8,10.6,10,572.6,6.7,82.8,免费评估
3,圣安德鲁斯大学University of St Andrews,91.8,92.2,92.3,74.6,11.4,7.9,517.3,6.9,78.5,免费评估
4,萨里大学University of Surrey,87.7,90.4,90.5,76.7,14.0,7.2,424.1,6.2,82.1,免费评估
5,巴斯大学University of Bath,85.9,93.2,91.4,74.9,16.7,6,478.8,6.9,85.0,免费评估
6,杜伦大学Durham University,84.6,90.5,90.2,73.2,14.9,5.8,524.4,6.7,79.7,免费评估
6,华威大学The University of Warwick,84.6,89.2,89.2,71.7,12.6,8.5,482.2,5.9,78.3,免费评估
8,帝国理工学院Imperial College London,84.3,87.2,88.4,66.9,11.3,7.8,568.3,5.7,89.9,免费评估
9,埃克塞特大学University of Exeter,83.8,91.5,90.7,76.7,15.7,6.7,463.3,6.6,80.2,免费评估
10,兰卡斯特大学Lancaster University,82.1,89.0,88.3,71.8,13.8,8.1,435.7,5.1,78.7,免费评估
11,拉夫堡大学Loughborough University,81.2,89.2,88.1,75.6,15.0,6.1,397.3,6.3,80.0,免费评估
12,伦敦大学学院University College London,81.0,85.8,86.2,61.8,10.3,8.7,502.1,6.6,80.9,免费评估
13,伦敦政治经济学院The London School of Economics and Political Science,80.5,82.9,82.7,66.1,11.4,7.6,532.7,4.5,82.2,免费评估
14,南安普顿大学University of Southampton,76.2,86.6,87.6,67.9,12.0,6.9,410.9,6.5,77.8,免费评估
15,考文垂大学Coventry University,75.7,91.1,92.7,81.4,14.7,4.4,309.8,6.7,71.7,免费评估
16,肯特大学University of Kent,75.5,90.7,88.7,72.6,13.0,4.9,362.8,6.5,75.6,免费评估
17,伯明翰大学University of Birmingham,75.1,89.6,90.1,69.6,15.5,7.4,426.4,6.4,84.4,免费评估
18,赫瑞瓦特大学Heriot Watt University,74.8,87.1,86.3,74.2,16.9,7.8,413.4,6.1,72.7,免费评估
19,萨塞克斯大学University of Sussex,74.5,85.4,87.5,67.5,15.6,7.8,386.1,5.3,77.9,免费评估
20,爱丁堡大学The University of Edinburgh,74.2,82.2,85.0,55.4,12.2,9.1,484.1,6.1,78.2,免费评估
20,东英吉利大学University of East Anglia,74.2,92.4,91.5,71.6,13.7,4.3,407.6,6.8,71.0,免费评估
22,约克大学The University of York,73.4,85.9,88.8,68.0,14.8,7,437.3,5.0,74.7,免费评估
23,利兹大学University of Leeds,73.1,88.4,89.8,71.1,13.7,6.3,431.3,6.3,74.9,免费评估
24,格拉斯哥大学University of Glasgow,72.6,90.7,91.0,66.6,14.8,6.4,470.4,4.6,79.8,免费评估
25,雷丁大学University of Reading,72.0,89.0,88.5,69.9,14.2,7,373.0,5.5,72.5,免费评估
26,伦敦大学亚非学院SOAS University of London,71.4,87.5,89.4,65.9,10.9,6.5,406.5,6.7,62.2,免费评估
27,卡迪夫大学Cardiff University,71.2,88.6,88.4,69.3,14.3,7.2,426.5,5.3,80.1,免费评估
28,诺丁汉大学University of Nottingham,71.1,87.9,88.1,67.6,14.0,6.8,427.7,5.6,79.0,免费评估
29,曼彻斯特大学The University of Manchester,70.8,84.7,86.0,67.7,13.2,7.9,435.1,5.0,75.6,免费评估
29,纽卡斯尔大学Newcastle University,70.8,90.7,89.8,71.6,15.6,6.1,424.3,5.7,79.4,免费评估
31,法尔茅斯大学Falmouth University,70.4,81.4,84.4,74.5,21.5,6.1,309.5,6.5,72.4,免费评估
32,莱斯特大学University of Leicester,70.2,88.8,87.7,68.6,12.2,7.5,386.0,5.3,74.0,免费评估
