Rank,Institution,Country Region,National Rank,Alumni,Award,HiCi,N&S,PUB,PCP,Total Score,Free
1,哈佛大学Harvard University,UnitedStates,1,100.0,100.0,100.0,100.0,100.0,71.1,100.0,免费评估
2,斯坦福大学Stanford University,UnitedStates,2,38.0,79.7,88.9,71.6,69.6,49.2,72.8,免费评估
3,麻省理工学院Massachusetts Institute of Technology,UnitedStates,3,69.0,83.2,68.2,69.2,61.6,64.1,71.8,免费评估
4,"加州大学伯克利分校University of California,Berkeley",UnitedStates,4,67.5,80.9,69.7,68.5,68.1,53.4,71.6,免费评估
5,剑桥大学University of Cambridge,UnitedKingdom,1,80.3,97.2,54.6,55.0,65.9,52.1,69.8,免费评估
6,加利福尼亚理工学院California Institute of Technology,UnitedStates,5,48.5,68.8,57.4,64.8,46.2,100.0,64.1,免费评估
7,普林斯顿大学Princeton University,UnitedStates,6,52.3,91.3,62.2,44.4,44.5,66.3,62.1,免费评估
8,哥伦比亚大学Columbia University,UnitedStates,7,64.2,68.0,57.4,51.2,67.8,31.0,60.1,免费评估
9,芝加哥大学The University of Chicago,UnitedStates,8,61.8,85.3,52.2,40.6,49.2,38.9,57.2,免费评估
10,牛津大学University of Oxford,UnitedKingdom,2,51.2,56.6,48.9,52.1,68.9,40.3,56.1,免费评估
11,耶鲁大学Yale University,UnitedStates,9,45.7,45.5,59.7,58.0,62.3,35.9,54.8,免费评估
12,"加州大学洛杉矶分校University of California,Los Angeles",UnitedStates,10,27.7,43.4,57.7,51.5,72.2,30.1,52.2,免费评估
13,康奈尔大学Cornell University,UnitedStates,11,38.7,51.3,54.9,47.0,55.5,37.2,50.8,免费评估
14,宾夕法尼亚大学University of Pennsylvania,UnitedStates,12,33.4,34.9,57.9,49.3,67.9,37.0,50.5,免费评估
15,"加利福尼亚大学圣地亚哥分校University of California,San Diego",UnitedStates,13,20.3,36.6,60.3,52.8,64.0,34.1,49.6,免费评估
16,"西雅图华盛顿大学University of Washington,Seattle Campus",UnitedStates,14,22.4,32.5,55.1,51.2,71.3,27.2,48.4,免费评估
17,The Johns Hopkins University,UnitedStates,15,39.9,34.6,42.2,49.9,69.5,28.3,47.4,免费评估
18,旧金山大学University of San Francisco,UnitedStates,16,0.0,41.2,53.7,54.1,60.6,33.1,46.6,免费评估
19,威斯康星大学-麦迪逊分校University of Wisconsin-Madison,UnitedStates,17,32.5,35.9,52.1,39.8,64.2,24.7,45.4,免费评估
20,The University of Tokyo,Japan,1,32.5,14.6,42.5,52.0,73.7,27.7,43.8,免费评估
21,伦敦大学学院University College London,UnitedKingdom,3,29.7,30.4,39.6,44.6,67.1,30.8,43.7,免费评估
22,"密歇根大学安娜堡分校University of Michigan,Ann Arbor",UnitedStates,18,33.9,0.0,60.5,44.6,76.2,24.8,43.4,免费评估
23,Swiss Federal Institute of Technology Zurich,Switzerland,1,31.2,36.6,36.7,44.6,53.9,45.6,43.3,免费评估
24,"The Imperial College of Science, Technology and Medicine",UnitedKingdom,4,15.3,36.9,41.6,39.6,62.5,35.6,42.4,免费评估
25,伊利诺伊大学香槟分校University of Illinois at Urbana-Champaign,UnitedStates,19,31.6,37.4,43.3,36.9,56.1,27.8,41.9,免费评估
26,Kyoto University,Japan,2,31.2,35.1,38.9,36.4,63.0,23.0,41.3,免费评估
27,纽约大学New York University,UnitedStates,20,29.7,32.9,42.2,41.0,55.7,22.6,40.8,免费评估
27,多伦多大学University of Toronto,Canada,1,21.0,17.7,39.0,38.4,79.1,27.0,40.8,免费评估
29,"明尼苏达大学双城校区University of Minnesota,Twin Cities",UnitedStates,21,27.7,16.8,51.1,33.5,65.0,24.9,39.7,免费评估
30,西北大学Northwestern University,UnitedStates,22,16.3,22.8,48.5,37.9,58.1,26.4,38.8,免费评估
31,圣路易斯华盛顿大学Washington University in St Louis,UnitedStates,23,19.6,25.7,39.0,43.7,52.1,24.7,37.6,免费评估
32,Rockefeller University,UnitedStates,24,18.0,61.6,28.9,41.8,20.2,36.0,37.0,免费评估
33,科罗拉多大学波尔得分校University of Colorado Boulder,UnitedStates,25,13.3,31.6,39.6,39.9,44.1,31.8,36.6,免费评估
34,"加利福尼亚大学圣塔芭芭拉分校University of California, Santa Barbara",UnitedStates,26,15.3,36.2,42.7,32.4,40.0,37.0,36.5,免费评估
35,德克萨斯大学奥斯汀分校The University of Texas at Austin,UnitedStates,27,17.1,16.8,45.7,34.6,56.0,24.9,35.8,免费评估
36,杜克大学Duke University,UnitedStates,28,16.3,0.0,46.5,42.1,62.7,22.3,35.2,免费评估
37,University of Paris Sud (Paris 11),France,1,32.1,55.9,16.2,20.0,48.8,25.4,34.9,免费评估
38,马里兰大学University of Maryland-College Park,UnitedStates,29,20.3,20.6,41.5,31.9,51.7,25.9,34.7,免费评估
39,英属哥伦比亚大学University of British Columbia,Canada,2,16.3,19.4,32.4,32.6,64.2,22.8,34.6,免费评估
40,曼彻斯特大学The University of Manchester,UnitedKingdom,5,19.6,33.6,27.7,25.3,56.5,23.7,33.9,免费评估
41,北卡罗来纳州大学教堂山分校University of North Carolina at Chapel Hill,UnitedStates,30,9.4,16.8,39.6,30.8,59.2,22.9,33.5,免费评估
42,Karolinska Institute,Sweden,1,23.6,27.4,32.4,23.2,49.5,35.6,33.4,免费评估
42,Pierre and Marie Curie University - Paris 6,France,2,32.5,19.4,25.1,31.0,59.9,21.5,33.4,免费评估
44,University of Copenhagen,Denmark,1,23.0,19.4,25.9,29.3,58.6,32.3,33.1,免费评估
45,"加利福尼亚大学欧文分校University of California, Irvine",UnitedStates,31,0.0,30.2,36.9,29.5,46.4,26.6,32.2,免费评估
46,南加州大学University of Southern California,UnitedStates,32,0.0,27.4,39.6,26.3,52.1,19.2,31.9,免费评估
47,"加州大学戴维斯分校University of California,Davis",UnitedStates,33,0.0,0.0,47.3,33.9,60.4,25.3,31.8,免费评估
48,The University of Texas Southwestern Medical Center at Dallas,UnitedStates,34,19.6,35.5,30.6,29.5,37.0,21.9,31.6,免费评估
49,宾州州立大学Pennsylvania State University,UnitedStates,35,10.8,0.0,47.1,34.7,54.8,22.1,31.5,免费评估
50,范德堡大学Vanderbilt University,UnitedStates,36,16.3,29.9,32.4,21.9,51.0,18.8,31.4,免费评估
51,卡内基梅隆大学Carnegie Mellon University,UnitedStates,37,33.4,32.5,30.7,16.7,35.1,33.4,30.6,免费评估
51,爱丁堡大学The University of Edinburgh,UnitedKingdom,6,21.7,13.7,27.1,34.8,50.0,24.7,30.6,免费评估
53,Technical University Munich,Germany,1,36.8,22.2,24.6,21.3,47.2,28.8,30.5,免费评估
53,The Hebrew University of Jerusalem,Israel,1,33.9,29.1,25.1,23.0,40.2,28.0,30.5,免费评估
53,Utrecht University,Netherlands,1,24.3,20.6,29.9,26.0,47.3,24.8,30.5,免费评估
56,普渡大学Purdue University,UnitedStates,38,14.3,23.8,28.9,25.6,50.8,20.8,30.2,免费评估
57,墨尔本大学The University of Melbourne,Australia,1,18.0,13.7,24.0,22.7,63.0,27.1,30.1,免费评估
58,匹兹堡大学University of Pittsburgh-Pittsburgh Campus,UnitedStates,39,19.6,0.0,42.2,23.5,60.9,18.0,30.0,免费评估
59,University of Zurich,Switzerland,2,5.4,24.7,25.9,29.2,50.1,25.0,29.9,免费评估
60,University of Munich,Germany,2,27.1,19.7,16.2,28.8,51.4,28.9,29.7,免费评估
61,"罗格斯大学Rutgers, The State University of New Jersey, New Brunswick",UnitedStates,40,10.8,19.4,38.9,26.0,43.2,21.9,29.6,免费评估
62,University of Heidelberg,Germany,3,14.3,26.1,19.1,27.0,49.4,28.4,29.5,免费评估
63,麦吉尔大学McGill University,Canada,3,32.1,0.0,31.5,24.6,57.8,24.5,29.3,免费评估
64,澳大利亚国立大学The Australian National University,Australia,2,14.3,19.8,32.3,24.4,43.1,28.9,29.1,免费评估
65,布朗大学Brown University,UnitedStates,41,15.3,13.7,32.4,28.3,42.9,31.9,29.0,免费评估
65,俄亥俄州立大学Ohio State University,UnitedStates,41,13.3,0.0,40.5,25.5,59.5,17.7,29.0,免费评估
67,University of Oslo,Norway,1,18.8,33.6,17.7,15.9,51.1,25.4,28.9,免费评估
68,伦敦国王学院King's College London,UnitedKingdom,7,13.3,21.7,30.7,17.7,50.9,22.3,28.6,免费评估
69,University of Geneva,Switzerland,3,23.0,29.1,20.5,26.7,37.0,26.9,28.5,免费评估
70,布里斯托大学University of Bristol,UnitedKingdom,8,7.7,16.8,28.9,29.6,45.3,27.3,28.4,免费评估
71,波士顿大学Boston University,UnitedStates,43,12.1,11.9,29.8,26.6,51.2,20.8,28.0,免费评估
72,佛罗里达大学University of Florida,UnitedStates,44,18.0,0.0,37.4,20.0,60.4,17.1,27.9,免费评估
73,Ecole Normale Superieure - Paris,France,3,50.0,24.4,12.4,17.4,27.3,55.0,27.6,免费评估
73,Leiden University,Netherlands,2,18.8,9.7,28.9,22.2,47.6,32.0,27.6,免费评估
73,赫尔大学University of Hull,Finland,1,13.3,16.8,24.0,20.0,52.7,27.7,27.6,免费评估
73,Uppsala University,Sweden,2,18.8,28.3,14.5,22.0,48.1,23.9,27.6,免费评估
77,亚利桑那州立大学Arizona State University,UnitedStates,45,15.3,0.0,29.8,35.9,49.3,20.7,27.4,免费评估
78,Technion-Israel Institute of Technology,Israel,2,21.0,38.8,16.2,16.9,35.3,25.6,26.9,免费评估
79,Arizona State University - Tempe,UnitedStates,46,0.0,20.6,27.1,29.2,43.1,18.6,26.6,免费评估
80,Moscow State University,Russia,1,43.7,34.1,0.0,9.1,48.1,29.0,26.3,免费评估
81,Stockholm University,Sweden,3,25.4,28.3,16.2,19.8,38.2,23.1,26.1,免费评估
82,犹他大学University of Utah,UnitedStates,47,0.0,11.9,30.7,25.9,46.4,23.0,26.0,免费评估
83,Osaka University,Japan,3,9.4,0.0,27.1,28.7,55.2,20.5,25.9,免费评估
84,印第安纳大学伯明顿主校区Indiana University Bloomington,UnitedStates,48,10.8,22.2,27.1,21.1,39.1,19.6,25.7,免费评估
85,University of Basel,Switzerland,4,20.3,16.8,24.9,17.9,37.7,33.3,25.6,免费评估
86,Aarhus University,Denmark,2,12.1,22.8,7.2,23.9,50.8,26.6,25.5,免费评估
86,诺丁汉大学The University of Nottingham,UnitedKingdom,9,12.1,20.6,24.0,17.7,45.8,19.9,25.5,免费评估
86,罗彻斯特大学University of Rochester,UnitedStates,49,26.0,7.9,28.0,22.4,41.5,21.7,25.5,免费评估
