Rank,Institution,Country Region,National Rank,Alumni,Award,HiCi,N&S,PUB,PCP,Total Score,Free
1,哈佛大学Harvard University,USA,1,100.0,100.0,100.0,100.0,100.0,79.2,100.0,免费评估
2,斯坦福大学Stanford University,USA,2,42.9,89.6,80.1,73.6,73.1,55.8,74.7,免费评估
3,"加州大学伯克利分校University of California,Berkeley",USA,3,65.1,79.4,64.9,68.7,68.4,59.0,70.1,免费评估
4,剑桥大学University of Cambridge,UK,1,78.3,96.6,51.3,56.7,67.8,58.5,69.6,免费评估
5,麻省理工学院Massachusetts Institute of Technology,USA,4,69.4,80.7,55.3,71.7,61.7,69.7,69.2,免费评估
6,普林斯顿大学Princeton University,USA,5,53.3,98.0,51.3,47.2,42.9,74.4,62.0,免费评估
7,牛津大学University of Oxford,UK,2,49.7,54.9,56.2,55.0,74.5,46.1,58.9,免费评估
8,加利福尼亚理工学院California Institute of Technology,USA,6,51.0,66.7,39.7,57.3,43.6,100.0,57.8,免费评估
9,哥伦比亚大学Columbia University,USA,7,63.5,65.9,41.0,53.3,68.9,33.3,56.7,免费评估
10,芝加哥大学The University of Chicago,USA,8,59.8,86.3,34.0,42.7,50.2,44.5,54.2,免费评估
11,耶鲁大学Yale University,USA,9,47.6,50.4,44.7,58.4,62.6,37.1,52.8,免费评估
12,"加州大学洛杉矶分校University of California,Los Angeles",USA,10,29.5,47.1,58.0,44.5,71.4,33.4,51.5,免费评估
13,康奈尔大学Cornell University,USA,11,42.0,49.8,41.0,47.0,60.5,40.9,49.0,免费评估
14,"加利福尼亚大学圣地亚哥分校University of California,San Diego",USA,12,19.2,35.5,49.2,57.8,63.5,37.0,47.8,免费评估
15,"西雅图华盛顿大学University of Washington,Seattle Campus",USA,13,21.2,31.6,49.2,52.1,72.6,31.0,47.3,免费评估
16,约翰霍普金斯大学Johns Hopkins University,USA,14,37.7,33.6,38.4,47.0,71.9,31.1,46.0,免费评估
17,伦敦大学学院University College London,UK,3,28.1,36.2,39.7,41.6,73.9,32.2,45.3,免费评估
18,宾夕法尼亚大学University of Pennsylvania,USA,15,31.6,33.8,42.3,39.4,67.7,37.8,44.5,免费评估
