Ranking,University Name,Guardian score,Satisfied overall,Satisfied with teaching,Satisfied with feedback,Student:taff ratio,Spend per student,Entry Tariff,Value added score,Career after 6 mths,Free
82,圣玛丽大学,50.1,84.0,89.0,70.0,22.1,2.29,244,5.1,57,免费评估
82,布鲁内尔大学Brunel University,50.1,75.0,76.0,59.0,20.2,4.32,325,6.7,54,免费评估
84,利兹三一学院,50.0,84.0,88.0,69.0,22.8,2.08,246,2.2,66,免费评估
85,朴茨茅斯大学University of Portsmouth,49.9,84.0,85.0,66.0,20.5,4.94,282,3.3,52,免费评估
86,布拉德福德大学University of Bradford,49.4,83.0,80.0,63.0,17.5,5.16,264,3.8,66,免费评估
87,威斯敏斯特大学University of Westminster,49.0,73.0,75.0,60.0,17.1,3.99,271,7.5,49,免费评估
88,阿尔斯特大学University of Ulster,48.9,82.0,80.0,62.0,17.0,4.07,264,5.6,51,免费评估
89,哥比亚大学University of Cumbria,48.7,70.0,78.0,65.0,15.3,5.6,259,4.3,63,免费评估
90,伯明翰城市大学Birmingham City University,48.4,73.0,78.0,63.0,20.9,5.34,261,5.5,65,免费评估
91,安格里亚鲁斯金大学,47.8,70.0,77.0,67.0,22.7,7.7,252,5.2,50,免费评估
92,金斯顿大学Kingston University,47.5,80.0,81.0,62.0,19.9,4.45,241,7.2,48,免费评估
93,德蒙福特大学De Montfort University,47.3,82.0,82.0,68.0,17.5,3.91,256,4.1,47,免费评估
94,德比大学University of Derby,47.1,79.0,82.0,67.0,20.5,4.05,247,4.9,48,免费评估
94,斯旺西大学Swansea University,47.1,84.0,84.0,64.0,16.5,3.93,311,4.3,56,免费评估
96,约克圣约翰大学York St John University,46.5,81.0,84.0,72.0,21.2,5.84,280,4.0,48,免费评估
97,纽曼大学学院,45.8,83.0,86.0,74.0,17.7,3.53,235,3.3,63,免费评估
97,罗汉普顿大学Roehampton University,45.8,79.0,82.0,60.0,18.8,3.39,258,5.4,54,免费评估
99,格林威治大学The University of Greenwich,45.7,84.0,84.0,72.0,23.3,4.45,209,5.0,50,免费评估
100,伦敦南岸大学London South Bank University,45.3,81.0,82.0,65.0,23.3,3.96,198,6.5,44,免费评估
101,威尔士大学三一圣大卫学院,45.2,78.0,83.0,65.0,18.7,2.74,248,2.3,58,免费评估
102,贝德福德大学University of Bedfordshire,44.5,76.0,81.0,64.0,19.1,6.24,186,4.1,57,免费评估
102,格林多大学Glyndwr University,44.5,74.0,81.0,69.0,22.5,3.65,219,4.3,62,免费评估
102,利兹都会大学Leeds Metropolitan University,44.5,77.0,78.0,62.0,20.6,4.05,267,4.4,51,免费评估
105,伍斯特大学University of Worcester,44.2,78.0,81.0,64.0,21.9,4.45,265,5.7,53,免费评估
106,阿伯泰邓迪大学University of Abertay Dundee,43.2,,,,19.4,2.68,242,4.6,55,免费评估
107,坎特伯雷大学Canterbury Christ Church University,43.1,82.0,84.0,64.0,18.6,3.5,246,4.4,60,免费评估
108,曼彻斯特城市大学Manchester Metropolitan University,42.7,75.0,79.0,63.0,20.6,3.21,270,4.8,52,免费评估
109,圣马克与圣约翰学院,41.7,83.0,86.0,67.0,26.2,2.23,237,4.1,59,免费评估
109,索尔福德大学University of Salford,41.7,78.0,80.0,64.0,23.8,3.52,278,4.3,51,免费评估
111,利物浦约翰摩尔斯大学Liverpool John Moores University,40.6,77.0,77.0,61.0,20.9,4.03,258,5.7,48,免费评估
112,新白金汉大学Buckinghamshire New University,39.4,69.0,75.0,63.0,22.3,5.35,210,3.7,46,免费评估
112,南安普顿索伦特大学Southampton Solent University,39.4,76.0,79.0,67.0,21.5,3.55,262,2.4,42,免费评估
114,纽波特大学University of Wales Newport,39.1,72.0,78.0,69.0,22.5,3.77,249,3.0,51,免费评估
115,东伦敦大学University of East London,36.9,76.0,77.0,63.0,23.3,3.89,197,5.4,43,免费评估
116,波尔顿大学University of Bolton,35.7,78.0,82.0,66.0,20.4,3.16,221,3.0,40,免费评估
117,萨福克大学,35.6,71.0,80.0,67.0,25.4,,232,2.6,53,免费评估
118,西苏格兰大学University of the West of Scotland,34.5,,,,20.1,3.57,239,2.4,54,免费评估
119,伦敦城市大学City University London,29.2,67.0,72.0,53.0,19.7,3.23,216,5.0,39,免费评估
