Ranking,University Name,Average Teaching Score,NSS Teaching,Spend per student,Student:taff ratio,Career prospects,Value added score,Entry Tariff,NSS Feedback,Free
0,,,,,,,,,,免费评估
0,,,,,,,,,,免费评估
0,,,,,,,,,,免费评估
0,,,,,,,,,,免费评估
0,,,,,,,,,,免费评估
0,,,,,,,,,,免费评估
0,,,,,,,,,,免费评估
0,,,,,,,,,,免费评估
0,,,,,,,,,,免费评估
0,,,,,,,,,,免费评估
0,,,,,,,,,,免费评估
1,牛津大学University of Oxford,100.0,91.0,10.0,12.0,80.0,7.1,511.0,68.0,免费评估
2,剑桥大学University of Cambridge,92.9,,9.1,12.0,86.0,6.1,527.0,,免费评估
3,伦敦政治经济学院The London School of Economics and Political Science,84.4,78.0,7.4,13.0,85.0,5.6,471.0,63.0,免费评估
4,华大,81.6,83.0,9.0,14.0,72.0,6.4,450.0,57.0,免费评估
5,圣安德鲁斯大学University of St Andrews,78.4,93.0,5.6,13.0,68.0,7.9,445.0,69.0,免费评估
6,帝国理工学院Imperial College London,78.1,81.0,9.3,10.0,86.0,4.3,473.0,50.0,免费评估
7,伦大学,76.6,84.0,8.0,9.0,78.0,6.0,437.0,59.0,免费评估
8,伦大亚学,74.3,88.0,6.4,11.0,62.0,7.8,367.0,58.0,免费评估
9,爱堡学,73.4,85.0,8.5,13.0,73.0,7.0,427.0,48.0,免费评估
10,拉堡学,72.9,89.0,6.1,17.0,70.0,5.8,361.0,70.0,免费评估
11,约学,72.5,86.0,6.9,13.0,66.0,5.4,426.0,57.0,免费评估
12,兰斯大,71.8,87.0,7.0,13.0,59.0,5.5,376.0,63.0,免费评估
13,巴大,71.1,83.0,5.4,17.0,79.0,6.6,427.0,54.0,免费评估
14,艾斯大,70.9,91.0,5.3,17.0,65.0,7.1,380.0,70.0,免费评估
14,莱特学,70.9,90.0,6.1,15.0,68.0,6.2,359.0,71.0,免费评估
16,杜大,69.2,86.0,4.7,15.0,73.0,5.9,445.0,59.0,免费评估
17,邓大,67.8,85.0,5.7,14.0,71.0,6.0,370.0,62.0,免费评估
18,阿顿学,67.3,82.0,5.6,17.0,75.0,6.8,350.0,61.0,免费评估
19,诺汉学,67.2,84.0,6.7,14.0,73.0,5.8,406.0,49.0,免费评估
20,格斯大,67.0,87.0,5.7,13.0,73.0,5.3,394.0,59.0,免费评估
21,伦大国学,66.5,86.0,7.0,12.0,77.0,6.1,406.0,56.0,免费评估
22,萨大,66.4,81.0,6.7,16.0,75.0,5.8,338.0,51.0,免费评估
23,阿丁学,66.1,87.0,5.0,14.0,75.0,,347.0,63.0,免费评估
24,曼斯大,66.0,81.0,8.5,13.0,64.0,5.6,412.0,50.0,免费评估
25,南普大,65.8,87.0,5.6,16.0,70.0,7.2,391.0,58.0,免费评估
26,伦城大,65.4,76.0,6.5,18.0,72.0,6.8,317.0,53.0,免费评估
27,利物浦大学The University of Liverpool,65.1,83.0,7.3,15.0,65.0,5.4,385.0,55.0,免费评估
28,肯大,64.8,86.0,5.5,16.0,67.0,6.0,305.0,67.0,免费评估
