Rank,Institution,Country Region,National Rank,Alumni,Award,HiCi,N&S,PUB,PCP,Total Score,Free
1,哈佛大学Harvard University,UnitedStates,1,100.0,100.0,100.0,100.0,100.0,70.5,100.0,免费评估
2,斯坦福大学Stanford University,UnitedStates,2,41.2,78.4,88.4,70.2,70.3,48.6,72.6,免费评估
3,麻省理工学院Massachusetts Institute of Technology,UnitedStates,3,72.8,81.9,67.9,70.6,60.6,63.7,72.0,免费评估
4,"加州大学伯克利分校University of California,Berkeley",UnitedStates,4,68.3,79.3,70.0,69.5,69.4,53.1,71.9,免费评估
5,剑桥大学University of Cambridge,UnitedKingdom,1,87.1,96.7,54.5,54.1,65.1,52.0,70.0,免费评估
6,加利福尼亚理工学院California Institute of Technology,UnitedStates,5,52.6,68.8,57.3,65.0,46.5,100.0,64.7,免费评估
7,普林斯顿大学Princeton University,UnitedStates,6,56.7,87.1,62.1,43.8,43.4,64.2,61.2,免费评估
8,哥伦比亚大学Columbia University,UnitedStates,7,69.6,67.4,57.1,50.8,67.5,31.0,60.4,免费评估
9,芝加哥大学The University of Chicago,UnitedStates,8,65.0,83.9,52.0,40.4,50.9,39.1,57.5,免费评估
10,牛津大学University of Oxford,UnitedKingdom,2,55.5,57.6,48.9,49.7,69.5,40.0,56.4,免费评估
11,耶鲁大学Yale University,UnitedStates,9,49.6,44.9,59.5,57.4,61.6,35.5,54.8,免费评估
12,"加州大学洛杉矶分校University of California,Los Angeles",UnitedStates,10,30.0,42.6,57.5,53.1,73.6,30.3,53.0,免费评估
13,康奈尔大学Cornell University,UnitedStates,11,42.0,51.1,54.5,48.3,56.4,36.9,51.5,免费评估
14,宾夕法尼亚大学University of Pennsylvania,UnitedStates,12,36.3,34.3,57.7,48.8,67.5,36.5,50.4,免费评估
15,"加利福尼亚大学圣地亚哥分校University of California,San Diego",UnitedStates,13,15.6,35.8,61.2,52.4,65.6,34.5,49.5,免费评估
16,"西雅图华盛顿大学University of Washington,Seattle Campus",UnitedStates,14,24.3,31.7,55.0,51.9,72.4,27.3,48.8,免费评估
17,旧金山大学University of San Francisco,UnitedStates,15,0.0,40.1,53.5,54.2,62.0,33.9,46.7,免费评估
18,The Johns Hopkins University,UnitedStates,16,43.2,32.1,42.1,47.9,65.6,26.8,45.9,免费评估
19,威斯康星大学-麦迪逊分校University of Wisconsin-Madison,UnitedStates,17,35.3,35.4,52.0,39.7,64.2,24.6,45.6,免费评估
20,伦敦大学学院University College London,UnitedKingdom,3,32.2,32.1,39.5,46.1,68.0,31.2,44.8,免费评估
21,The University of Tokyo,Japan,1,35.3,14.1,42.1,52.7,75.8,28.3,44.6,免费评估
22,"密歇根大学安娜堡分校University of Michigan,Ann Arbor",UnitedStates,18,36.7,0.0,60.4,45.0,77.7,25.1,44.1,免费评估
23,Swiss Federal Institute of Technology Zurich,Switzerland,1,33.8,36.1,36.4,43.6,53.8,46.1,43.2,免费评估
24,"The Imperial College of Science, Technology and Medicine",UnitedKingdom,4,16.6,37.2,41.5,39.6,62.7,34.5,42.6,免费评估
25,伊利诺伊大学香槟分校University of Illinois at Urbana-Champaign,UnitedStates,19,34.3,36.5,43.9,38.2,57.0,27.4,42.5,免费评估
26,多伦多大学University of Toronto,Canada,1,22.8,19.2,38.9,40.6,79.5,27.2,41.9,免费评估
27,Kyoto University,Japan,2,33.8,34.7,39.5,35.5,62.2,22.7,41.2,免费评估
28,"明尼苏达大学双城校区University of Minnesota,Twin Cities",UnitedStates,20,30.0,16.2,51.0,36.8,66.4,25.2,40.8,免费评估
29,纽约大学New York University,UnitedStates,21,32.2,24.4,42.1,39.4,55.4,22.0,38.8,免费评估
30,西北大学Northwestern University,UnitedStates,22,17.6,22.1,48.4,37.7,57.8,26.2,38.7,免费评估
31,圣路易斯华盛顿大学Washington University in St Louis,UnitedStates,23,21.2,25.9,38.9,42.6,54.4,25.1,38.1,免费评估
32,科罗拉多大学波尔得分校University of Colorado Boulder,UnitedStates,24,14.4,30.7,39.5,42.2,44.8,32.0,37.2,免费评估
33,Rockefeller University,UnitedStates,25,19.5,58.4,28.9,42.5,21.5,37.7,37.1,免费评估
33,"加利福尼亚大学圣塔芭芭拉分校University of California, Santa Barbara",UnitedStates,25,16.6,35.1,42.7,34.8,40.6,36.8,37.1,免费评估
35,杜克大学Duke University,UnitedStates,27,17.6,0.0,47.0,40.9,62.5,22.0,35.1,免费评估
35,德克萨斯大学奥斯汀分校The University of Texas at Austin,UnitedStates,27,18.6,16.6,45.6,31.7,55.2,24.1,35.1,免费评估
37,英属哥伦比亚大学University of British Columbia,Canada,2,17.6,18.9,32.3,31.8,65.9,23.4,34.9,免费评估
38,曼彻斯特大学The University of Manchester,UnitedKingdom,5,21.2,33.9,28.0,27.7,56.6,23.8,34.8,免费评估
38,马里兰大学University of Maryland-College Park,UnitedStates,29,22.0,19.9,41.5,31.0,52.8,25.7,34.8,免费评估
40,University of Paris Sud (Paris 11),France,1,32.2,53.9,16.1,20.3,49.0,24.8,34.6,免费评估
41,Pierre and Marie Curie University - Paris 6,France,2,35.4,23.5,25.0,30.1,59.4,21.6,34.3,免费评估
42,北卡罗来纳州大学教堂山分校University of North Carolina at Chapel Hill,UnitedStates,30,10.2,16.2,39.5,31.8,60.7,23.2,34.0,免费评估
43,University of Copenhagen,Denmark,1,25.0,24.1,25.5,26.3,57.8,34.5,33.7,免费评估
44,Karolinska Institute,Sweden,1,25.6,27.2,32.3,21.3,50.5,37.3,33.5,免费评估
45,宾州州立大学Pennsylvania State University,UnitedStates,31,11.8,0.0,46.2,36.9,55.5,22.2,32.1,免费评估
46,南加州大学University of Southern California,UnitedStates,32,0.0,26.7,39.5,26.1,53.2,19.6,32.0,免费评估
47,Technical University Munich,Germany,1,39.9,23.5,25.0,21.9,48.1,31.8,31.8,免费评估
48,"加州大学戴维斯分校University of California,Davis",UnitedStates,33,0.0,0.0,47.9,33.5,60.2,24.9,31.7,免费评估
48,"加利福尼亚大学欧文分校University of California, Irvine",UnitedStates,33,0.0,29.3,36.8,25.9,48.7,25.9,31.7,免费评估
48,Utrecht University,Netherlands,1,26.3,20.9,29.8,29.0,48.2,25.8,31.7,免费评估
51,The University of Texas Southwestern Medical Center at Dallas,UnitedStates,35,21.2,33.1,31.5,29.4,37.8,21.6,31.6,免费评估
52,范德堡大学Vanderbilt University,UnitedStates,36,17.6,29.5,31.5,22.1,50.5,18.4,31.3,免费评估
53,爱丁堡大学The University of Edinburgh,UnitedKingdom,6,23.5,16.6,27.0,34.2,50.3,23.5,31.2,免费评估
54,University of Munich,Germany,2,29.4,22.8,16.1,28.2,52.4,31.8,30.9,免费评估
55,卡内基梅隆大学Carnegie Mellon University,UnitedStates,37,36.3,32.7,30.6,16.4,33.9,33.5,30.6,免费评估
56,University of Zurich,Switzerland,2,5.9,26.7,25.5,29.4,50.6,25.6,30.5,免费评估
57,The Hebrew University of Jerusalem,Israel,1,36.7,28.1,25.0,20.0,40.7,29.7,30.3,免费评估
57,匹兹堡大学University of Pittsburgh-Pittsburgh Campus,UnitedStates,38,21.2,0.0,42.1,24.2,60.8,18.1,30.3,免费评估
59,"罗格斯大学Rutgers, The State University of New Jersey, New Brunswick",UnitedStates,39,11.8,19.9,39.5,26.5,43.3,21.9,30.1,免费评估
60,墨尔本大学The University of Melbourne,Australia,1,19.5,14.1,25.0,21.1,62.1,26.8,30.0,免费评估
61,普渡大学Purdue University,UnitedStates,40,15.6,23.2,29.8,23.8,50.1,20.5,29.9,免费评估
62,University of Heidelberg,Germany,3,15.6,27.0,19.1,24.1,50.4,30.4,29.6,免费评估
63,俄亥俄州立大学Ohio State University,UnitedStates,41,14.4,0.0,41.1,26.2,59.7,17.9,29.5,免费评估
64,麦吉尔大学McGill University,Canada,3,31.1,0.0,32.3,24.2,58.2,24.5,29.4,免费评估
65,布朗大学Brown University,UnitedStates,42,16.6,13.6,32.3,29.5,42.1,31.7,29.2,免费评估
65,Leiden University,Netherlands,2,20.4,15.4,28.0,22.6,49.4,32.8,29.2,免费评估
67,Uppsala University,Sweden,2,20.4,32.1,14.4,22.4,48.8,25.5,29.0,免费评估
68,伦敦国王学院King's College London,UnitedKingdom,7,14.4,23.0,30.6,17.6,50.4,22.8,28.9,免费评估
69,Ecole Normale Superieure - Paris,France,3,54.2,24.4,12.5,19.4,27.4,57.2,28.7,免费评估
70,澳大利亚国立大学The Australian National University,Australia,2,15.6,12.6,33.9,26.3,43.5,29.2,28.6,免费评估
70,布里斯托大学University of Bristol,UnitedKingdom,8,8.3,17.8,28.4,29.6,45.6,26.7,28.6,免费评估
72,佛罗里达大学University of Florida,UnitedStates,43,19.5,0.0,37.5,19.7,62.1,17.3,28.4,免费评估
73,University of Geneva,Switzerland,3,25.0,28.1,20.4,25.6,36.6,26.5,28.1,免费评估
74,赫尔大学University of Hull,Finland,1,14.4,17.8,23.9,20.8,51.2,29.4,28.0,免费评估
75,University of Oslo,Norway,1,20.4,33.3,17.7,14.9,47.5,24.1,27.9,免费评估
76,波士顿大学Boston University,UnitedStates,44,13.2,11.5,29.8,25.8,50.7,20.6,27.7,免费评估
77,Moscow State University,Russia,1,47.4,34.1,0.0,10.1,46.9,31.2,26.9,免费评估
78,Arizona State University - Tempe,UnitedStates,45,0.0,19.9,27.0,28.8,44.4,18.5,26.7,免费评估
79,犹他大学University of Utah,UnitedStates,46,0.0,11.5,30.6,27.6,47.1,23.3,26.5,免费评估
