Ranking,University English Name,Country/Region,Academic Reputation,Employer Reputation,Faculty Student,International Faculty,International Students,Citations per Faculty,Overall Score,Free
302,Universiti Kebangsaan Malaysia (UKM),Malaysia,40,-,53.9,55,44,-,36.7,免费评估
302,Indian Institute of Technology Kanpur (IITK),India,36.9,49.9,-,-,-,64.2,36.7,免费评估
305,Politecnico di Torino,Italy,32.6,63.7,-,-,45.7,70.7,36.4,免费评估
306,科廷大学Curtin University,Australia,30.7,39,-,100,74.4,33.4,36.3,免费评估
306,Bauman Moscow State Technical University,Russia,-,50.4,100,-,-,-,36.3,免费评估
308,Universidad Austral,Argentina,28.4,61.9,86.7,-,-,-,36.2,免费评估
308,National Yang Ming University,Taiwan,-,-,99.5,-,-,38.9,36.2,免费评估
310,National Taiwan Normal University,Taiwan,37.8,-,59.3,16.9,76.3,-,36.0,免费评估
310,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires (UCA),Argentina,29,85.9,72.6,-,22.4,-,36.0,免费评估
310,伦斯勒理工学院Rensselaer Polytechnic Institute,United States,-,-,-,-,39.9,95.6,36.0,免费评估
313,Indian Institute of Technology Kharagpur (IIT-KGP),India,28.7,50.6,-,-,-,83.9,35.9,免费评估
314,伦敦城市大学City University London,United Kingdom,-,65.5,-,96,100,33.3,35.8,免费评估
315,Nankai University,China,35.5,-,-,-,-,70.3,35.7,免费评估
315,Tongji University,China,35.5,30.8,29.1,68.5,26.8,38.5,35.7,免费评估
315,Université de Liège,Belgium,-,-,-,-,65.5,71.3,35.7,免费评估
318,Xi’an Jiaotong University,China,33.5,-,49.3,23.4,-,38.5,35.6,免费评估
319,Tampere University of Technology,Finland,-,31.1,94.1,55.3,21,-,35.5,免费评估
320,Ben Gurion University of The Negev,Israel,-,-,28.3,76.8,59.6,51.8,35.4,免费评估
321,Universidade Federal do Rio de Janeiro,Brazil,61.6,-,-,-,-,-,35.3,免费评估
321,Universitat Politècnica de Catalunya,Spain,35.1,42.4,50.4,-,33,24.1,35.3,免费评估
323,University of Porto,Portugal,41.7,39.5,-,-,-,54.4,35.2,免费评估
324,怀卡托大学The university of Waikato,New Zealand,-,36.5,-,97.3,79.9,53.1,35.1,免费评估
325,Universitas Indonesia,Indonesia,42.6,54.5,42.4,68.1,-,-,35.0,免费评估
325,维多利亚大学University of Victoria,Canada,-,-,-,82.9,47.2,75.4,35.0,免费评估
327,Université de Montpellier,France,46.8,32.5,-,-,41,39.5,34.8,免费评估
327,赫瑞·瓦特大学Heriot-Watt University,United Kingdom,-,45.5,34.2,98.6,99.6,36.2,34.8,免费评估
329,Tokyo Medical and Dental University (TMDU),Japan,-,-,100,-,-,26.1,34.7,免费评估
330,University of Lisbon,Portugal,42.4,50.7,-,-,23.1,40.8,34.6,免费评估
330,Universiti Sains Malaysia (USM),Malaysia,40.3,34.7,36.8,23.4,25.8,25.9,34.6,免费评估
330,Tilburg University,Netherlands,-,36.9,-,87,37.9,68.3,34.6,免费评估
