Ranking,University English Name,Country/Region,Academic Reputation,Employer Reputation,Faculty Student,International Faculty,International Students,Citations per Faculty,Overall Score,Free
98,"KIT, Karlsruhe Institute of Technology",Germany,57.4,94.8,66,58.4,49.6,58.7,62.8,免费评估
102,Leiden University,Netherlands,78.8,43.9,38.7,71,30.6,69.9,62.7,免费评估
102,西澳大学The University of Western Australia,Australia,71.8,55.2,30.2,99.5,51.9,73.7,62.7,免费评估
104,Utrecht University,Netherlands,74.6,52.5,41.8,59.3,-,76.4,62.4,免费评估
104,University of Science and Technology of China,China,63.4,48.2,60.8,-,-,97.4,62.4,免费评估
106,Sungkyunkwan University (SKKU),South Korea,65.2,98.1,84.6,17.6,23.1,36.9,62.2,免费评估
106,圣路易斯华盛顿大学Washington University in St Louis,United States,53.1,-,99.9,29.9,65.8,69.9,62.2,免费评估
108,Lomonosov Moscow State University,Russia,77.1,69.3,99.7,-,51.9,-,62.1,免费评估
109,Technical University of Denmark,Denmark,34.5,43.8,98.9,98.7,78,74,61.8,免费评估
110,Zhejiang University,China,73.2,80.3,27,-,-,89,61.6,免费评估
111,The Hong Kong Polytechnic University,Hong Kong,63.8,51.6,48.1,100,80.9,59.3,61.4,免费评估
112,Yonsei University,South Korea,70.7,82.9,74.5,-,30.6,33.6,60.5,免费评估
113,University of Oslo,Norway,61,39.6,64,80.3,67.2,56.7,60.0,免费评估
113,University of Groningen,Netherlands,59.6,41.7,67,88.7,98.4,45,60.0,免费评估
115,Nanjing University,China,69,57.6,26.6,59.4,23.1,83.8,59.6,免费评估
115,Nagoya University,Japan,68.2,42,93.9,-,21.5,38.2,59.6,免费评估
117,Aarhus University,Denmark,66.3,52.1,35,68,44.3,75.8,59.5,免费评估
118,"University of California, Santa Barbara (UCSB)",United States,77,-,-,61.5,40.1,100,59.4,免费评估
119,Wageningen University,Netherlands,47.7,31.8,99.5,45.1,88.6,50.8,59.1,免费评估
120,Universidade de S?o Paulo,Brazil,93.3,94.4,30.9,-,-,27,59.0,免费评估
121,Humboldt-Universit?t zu Berlin,Germany,93.9,65.2,-,57.3,39.8,35.1,58.9,免费评估
121,Eindhoven University of Technology,Netherlands,41.8,44.8,99,100,24.7,57.2,58.9,免费评估
123,Freie Universitaet Berlin,Germany,88.4,55.9,-,59.8,50.8,51.8,58.7,免费评估
123,伦敦大学玛丽女王学院Queen Mary University of London,United Kingdom,53.6,45.3,64.7,98.6,99.8,47.7,58.7,免费评估
125,阿德莱德大学The University of Adelaide,Australia,67.4,62.3,29.7,94.5,99.2,48,58.6,免费评估
126,蒙特利尔大学University of Montreal,Canada,69.3,66.2,28.2,93.3,79.9,48.5,58.5,免费评估
127,约克大学University of York,United Kingdom,54.9,54.4,53.2,89.6,74.6,60,58.4,免费评估
128,Universidad Nacional Autónoma de México (UNAM),Mexico,94.3,92.3,49.6,-,-,-,58.3,免费评估
129,兰卡斯特大学University of Lancaster,United Kingdom,48.9,51.5,42.3,91.9,98.1,74.9,57.9,免费评估
130,Hokkaido University,Japan,67.3,49.9,84.4,-,-,38.1,57.8,免费评估
131,Ghent University,Belgium,61.9,43.1,88.7,57.5,23,33.7,57.6,免费评估
131,"University of Maryland, College Park",United States,61.3,33.4,55.5,30.1,33.2,77.3,57.6,免费评估
133,Universiti Malaya (UM),Malaysia,55.7,48,92.2,77.7,70.5,-,57.1,免费评估
133,Aalto University,Finland,45.8,55.9,79.6,81.6,30,57.9,57.1,免费评估
135,Kyushu University,Japan,62.1,53.4,96.5,16.7,22.2,27,56.8,免费评估
136,南加州大学University of Southern California,United States,63,50.2,33.4,44.6,75,69.1,56.7,免费评估
137,"明尼苏达大学双城校区University of Minnesota,Twin Cities",United States,76.8,40.5,-,-,26.3,86.9,56.4,免费评估
138,University of Lausanne,Switzerland,44.8,49.9,89.2,99.4,80.2,31.6,56.3,免费评估
139,Chalmers University of Technology,Sweden,37.7,76,62,83.6,51.9,70.7,56.1,免费评估
140,卡迪夫大学Cardiff University,United Kingdom,54.7,58.1,54.1,69.3,92.4,45,55.7,免费评估
141,Université Pierre et Marie Curie (UPMC),France,63.5,45.6,27.3,27.8,46.9,82.2,55.6,免费评估
141,University of Basel,Switzerland,45.3,35.3,29.1,100,77.8,95.2,55.6,免费评估
141,阿伯丁大学University of Aberdeen,United Kingdom,42.6,47.3,63.7,95.9,97.6,56.1,55.6,免费评估
144,Erasmus University Rotterdam,Netherlands,45,85.7,44.9,63.5,70.6,65.9,55.5,免费评估
145,匹兹堡大学University of Pittsburgh-Pittsburgh Campus,United States,48.2,-,97.4,40.1,25.7,52.9,55.1,免费评估
146,RWTH Aachen University,Germany,69.2,96.9,-,30.9,57.1,44.9,55.0,免费评估
147,Pontificia Universidad Católica de Chile (UC),Chile,89.7,98.3,28.9,-,-,-,54.7,免费评估
148,The Hebrew University of Jerusalem,Israel,56,-,79.5,51.6,-,51.4,54.2,免费评估
149,麦克马斯特大学McMaster University,Canada,51.6,50.8,68.9,93,44.9,37.9,54.1,免费评估
149,埃默里大学Emory University,United States,34.9,-,93,51.2,51.4,72.9,54.1,免费评估
151,National Tsing Hua University,Taiwan,56.8,42.2,-,32.1,-,99.6,53.9,免费评估
152,滑铁卢大学University of Waterloo,Canada,49.7,76.2,-,81.4,74.8,84,53.8,免费评估
152,Indian Institute of Science (IISc) Bangalore,India,42.4,-,69.3,-,-,99.9,53.8,免费评估
154,Université Catholique de Louvain (UCL),Belgium,65.1,62.3,30.2,86.3,61.8,37.8,53.4,免费评估
155,University of Vienna,Austria,74.9,46.7,-,96.9,94.4,-,53.3,免费评估
156,"加利福尼亚大学欧文分校University of California, Irvine",United States,54.9,-,-,51.8,80.2,93.1,53.2,免费评估
157,利物浦大学The University of Liverpool,United Kingdom,46.1,52.3,57.7,83.5,97.1,43.2,53.1,免费评估
158,达特茅斯学院Dartmouth College,United States,31.4,59,86.3,-,44.5,74.3,53.0,免费评估
159,巴斯大学University of Bath,United Kingdom,43.5,78.7,28.5,95,91.7,61.1,52.7,免费评估
160,University of Barcelona,Spain,79.5,66.4,28.4,-,36.1,32.4,52.6,免费评估
160,德克萨斯A&M大学Texas A & M University,United States,68.7,59,-,-,-,83.1,52.6,免费评估
160,密歇根州立大学Michigan State University,United States,63.5,58.2,-,61.8,50.4,62.5,52.6,免费评估
163,Albert-Ludwigs-Universitaet Freiburg,Germany,63.7,-,39,57.3,44.5,54.7,52.2,免费评估
164,Technische Universit?t Berlin (TU Berlin),Germany,61.3,78.7,42.7,39.8,61.8,30,52.1,免费评估
164,埃克塞特大学University of Exeter,United Kingdom,43.2,62.6,38.6,88.3,85.7,60,52.1,免费评估
164,CentraleSupélec,France,-,100,88.5,45.4,92.7,37.1,52.1,免费评估
167,Eberhard Karls Universit?t Tübingen,Germany,56,48,82.3,55.7,28.4,-,51.9,免费评估
168,纽卡斯尔大学Newcastle University,United Kingdom,40.9,58.4,54.8,87.9,93.9,46.6,51.8,免费评估
169,奥塔哥大学University of Otago,New Zealand,57.9,45,-,100,67.9,52.8,51.3,免费评估
170,科罗拉多大学波尔得分校University of Colorado Boulder,United States,51,44,64.8,37.4,-,53.9,51.2,免费评估
171,Hanyang University,South Korea,44.7,63.3,86.2,26.7,41.4,28.8,50.6,免费评估
172,"弗吉尼亚大学University of Virginia,Main Campus",United States,45.3,47.5,63.6,51.2,27.8,54.9,50.5,免费评估
173,Maastricht University,Netherlands,30.2,59.8,48.2,94.9,99.9,62.6,50.3,免费评估
174,National Chiao Tung University,Taiwan,33.3,-,60.2,37.9,55.5,85.8,50.1,免费评估
175,雷丁大学University of Reading,United Kingdom,38.6,52.2,38.2,89,93.8,61.8,50.0,免费评估
176,University College Dublin,Ireland,49.8,60.2,-,93.1,60.7,56.5,49.7,免费评估
177,Georg-August-University Goettingen,Germany,62.5,-,66.1,42.1,32.3,24.3,49.6,免费评估
177,école Normale Supérieure de Lyon,France,49.4,-,100,37.4,27.6,-,49.6,免费评估
177,University of Bergen,Norway,37.9,-,82,86.1,-,53.3,49.6,免费评估
177,University of Twente,Netherlands,29,-,42.1,87.8,70.4,95.6,49.6,免费评估
181,University of Bern,Switzerland,36.1,33.6,27.8,100,39.9,93.7,49.3,免费评估
182,Vrije Universiteit Brussel (VUB),Belgium,33,48.4,96.6,79.3,67.4,-,48.9,免费评估
183,Politecnico di Milano,Italy,57.2,89.6,-,40.1,41.4,57.7,48.8,免费评估
183,Vienna University of Technology,Austria,39.4,67.7,-,65.7,88.1,87.2,48.8,免费评估
185,佛罗里达大学University of Florida,United States,56.8,34.8,62,-,21.1,40.7,48.6,免费评估
185,Indian Institute of Technology Delhi (IITD),India,47.2,75.2,-,-,-,93.2,48.6,免费评估
185,罗彻斯特大学University of Rochester,United States,29.9,-,99.9,31.4,83.9,49.2,48.6,免费评估
187,"University of Illinois, Chicago (UIC)",United States,52.1,41.7,46.8,51.8,48.3,44.8,48.4,免费评估
187,萨塞克斯大学The University of Sussex,United Kingdom,37.4,-,33.3,98.1,97.9,73,48.4,免费评估
189,King Fahd University of Petroleum & Minerals,Saudi Arabia,29.3,40.3,89,100,64.4,31.4,48.3,免费评估
190,Radboud University,Netherlands,38.6,-,50.4,51.8,33.9,78.4,48.2,免费评估
191,Universidade Estadual de Campinas (Unicamp),Brazil,70.5,79.2,-,-,-,33.6,48.0,免费评估
191,University of Cape Town,South Africa,58.1,48.1,26.6,69.3,51.6,42.3,48.0,免费评估
193,University of Technology Sydney,Australia,48.8,81,-,96.7,94.6,37.7,47.8,免费评估
195,贝尔法斯特女王大学Queen's University Belfast,United Kingdom,36.2,55.2,42.7,98.8,94.5,45.3,47.5,免费评估
196,Stockholm University,Sweden,66.3,35.3,-,38.1,-,49.5,47.2,免费评估
196,卡尔加里大学Calgary University,Canada,45,65.9,29.6,80.4,65,46.3,47.2,免费评估
198,西安大略大学University of Western Ontario,Canada,39.9,60.2,-,99.2,56.1,73.5,47.1,免费评估
199,Vrije Universiteit Amsterdam,Netherlands,52.3,50.7,33.3,45,-,56.1,46.8,免费评估
200,Universidad de Chile,Chile,78.6,92.5,-,-,-,-,46.7,免费评估
201,Waseda University,Japan,68.1,84.5,29.2,31.7,37.2,-,46.5,免费评估
202,凯斯西储大学Case Western Reserve University,United States,-,-,96.8,29.9,64.2,59.3,46.4,免费评估
203,Universitat Autònoma de Barcelona,Spain,68.7,37.5,-,22.2,28,42.4,46.3,免费评估
203,范德堡大学Vanderbilt University,United States,37.7,-,100,-,34.5,35.8,46.3,免费评估
203,圣母诺特丹大学University of Notre Dame,United States,33.2,43.7,41,65,22.3,80.1,46.3,免费评估
206,Université Grenoble-Alpes,France,79.2,-,-,-,38.3,36.5,46.1,免费评估
206,Instituto Tecnológico y de Estudios Superiores de Monterrey,Mexico,36,92.6,75.6,94.9,35.3,-,46.1,免费评估
208,Alma Mater Studiorum - University of Bologna,Italy,80.2,54.5,-,-,-,29.8,46.0,免费评估
209,University of Antwerp,Belgium,33.9,33,93.1,67,48.4,22.1,45.8,免费评估
210,Universidad Autónoma de Madrid,Spain,64.4,68,34.7,-,-,26.3,45.7,免费评估
210,Technische Universit?t Dresden,Germany,41.6,67.8,-,72.9,36.2,77,45.7,免费评估
212,Tel Aviv University,Israel,47.7,36.2,-,31.6,-,97,45.6,免费评估
213,Technion - Israel Institute of Technology,Israel,45.2,32.4,-,65.3,-,80.4,45.5,免费评估
214,坎特伯雷大学University of Canterbury,New Zealand,45.7,45.5,-,99,62.6,54.8,45.4,免费评估
214,乔治城大学Georgetown University,United States,40.3,60.9,60.9,38.4,53.2,31.8,45.4,免费评估
216,Keio University,Japan,57.3,73.2,58.9,-,-,-,45.1,免费评估
216,Universite libre de Bruxelles,Belgium,46.2,57.9,29.4,95.1,96,25.7,45.1,免费评估
218,伍伦贡大学University of Wollongong,Australia,31.7,63.1,27.5,99.7,74.7,56.2,44.7,免费评估
219,Indian Institute of Technology Bombay (IITB),India,54.7,79.1,25,-,-,48.5,44.6,免费评估
220,Sciences Po,France,31.4,64.7,84.7,53.2,98,-,44.5,免费评估
221,Université Paris-Sorbonne (Paris IV),France,74.9,68.1,-,26.7,67,-,44.4,免费评估
222,Arizona State University,United States,51.8,31,-,30.4,58.3,70.3,44.2,免费评估
223,Sapienza University of Rome,Italy,76.3,43.8,-,-,-,38.1,44.0,免费评估
223,Queen's University at Kingston,Canada,43.4,62.3,-,76.4,25.6,65.7,44.0,免费评估
225,University of Tsukuba,Japan,45.3,-,77,-,29.3,24.9,43.8,免费评估
226,西蒙弗雷泽大学Simon Fraser University,Canada,31.9,35.6,-,94.9,92.7,82.9,43.6,免费评估
227,King Saud University,Saudi Arabia,34.5,33.4,88.5,98.8,-,-,43.4,免费评估
228,Université Paris 1 Panthéon-Sorbonne,France,71.4,82.5,-,19.2,79.2,-,43.3,免费评估
228,惠灵顿维多利亚大学Victoria University of Wellington,New Zealand,46.6,42.9,-,100,60.9,47.8,43.3,免费评估
228,American University of Beirut (AUB),Lebanon,28.6,84.9,60.2,98.6,69.6,-,43.3,免费评估
231,Rheinische Friedrich-Wilhelms-Universit?t Bonn,Germany,57.9,-,48.3,16.7,34.1,23.5,43.0,免费评估
232,Universit?t Hamburg,Germany,58.8,39.2,42,30.3,27.1,-,42.9,免费评估
233,The University of Arizona,United States,52.1,-,-,21.8,-,67.1,42.8,免费评估
234,University of Turku,Finland,34.5,54.8,87.9,29.5,-,-,42.7,免费评估
235,伦敦大学皇家霍洛威学院Royal Holloway University of London,United Kingdom,-,-,27.2,98.3,99.1,71.5,42.6,免费评估
236,Al-Farabi Kazakh National University,Kazakhstan,42.1,36.5,96.9,30.3,-,-,42.5,免费评估
237,拉夫堡大学Loughborough University,United Kingdom,31.7,60.1,33.8,84.3,58.1,47.9,42.3,免费评估
238,塔夫茨大学Tufts University,United States,-,-,67.8,38,60.1,59.8,42.2,免费评估
239,University Complutense Madrid,Spain,68,72.6,-,-,36.8,-,42.1,免费评估
