Rank,Institution,Country Region,National Rank,Alumni,Award,HiCi,N&S,PUB,PCP,Total Score,Free
55,昆士兰大学The University of Queensland,Australia,2,12.4,0.0,40.8,25.6,64.8,34.9,31.6,免费评估
56,赫尔大学University of Hull,Finland,1,18.3,20.8,30.9,22.6,53.5,34.9,31.5,免费评估
57,University of Munich,Germany,3,25.4,18.9,21.8,31.6,51.7,34.5,31.4,免费评估
58,University of Zurich,Switzerland,2,5.1,23.7,28.9,28.2,53.1,33.6,31.3,免费评估
59,University of Groningen,Netherlands,2,13.4,25.2,28.9,19.5,54.5,35.6,31.1,免费评估
60,University of Geneva,Switzerland,3,26.9,27.9,26.7,27.5,39.9,33.0,31.0,免费评估
61,布里斯托大学University of Bristol,UK,8,7.2,16.1,30.9,33.3,47.7,31.5,30.1,免费评估
62,University of Oslo,Norway,1,27.8,32.2,15.4,18.0,52.7,28.7,29.9,免费评估
63,Uppsala University,Sweden,2,17.6,27.1,18.9,25.0,51.6,29.3,29.8,免费评估
64,"加利福尼亚大学欧文分校University of California, Irvine",USA,34,0.0,28.9,30.9,24.2,46.8,26.8,29.4,免费评估
65,Aarhus University,Denmark,2,11.4,21.8,18.9,24.8,54.5,33.3,29.1,免费评估
66,麦克马斯特大学McMaster University,Canada,3,12.4,18.6,42.3,12.9,45.0,34.3,29.0,免费评估
67,麦吉尔大学McGill University,Canada,4,32.5,0.0,24.4,27.1,60.2,27.1,28.9,免费评估
68,匹兹堡大学University of Pittsburgh-Pittsburgh Campus,USA,35,18.3,0.0,42.3,19.0,60.3,19.9,28.7,免费评估
69,Ecole Normale Superieure - Paris,France,3,48.4,27.6,0.0,18.3,28.3,83.1,28.6,免费评估
69,Ghent University,Belgium,1,5.1,13.1,30.9,17.6,58.5,35.2,28.6,免费评估
71,Mayo Medical School,USA,36,0.0,0.0,55.6,15.2,49.9,37.9,28.5,免费评估
71,Peking University,China,2,11.4,0.0,26.7,27.0,68.4,23.4,28.5,免费评估
