Rank,Institution,Country Region,National Rank,Alumni,Award,HiCi,N&S,PUB,PCP,Total Score,Free
1,哈佛大学Harvard University,UnitedStates,1,100.0,100.0,100.0,100.0,100.0,72.5,100.0,免费评估
2,斯坦福大学Stanford University,UnitedStates,2,40.0,80.7,88.9,68.7,69.4,50.4,72.6,免费评估
3,"加州大学伯克利分校University of California,Berkeley",UnitedStates,3,67.8,79.0,69.7,68.5,68.1,54.7,71.3,免费评估
4,麻省理工学院Massachusetts Institute of Technology,UnitedStates,4,68.0,81.3,68.2,69.7,60.1,65.0,71.1,免费评估
5,剑桥大学University of Cambridge,UnitedKingdom,1,79.1,97.3,54.6,54.0,66.2,53.3,69.6,免费评估
6,加利福尼亚理工学院California Institute of Technology,UnitedStates,5,47.8,67.2,57.4,62.0,45.2,100.0,62.9,免费评估
7,普林斯顿大学Princeton University,UnitedStates,6,52.9,89.2,62.2,45.8,44.0,66.9,61.9,免费评估
8,哥伦比亚大学Columbia University,UnitedStates,7,66.1,66.4,57.4,49.8,68.0,31.9,59.8,免费评估
9,芝加哥大学The University of Chicago,UnitedStates,8,60.9,83.4,52.2,41.9,49.8,39.5,57.1,免费评估
10,牛津大学University of Oxford,UnitedKingdom,2,51.8,55.3,48.9,51.3,69.9,41.2,55.9,免费评估
11,耶鲁大学Yale University,UnitedStates,9,47.5,44.5,59.7,60.7,62.4,36.3,55.4,免费评估
12,"加州大学洛杉矶分校University of California,Los Angeles",UnitedStates,10,27.3,47.4,57.7,51.7,71.2,31.1,52.9,免费评估
13,康奈尔大学Cornell University,UnitedStates,11,38.2,50.2,54.9,45.0,55.2,37.6,50.0,免费评估
14,"加利福尼亚大学圣地亚哥分校University of California,San Diego",UnitedStates,12,20.0,35.8,60.3,55.5,63.4,35.5,49.9,免费评估
15,宾夕法尼亚大学University of Pennsylvania,UnitedStates,13,33.0,34.1,57.9,47.4,66.7,37.7,49.6,免费评估
16,"西雅图华盛顿大学University of Washington,Seattle Campus",UnitedStates,14,22.0,31.8,55.1,52.3,70.8,27.9,48.3,免费评估
17,The Johns Hopkins University,UnitedStates,15,39.3,33.9,42.2,49.7,68.8,27.4,46.9,免费评估
18,旧金山大学University of San Francisco,UnitedStates,16,0.0,40.2,53.7,54.1,59.3,34.1,46.2,免费评估
19,威斯康星大学-麦迪逊分校University of Wisconsin-Madison,UnitedStates,17,32.1,35.0,52.1,39.3,63.3,25.1,44.9,免费评估
20,Swiss Federal Institute of Technology Zurich,Switzerland,1,30.7,35.8,36.7,46.6,54.7,44.4,43.5,免费评估
21,The University of Tokyo,Japan,1,32.1,14.2,42.5,50.0,72.2,27.8,43.0,免费评估
21,伦敦大学学院University College London,UnitedKingdom,3,29.3,29.7,39.6,42.1,67.5,31.3,43.0,免费评估
23,"密歇根大学安娜堡分校University of Michigan,Ann Arbor",UnitedStates,18,33.4,0.0,60.5,42.0,75.7,24.7,42.6,免费评估
24,"The Imperial College of Science, Technology and Medicine",UnitedKingdom,4,15.1,36.1,41.6,39.0,60.4,35.7,41.6,免费评估
25,伊利诺伊大学香槟分校University of Illinois at Urbana-Champaign,UnitedStates,19,31.2,36.5,43.3,35.9,54.2,28.4,41.1,免费评估
26,Kyoto University,Japan,2,30.7,37.5,38.9,35.1,60.2,23.2,40.8,免费评估
27,纽约大学New York University,UnitedStates,20,29.3,32.2,42.2,40.8,55.5,22.8,40.5,免费评估
28,多伦多大学University of Toronto,Canada,1,20.7,17.3,39.0,38.2,77.6,27.4,40.3,免费评估
29,"明尼苏达大学双城校区University of Minnesota,Twin Cities",UnitedStates,21,27.3,16.4,51.1,34.7,64.3,25.5,39.7,免费评估
30,西北大学Northwestern University,UnitedStates,22,16.0,22.2,48.5,39.1,57.5,27.1,38.9,免费评估
31,杜克大学Duke University,UnitedStates,23,16.0,15.0,46.5,42.8,61.6,22.5,38.1,免费评估
32,圣路易斯华盛顿大学Washington University in St Louis,UnitedStates,24,19.3,25.1,39.0,44.2,52.1,24.9,37.5,免费评估
33,科罗拉多大学波尔得分校University of Colorado Boulder,UnitedStates,25,13.1,34.3,39.6,39.2,45.0,33.6,37.3,免费评估
34,Rockefeller University,UnitedStates,26,17.7,60.2,28.9,43.1,20.4,38.1,37.1,免费评估
35,"加利福尼亚大学圣塔芭芭拉分校University of California, Santa Barbara",UnitedStates,27,15.1,35.4,42.7,30.9,39.3,37.2,35.9,免费评估
36,德克萨斯大学奥斯汀分校The University of Texas at Austin,UnitedStates,28,16.9,16.4,45.7,34.9,54.2,25.5,35.4,免费评估
37,Pierre and Marie Curie University - Paris 6,France,1,35.1,27.6,25.1,30.8,59.1,22.8,35.3,免费评估
38,马里兰大学University of Maryland-College Park,UnitedStates,29,20.0,20.1,41.5,31.5,52.6,26.3,34.7,免费评估
39,University of Paris Sud (Paris 11),France,2,31.6,54.7,16.2,19.7,48.7,25.7,34.5,免费评估
40,英属哥伦比亚大学University of British Columbia,Canada,2,16.0,19.0,32.4,31.9,63.6,22.9,34.2,免费评估
41,曼彻斯特大学The University of Manchester,UnitedKingdom,5,19.3,32.8,27.7,26.0,57.0,24.4,34.0,免费评估
42,University of Copenhagen,Denmark,1,22.7,19.0,25.9,30.3,60.2,35.0,33.8,免费评估
43,北卡罗来纳州大学教堂山分校University of North Carolina at Chapel Hill,UnitedStates,30,9.3,16.4,39.6,32.8,58.6,23.5,33.7,免费评估
44,Karolinska Institute,Sweden,1,23.3,26.8,32.4,20.9,49.2,35.9,32.7,免费评估
45,"加利福尼亚大学欧文分校University of California, Irvine",UnitedStates,31,0.0,29.5,36.9,30.7,46.8,27.1,32.4,免费评估
