Ranking,University English Name,Country/Region,Academic Reputation,Employer Reputation,Faculty Student,International Faculty,International Students,Citations per Faculty,Overall Score,Free
1,麻省理工学院Massachusetts Institute of Technology,United States,100.0,100.0,100.0,99.8,95.6,100.0,100.0,免费评估
2,剑桥大学University of Cambridge,United Kingdom,100.0,100.0,99.9,95.6,96.5,97.9,99.4,免费评估
2,帝国理工学院Imperial College London,United Kingdom,99.9,100.0,99.8,100.0,99.7,96.2,99.4,免费评估
4,哈佛大学Harvard University,United States,100.0,100.0,99.7,98.1,83.8,100.0,99.3,免费评估
5,牛津大学University of Oxford,United Kingdom,100.0,100.0,100.0,98.4,95.0,96.6,99.2,免费评估
5,伦敦大学学院University College London,United Kingdom,99.9,99.4,99.0,96.8,100.0,97.4,99.2,免费评估
7,斯坦福大学Stanford University,United States,100.0,100.0,98.5,92.6,74.1,100.0,98.3,免费评估
8,加利福尼亚理工学院California Institute of Technology,United States,99.6,82.3,100.0,90.9,86.0,100.0,97.1,免费评估
9,普林斯顿大学Princeton University,United States,100.0,97.7,98.4,74.2,66.6,99.5,96.6,免费评估
10,耶鲁大学Yale University,United States,100.0,100.0,100.0,93.2,62.7,92.2,96.5,免费评估
11,芝加哥大学The University of Chicago,United States,99.9,96.7,95.3,67.8,66.9,99.2,95.5,免费评估
12,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,99.9,98.6,79.7,100.0,98.1,97.1,95.3,免费评估
13,宾夕法尼亚大学University of Pennsylvania,United States,98.5,96.8,99.9,54.4,67.3,95.9,94.5,免费评估
14,约翰霍普金斯大学Johns Hopkins University,United States,96.1,74.9,100.0,92.3,67.6,99.9,94.1,免费评估
14,哥伦比亚大学Columbia University,United States,100.0,99.9,95.4,,86.0,98.6,94.1,免费评估
16,伦敦国王学院King's College London,United Kingdom,95.5,93.5,90.3,94.0,98.1,87.3,92.9,免费评估
17,爱丁堡大学The University of Edinburgh,United Kingdom,99.8,98.2,79.4,90.3,97.5,87.9,92.8,免费评估
17,Ecole Polytechnique Fédérale de Lausanne,Switzerland,89.8,90.3,94.4,100.0,100.0,94.0,92.8,免费评估
19,康奈尔大学Cornell University,United States,99.7,96.4,75.2,92.6,65.6,99.7,92.6,免费评估
20,多伦多大学University of Toronto,Canada,100.0,96.8,78.8,96.9,88.6,87.4,92.4,免费评估
21,麦吉尔大学McGill University,Canada,99.3,96.4,90.2,80.1,90.7,76.6,91.5,免费评估
22,National University of Singapore,Singapore,100.0,100.0,92.1,100.0,94.9,63.8,91.1,免费评估
23,"密歇根大学安娜堡分校University of Michigan,Ann Arbor",United States,99.8,90.2,85.0,61.9,,97.2,90.3,免费评估
24,"Ecole normale supérieure, Paris",France,90.3,74.6,98.1,79.0,63.7,98.4,90.2,免费评估
25,澳大利亚国立大学The Australian National University,Australia,99.6,95.8,76.9,100.0,96.4,74.2,89.7,免费评估
25,杜克大学Duke University,United States,95.5,85.0,99.8,,41.8,99.5,89.7,免费评估
27,"University of California, Berkeley",United States,100.0,100.0,52.4,96.8,81.9,99.6,89.5,免费评估
28,The University of Hong Kong,Hong Kong,99.3,96.7,89.1,100.0,98.4,57.2,88.8,免费评估
29,布里斯托大学University of Bristol,United Kingdom,93.7,99.1,82.5,84.7,82.2,80.1,88.5,免费评估
30,曼彻斯特大学The University of Manchester,United Kingdom,99.4,100.0,74.4,84.1,96.3,65.3,86.9,免费评估
31,The University of Tokyo,Japan,100.0,99.8,91.3,,,81.6,86.7,免费评估
31,Seoul National University,South Korea,99.0,96.8,85.6,44.9,59.9,74.4,86.7,免费评估
33,墨尔本大学The University of Melbourne,Australia,99.8,100.0,48.7,79.6,97.0,89.1,86.5,免费评估
