Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:taff ratio,Spend per student,Entry Tariff,Value added score,Career after 6 mths,Free
1,剑桥大学University of Cambridge,100.0,87.8,90.6,71.2,11.0,9.9,229.8,5.6,88.6,免费评估
2,牛津大学University of Oxford,98.1,88.4,91.6,69.0,10.3,9.9,219.9,6.7,83.7,免费评估
3,圣安德鲁斯大学University of St Andrews,94.5,94.9,95.5,83.7,11.6,5.9,204.0,7.1,83.2,免费评估
4,杜伦大学Durham University,84.2,89.7,88.8,74.9,14.5,5.3,201.0,6.7,83.2,免费评估
5,巴斯大学University of Bath,81.9,88.7,87.9,70.6,15.7,6.4,182.1,6.9,85.1,免费评估
6,拉夫堡大学Loughborough University,81.0,89.2,89.2,73.8,14.2,6.9,157.4,5.8,84.4,免费评估
6,帝国理工学院Imperial College London,81.0,84.1,85.2,65.1,11.3,8.5,221.5,5.9,89.3,免费评估
8,华威大学The University of Warwick,80.9,88.7,89.1,73.6,12.9,8.2,185.3,5.9,80.0,免费评估
9,兰卡斯特大学Lancaster University,80.8,89.7,89.1,73.4,13.0,8.1,158.2,4.7,82.8,免费评估
10,萨里大学University of Surrey,78.0,90.0,90.5,77.4,15.4,6.1,166.9,6.5,82.4,免费评估
10,伦敦大学学院University College London,78.0,84.2,86.0,66.2,10.4,8.4,193.0,6.7,86.1,免费评估
12,考文垂大学Coventry University,76.7,90.6,92.8,82.3,14.6,5.6,128.3,6.7,80.0,免费评估
13,埃克塞特大学University of Exeter,76.2,89.8,89.8,72.9,16.4,5.1,177.6,6.2,79.9,免费评估
14,利兹大学University of Leeds,75.8,90.1,90.9,73.6,13.2,6.4,167.8,6.7,80.7,免费评估
15,伯明翰大学University of Birmingham,74.5,88.2,90.5,72.6,14.1,7.3,165.6,6.7,85.0,免费评估
15,伦敦政治经济学院The London School of Economics and Political Science,74.5,75.4,81.1,60.9,11.4,8.1,198.0,5.6,83.9,免费评估
17,约克大学The University of York,74.3,89.1,91.1,74.3,14.5,6.3,161.0,4.8,77.3,免费评估
18,东英吉利大学University of East Anglia,74.2,91.4,90.9,72.9,13.2,4.6,154.0,7.4,74.8,免费评估
19,诺丁汉大学University of Nottingham,72.9,89.3,89.7,72.6,13.8,6.9,161.8,6.6,82.5,免费评估
20,萨塞克斯大学University of Sussex,72.5,88.3,87.8,69.8,16.3,7.2,141.2,5.2,86.7,免费评估
21,创意艺术大学University for the Creative Arts,72.2,85.0,87.5,76.8,12.6,9.2,126.0,5.6,53.4,免费评估
22,肯特大学University of Kent,71.7,89.3,88.4,73.2,13.3,5.0,137.6,6.2,81.0,免费评估
23,格拉斯哥大学University of Glasgow,70.9,88.0,90.6,68.4,14.6,6.1,199.9,5.9,81.9,免费评估
24,邓迪大学University of Dundee,70.7,88.5,91.2,75.9,13.2,5.8,163.9,6.6,81.1,免费评估
25,伦敦大学亚非学院SOAS University of London,70.6,88.3,90.6,72.4,11.6,6.4,152.8,6.1,70.7,免费评估
26,赫瑞瓦特大学Heriot Watt University,70.1,88.7,86.1,70.5,16.6,7.6,166.9,5.6,79.5,免费评估
27,布里斯托大学University of Bristol,69.3,86.9,90.8,67.7,13.4,6.4,186.2,6.2,78.7,免费评估
28,曼彻斯特大学The University of Manchester,68.8,83.9,86.1,68.8,13.3,7.7,167.4,4.9,81.5,免费评估
29,雷丁大学University of Reading,68.0,88.6,89.0,73.4,14.4,6.6,138.6,6.5,74.1,免费评估
30,纽卡斯尔大学Newcastle University,67.1,90.3,91.0,74.1,14.6,5.4,161.7,5.2,82.1,免费评估
30,爱丁堡大学The University of Edinburgh,67.1,79.6,83.6,59.5,12.5,8.6,193.4,6.3,73.0,免费评估
32,法尔茅斯大学Falmouth University,67.0,83.5,86.9,77.6,17.7,3.8,122.0,5.6,80.2,免费评估
32,伦敦城市大学City University London,67.0,84.6,86.2,73.4,18.0,7.4,138.3,5.8,82.6,免费评估
34,诺丁汉特伦特大学Nottingham Trent University,66.9,89.7,89.7,82.0,15.8,4.7,135.4,5.1,73.0,免费评估
35,南安普顿大学University of Southampton,66.1,87.1,88.1,69.2,13.2,5.8,151.3,5.9,78.6,免费评估
36,基尔大学Keele University,66.0,93.2,91.8,79.5,13.9,4.7,132.0,3.7,80.1,免费评估
37,朴茨茅斯大学University of Portsmouth,65.9,89.4,88.9,73.6,15.4,5.9,123.4,6.5,72.1,免费评估
38,英国女王大学Queen's University Belfast,64.9,89.9,90.6,75.6,15.6,4.8,153.0,5.8,80.2,免费评估
39,King's College London,64.0,83.8,89.0,66.6,12.0,6.2,172.3,6.1,86.6,免费评估
40,谢菲尔德大学The University of Sheffield,63.3,89.8,89.8,71.3,14.6,5.2,160.3,5.6,81.3,免费评估
40,伦敦大学皇家霍洛威学院Royal Holloway University of London,63.3,88.1,89.0,74.8,14.8,5.5,146.6,4.5,68.3,免费评估
42,Cardiff,63.2,87.2,87.2,69.2,12.9,7.7,149.4,5.4,71.9,免费评估
