Rank,Institution,Country Region,National Rank,Alumni,Award,HiCi,N&S,PUB,PCP,Total Score,Free
1,哈佛大学Harvard University,USA,1,100.0,100.0,100.0,100.0,100.0,75.3,100.0,免费评估
2,斯坦福大学Stanford University,USA,2,41.8,82.8,79.8,71.1,70.9,51.9,72.1,免费评估
3,麻省理工学院Massachusetts Institute of Technology,USA,3,68.4,80.7,60.6,73.6,61.5,67.1,70.5,免费评估
4,"加州大学伯克利分校University of California,Berkeley",USA,4,66.8,79.4,65.3,67.5,68.1,55.9,70.1,免费评估
5,剑桥大学University of Cambridge,UK,1,79.1,96.6,50.8,56.2,66.5,55.2,69.2,免费评估
6,普林斯顿大学Princeton University,USA,5,52.1,88.5,57.1,46.2,44.2,68.1,60.7,免费评估
7,加利福尼亚理工学院California Institute of Technology,USA,6,48.5,66.7,49.3,60.0,44.9,100.0,60.5,免费评估
8,哥伦比亚大学Columbia University,USA,7,65.1,65.9,51.6,55.0,69.1,33.1,59.6,免费评估
9,芝加哥大学The University of Chicago,USA,8,61.4,86.3,48.4,43.0,50.7,41.5,57.4,免费评估
9,牛津大学University of Oxford,UK,2,51.0,54.9,52.8,52.7,72.7,43.0,57.4,免费评估
11,耶鲁大学Yale University,USA,9,48.8,50.4,51.0,61.5,62.9,37.7,55.2,免费评估
12,"加州大学洛杉矶分校University of California,Los Angeles",USA,10,30.2,47.1,52.8,50.9,71.3,31.7,51.9,免费评估
13,康奈尔大学Cornell University,USA,11,37.6,49.8,50.4,46.9,61.0,39.7,50.6,免费评估
14,"加利福尼亚大学圣地亚哥分校University of California,San Diego",USA,12,19.7,35.5,56.1,55.7,65.0,36.5,49.3,免费评估
15,"西雅图华盛顿大学University of Washington,Seattle Campus",USA,13,21.7,31.6,53.0,53.1,71.6,29.0,48.1,免费评估
16,宾夕法尼亚大学University of Pennsylvania,USA,14,32.4,33.8,49.6,44.6,66.9,37.3,47.1,免费评估
17,The Johns Hopkins University,USA,15,38.7,33.6,44.0,47.8,70.2,28.7,47.0,免费评估
18,旧金山大学University of San Francisco,USA,16,0.0,39.9,46.8,56.5,59.9,34.9,45.2,免费评估
19,Swiss Federal Institute of Technology Zurich,Switzerland,1,30.2,35.5,38.4,46.7,55.6,45.8,43.9,免费评估
20,伦敦大学学院University College London,UK,3,28.8,29.5,39.2,40.7,71.6,31.5,43.3,免费评估
21,The University of Tokyo,Japan,1,31.6,14.1,40.6,52.6,73.0,29.2,43.2,免费评估
22,"The Imperial College of Science, Technology and Medicine",UK,4,14.9,35.8,43.7,38.0,62.5,38.0,42.3,免费评估
22,"密歇根大学安娜堡分校University of Michigan,Ann Arbor",USA,17,35.3,0.0,56.2,42.4,77.3,25.6,42.3,免费评估
24,多伦多大学University of Toronto,Canada,1,20.4,17.2,38.8,42.2,80.5,29.6,41.8,免费评估
24,威斯康星大学-麦迪逊分校University of Wisconsin-Madison,USA,18,31.6,34.8,40.2,37.4,63.2,24.5,41.8,免费评估
26,Kyoto University,Japan,2,30.2,37.2,34.4,35.0,61.2,23.8,39.9,免费评估
27,纽约大学New York University,USA,19,28.8,31.9,36.1,42.4,56.6,23.4,39.6,免费评估
28,西北大学Northwestern University,USA,20,15.8,22.1,50.3,39.5,58.2,28.7,39.4,免费评估
28,伊利诺伊大学香槟分校University of Illinois at Urbana-Champaign,USA,20,30.7,36.2,35.8,36.0,54.4,28.5,39.4,免费评估
30,"明尼苏达大学双城校区University of Minnesota,Twin Cities",USA,22,30.2,16.3,47.3,34.5,65.1,26.2,39.3,免费评估
31,杜克大学Duke University,USA,23,15.8,14.9,50.2,40.6,61.9,23.7,38.4,免费评估
32,圣路易斯华盛顿大学Washington University in St Louis,USA,24,19.0,24.9,40.7,44.2,52.1,26.1,37.8,免费评估
33,Rockefeller University,USA,25,17.5,59.8,30.3,44.2,20.8,38.9,37.6,免费评估
34,科罗拉多大学波尔得分校University of Colorado Boulder,USA,26,12.9,34.1,37.1,40.1,46.1,34.8,37.2,免费评估
35,Pierre and Marie Curie University - Paris 6,France,1,34.5,27.4,25.8,30.2,60.0,23.8,35.4,免费评估
36,北卡罗来纳州大学教堂山分校University of North Carolina at Chapel Hill,USA,27,9.1,16.3,40.4,36.3,61.1,25.6,35.2,免费评估
37,英属哥伦比亚大学University of British Columbia,Canada,2,15.8,18.8,34.2,34.0,63.9,24.4,35.1,免费评估
38,曼彻斯特大学The University of Manchester,UK,5,19.0,32.6,28.0,28.2,57.8,25.9,34.7,免费评估
39,德克萨斯大学奥斯汀分校The University of Texas at Austin,USA,28,16.6,16.3,38.6,36.3,55.7,26.0,34.5,免费评估
39,University of Copenhagen,Denmark,1,22.3,18.8,27.1,32.0,61.1,36.2,34.5,免费评估
41,"加利福尼亚大学圣塔芭芭拉分校University of California, Santa Barbara",USA,29,14.9,35.1,38.7,28.8,38.6,36.9,34.3,免费评估
42,University of Paris Sud (Paris 11),France,2,31.1,54.3,16.8,18.5,48.4,26.5,34.2,免费评估
43,马里兰大学University of Maryland-College Park,USA,30,19.7,20.0,31.9,32.5,52.5,26.0,32.7,免费评估
44,墨尔本大学The University of Melbourne,Australia,1,17.5,13.3,29.3,26.7,65.9,29.7,32.6,免费评估
45,爱丁堡大学The University of Edinburgh,UK,6,21.1,24.9,25.8,32.5,51.8,25.8,32.5,免费评估
45,The University of Texas Southwestern Medical Center at Dallas,USA,31,19.0,34.5,30.3,37.2,35.8,22.2,32.5,免费评估
47,Karolinska Institute,Sweden,1,22.9,26.6,24.8,22.4,51.8,37.0,31.9,免费评估
47,"加利福尼亚大学欧文分校University of California, Irvine",USA,32,0.0,29.3,35.0,31.5,46.0,27.8,31.9,免费评估
49,Heidelberg University,Germany,1,13.9,25.3,23.7,27.5,52.2,32.2,31.1,免费评估
49,University of Munich,Germany,1,26.3,19.1,20.3,31.7,51.3,32.1,31.1,免费评估
51,南加州大学University of Southern California,USA,33,0.0,31.7,34.8,22.8,52.3,19.7,31.0,免费评估
52,"罗格斯大学Rutgers, The State University of New Jersey, New Brunswick",USA,34,10.5,18.8,34.5,30.1,49.8,24.5,30.9,免费评估
53,Technical University Munich,Germany,3,35.7,21.6,22.3,23.7,48.6,31.2,30.7,免费评估
54,范德堡大学Vanderbilt University,USA,35,15.8,29.0,28.4,22.8,51.5,18.9,30.6,免费评估
55,"加州大学戴维斯分校University of California,Davis",USA,36,0.0,0.0,41.0,35.1,59.3,26.1,30.4,免费评估
56,University of Zurich,Switzerland,2,5.3,24.0,27.1,29.3,52.1,25.1,30.3,免费评估
57,Utrecht University,Netherlands,1,23.5,20.0,30.0,24.6,47.7,27.0,30.2,免费评估
58,宾州州立大学Pennsylvania State University,USA,37,10.5,0.0,42.3,33.0,54.7,22.6,30.0,免费评估
59,伦敦国王学院King's College London,UK,7,21.7,21.0,27.6,19.3,53.7,24.9,29.7,免费评估
60,普渡大学Purdue University,USA,38,13.9,23.1,27.7,25.8,49.5,22.2,29.5,免费评估
60,Uppsala University,Sweden,2,18.2,27.4,18.4,25.8,49.5,26.7,29.5,免费评估
62,卡内基梅隆大学Carnegie Mellon University,USA,39,32.4,31.6,28.6,15.6,34.4,34.0,29.4,免费评估
63,布里斯托大学University of Bristol,UK,8,7.4,16.3,25.7,34.2,46.3,29.5,28.9,免费评估
64,俄亥俄州立大学Ohio State University,USA,40,12.9,0.0,38.3,25.5,60.6,18.8,28.7,免费评估
65,匹兹堡大学University of Pittsburgh-Pittsburgh Campus,USA,41,19.0,0.0,39.8,19.2,61.9,18.5,28.6,免费评估
66,University of Geneva,Switzerland,3,22.3,28.2,18.9,29.0,37.8,28.3,28.5,免费评估
67,Ecole Normale Superieure - Paris,France,3,50.2,28.0,11.2,16.8,26.8,59.8,28.3,免费评估
67,麦吉尔大学McGill University,Canada,3,31.1,0.0,22.8,27.1,59.4,26.2,28.3,免费评估
69,University of Oslo,Norway,1,18.2,32.6,15.9,16.5,50.0,25.9,28.1,免费评估
70,Ghent University,Belgium,1,5.3,13.3,26.9,19.6,57.1,33.9,28.0,免费评估
70,The Hebrew University of Jerusalem,Israel,1,32.9,28.2,19.6,21.3,37.2,27.8,28.0,免费评估
72,波士顿大学Boston University,USA,42,11.8,11.5,29.9,27.0,50.3,21.9,27.8,免费评估
73,赫尔大学University of Hull,Finland,1,12.9,16.3,24.2,20.0,52.3,29.6,27.5,免费评估
74,Aarhus University,Denmark,2,11.8,22.1,12.3,26.7,51.9,29.8,27.4,免费评估
74,布朗大学Brown University,USA,43,14.9,13.3,26.2,26.7,43.6,32.6,27.4,免费评估
74,澳大利亚国立大学The Australian National University,Australia,2,13.9,19.2,24.8,22.8,45.1,29.1,27.4,免费评估
77,Leiden University,Netherlands,2,18.2,9.4,25.7,23.7,48.4,33.3,27.3,免费评估
78,Osaka University,Japan,3,9.1,0.0,30.9,29.9,54.4,22.3,26.8,免费评估
78,Stockholm University,Sweden,3,24.7,27.4,18.1,20.3,39.9,25.3,26.8,免费评估
