Rank,Institution,Country Region,National Rank,Alumni,Award,HiCi,N&S,PUB,PCP,Total Score,Free
1,哈佛大学Harvard University,USA,1,100.0,100.0,100.0,100.0,100.0,79.6,100.0,免费评估
2,斯坦福大学Stanford University,USA,2,44.5,88.5,76.6,78.6,76.5,56.0,75.6,免费评估
3,剑桥大学University of Cambridge,UK,1,82.3,95.4,56.7,57.6,70.9,59.5,71.8,免费评估
4,麻省理工学院Massachusetts Institute of Technology,USA,3,70.9,83.6,52.5,71.4,64.4,70.3,69.9,免费评估
5,"加州大学伯克利分校University of California,Berkeley",USA,4,65.6,78.4,61.3,67.8,65.1,58.2,68.3,免费评估
6,普林斯顿大学Princeton University,USA,5,55.8,97.9,44.9,47.1,44.2,73.3,61.0,免费评估
7,牛津大学University of Oxford,UK,2,50.8,54.2,61.3,52.6,77.1,46.8,60.0,免费评估
8,哥伦比亚大学Columbia University,USA,6,62.8,67.2,41.8,56.4,71.5,33.7,58.2,免费评估
9,加利福尼亚理工学院California Institute of Technology,USA,7,53.5,67.5,34.5,57.6,45.0,100.0,57.4,免费评估
10,芝加哥大学The University of Chicago,USA,8,59.2,90.1,35.8,42.5,52.0,44.2,55.5,免费评估
11,"加州大学洛杉矶分校University of California,Los Angeles",USA,9,29.2,46.4,55.9,44.9,73.1,32.1,51.2,免费评估
12,康奈尔大学Cornell University,USA,10,43.1,49.1,46.9,47.3,61.6,43.4,50.7,免费评估
12,耶鲁大学Yale University,USA,10,47.1,49.7,44.9,53.4,58.7,35.7,50.7,免费评估
14,"西雅图华盛顿大学University of Washington,Seattle Campus",USA,12,24.9,37.4,54.2,49.1,75.9,31.4,50.0,免费评估
15,"加利福尼亚大学圣地亚哥分校University of California,San Diego",USA,13,19.0,35.1,53.3,53.0,65.4,35.9,47.8,免费评估
16,宾夕法尼亚大学University of Pennsylvania,USA,14,31.3,33.4,46.9,41.7,69.7,39.7,46.4,免费评估
17,伦敦大学学院University College London,UK,3,27.8,35.8,41.8,39.0,78.8,32.6,46.1,免费评估
18,约翰霍普金斯大学Johns Hopkins University,USA,15,37.3,33.2,37.1,43.4,75.7,28.7,45.4,免费评估
19,Swiss Federal Institute of Technology Zurich,Switzerland,1,29.2,35.1,33.2,49.9,58.7,47.5,43.9,免费评估
20,圣路易斯华盛顿大学Washington University in St Louis,USA,16,22.7,24.6,55.0,42.3,53.8,38.6,42.1,免费评估
21,旧金山大学University of San Francisco,USA,17,0.0,39.4,35.8,50.9,63.2,32.0,41.9,免费评估
22,The University of Tokyo,Japan,1,38.3,25.0,25.3,46.0,72.8,29.8,41.5,免费评估
23,多伦多大学University of Toronto,Canada,1,19.7,17.0,35.8,38.9,83.1,31.7,40.9,免费评估
24,帝国理工学院Imperial College London,UK,4,14.4,35.4,35.8,31.0,67.7,39.1,40.1,免费评估
25,西北大学Northwestern University,USA,18,15.2,27.6,48.8,33.3,62.2,31.7,39.9,免费评估
26,杜克大学Duke University,USA,19,15.2,19.0,55.9,35.6,63.9,25.5,39.7,免费评估
27,"密歇根大学安娜堡分校University of Michigan,Ann Arbor",USA,20,34.1,0.0,41.8,41.0,80.8,25.0,39.4,免费评估
28,威斯康星大学-麦迪逊分校University of Wisconsin-Madison,USA,21,32.5,34.3,30.3,32.3,65.0,24.3,38.9,免费评估
29,University of Copenhagen,Denmark,1,21.5,18.6,33.2,37.6,67.8,42.9,38.7,免费评估
30,Rockefeller University,USA,22,16.8,61.4,33.2,42.4,19.5,41.5,37.9,免费评估
30,北卡罗来纳州大学教堂山分校University of North Carolina at Chapel Hill,USA,22,8.8,23.4,45.9,30.2,64.7,34.4,37.9,免费评估
32,纽约大学New York University,USA,24,29.6,31.5,25.3,39.5,60.6,20.8,37.2,免费评估
32,爱丁堡大学The University of Edinburgh,UK,5,27.3,24.6,42.8,30.9,55.9,28.7,37.2,免费评估
34,曼彻斯特大学The University of Manchester,UK,6,18.3,32.2,34.5,30.9,60.0,28.9,37.0,免费评估
35,Kyoto University,Japan,2,31.3,36.7,21.4,31.7,60.8,23.9,36.4,免费评估
36,Sorbonne University,France,1,33.3,27.1,25.3,29.9,64.7,26.2,36.1,免费评估
37,"明尼苏达大学双城校区University of Minnesota,Twin Cities",USA,25,29.2,16.1,34.5,31.2,67.5,23.7,35.9,免费评估
