Rank,Institution,Country Region,National Rank,Alumni,Award,HiCi,N&S,PUB,PCP,Total Score,Free
1,哈佛大学Harvard University,UnitedStates,1,100.0,100.0,100.0,100.0,100.0,69.2,100.0,免费评估
2,"加州大学伯克利分校University of California,Berkeley",UnitedStates,2,67.6,79.3,69.0,70.9,70.6,54.2,72.4,免费评估
3,斯坦福大学Stanford University,UnitedStates,3,40.2,78.4,87.6,68.4,69.7,50.1,72.1,免费评估
4,麻省理工学院Massachusetts Institute of Technology,UnitedStates,4,70.5,80.3,66.8,70.1,61.4,64.5,71.4,免费评估
5,剑桥大学University of Cambridge,UnitedKingdom,1,88.5,92.6,53.9,54.3,65.7,53.1,69.6,免费评估
6,加利福尼亚理工学院California Institute of Technology,UnitedStates,5,50.3,68.8,56.7,64.8,46.9,100.0,64.4,免费评估
7,普林斯顿大学Princeton University,UnitedStates,6,56.4,84.8,61.1,43.3,44.3,65.5,60.8,免费评估
8,哥伦比亚大学Columbia University,UnitedStates,7,70.7,67.4,56.2,47.6,69.9,32.1,60.4,免费评估
9,芝加哥大学The University of Chicago,UnitedStates,8,65.5,83.9,50.9,39.8,50.5,40.0,57.3,免费评估
10,牛津大学University of Oxford,UnitedKingdom,2,56.2,57.6,48.8,49.8,68.5,41.1,56.4,免费评估
11,耶鲁大学Yale University,UnitedStates,9,48.6,44.9,58.5,56.3,62.0,37.0,54.6,免费评估
12,康奈尔大学Cornell University,UnitedStates,10,42.3,51.1,54.3,49.9,59.5,38.1,52.6,免费评估
13,"加州大学洛杉矶分校University of California,Los Angeles",UnitedStates,11,27.2,42.6,56.9,49.2,75.1,31.2,52.2,免费评估
14,"加利福尼亚大学圣地亚哥分校University of California,San Diego",UnitedStates,12,15.1,35.8,60.2,54.6,65.1,37.9,50.0,免费评估
15,宾夕法尼亚大学University of Pennsylvania,UnitedStates,13,32.9,34.3,57.1,46.9,68.6,28.5,49.0,免费评估
16,"西雅图华盛顿大学University of Washington,Seattle Campus",UnitedStates,14,24.4,31.7,53.9,51.6,72.5,28.1,48.7,免费评估
17,威斯康星大学-麦迪逊分校University of Wisconsin-Madison,UnitedStates,15,36.5,35.4,51.9,40.2,66.1,25.7,46.4,免费评估
18,The Johns Hopkins University,UnitedStates,16,43.6,32.1,42.0,49.4,64.0,27.2,46.0,免费评估
18,旧金山大学University of San Francisco,UnitedStates,17,0.0,40.1,53.4,51.8,60.7,33.6,46.0,免费评估
20,The University of Tokyo,Japan,1,33.3,14.1,42.0,52.0,80.4,34.5,45.9,免费评估
21,伦敦大学学院University College London,UnitedKingdom,3,32.9,32.1,39.4,44.6,67.0,31.6,44.4,免费评估
22,"密歇根大学安娜堡分校University of Michigan,Ann Arbor",UnitedStates,18,36.5,0.0,59.8,43.4,79.8,26.3,44.2,免费评估
23,Swiss Federal Institute of Technology Zurich,Switzerland,1,34.1,36.1,36.3,43.6,53.6,47.1,43.4,免费评估
24,Kyoto University,Japan,2,33.7,34.7,38.1,36.0,67.6,31.0,43.1,免费评估
