Rank,Institution,Country Region,National Rank,Alumni,Award,HiCi,N&S,PUB,PCP,Total Score,Free
1,哈佛大学Harvard University,UnitedStates,1,100.0,100.0,100.0,100.0,100.0,72.4,100.0,免费评估
2,剑桥大学University of Cambridge,UnitedKingdom,1,99.8,93.4,53.3,56.6,70.9,66.9,73.6,免费评估
3,斯坦福大学Stanford University,UnitedStates,2,41.1,72.2,88.5,70.9,72.3,65.0,73.4,免费评估
4,"加州大学伯克利分校University of California,Berkeley",UnitedStates,3,71.8,76.0,69.4,73.9,72.2,52.7,72.8,免费评估
5,麻省理工学院Massachusetts Institute of Technology,UnitedStates,4,74.0,80.6,66.7,65.8,64.3,53.0,70.1,免费评估
6,加利福尼亚理工学院California Institute of Technology,UnitedStates,5,59.2,68.6,59.8,65.8,52.5,100.0,67.1,免费评估
7,哥伦比亚大学Columbia University,UnitedStates,6,79.4,60.6,56.1,54.2,69.5,45.4,62.3,免费评估
8,普林斯顿大学Princeton University,UnitedStates,7,63.4,76.8,60.9,48.7,48.5,59.1,60.9,免费评估
9,芝加哥大学The University of Chicago,UnitedStates,8,75.6,81.9,50.3,44.7,56.4,42.2,60.1,免费评估
10,牛津大学University of Oxford,UnitedKingdom,2,64.3,59.1,48.4,55.6,68.4,53.2,59.7,免费评估
11,耶鲁大学Yale University,UnitedStates,9,52.1,44.5,60.3,57.2,63.9,49.3,56.9,免费评估
12,康奈尔大学Cornell University,UnitedStates,10,46.5,52.4,55.0,48.8,66.3,39.8,54.6,免费评估
13,"加利福尼亚大学圣地亚哥分校University of California,San Diego",UnitedStates,11,17.7,34.7,59.8,56.5,64.5,46.6,51.0,免费评估
14,"加州大学洛杉矶分校University of California,Los Angeles",UnitedStates,12,27.3,32.8,56.7,50.1,75.6,34.3,50.6,免费评估
15,宾夕法尼亚大学University of Pennsylvania,UnitedStates,13,35.5,35.1,56.7,42.9,71.8,39.1,50.2,免费评估
16,威斯康星大学-麦迪逊分校University of Wisconsin-Madison,UnitedStates,14,43.0,36.3,52.1,46.3,68.7,29.0,49.2,免费评估
17,"西雅图华盛顿大学University of Washington,Seattle Campus",UnitedStates,15,28.8,32.4,53.9,47.1,73.8,27.2,48.4,免费评估
18,旧金山大学University of San Francisco,UnitedStates,16,0.0,37.6,55.6,57.9,58.8,45.2,47.8,免费评估
19,The Johns Hopkins University,UnitedStates,17,51.4,28.3,41.6,52.2,67.7,24.9,46.9,免费评估
20,The University of Tokyo,Japan,1,36.0,14.4,38.5,52.1,86.5,34.7,46.7,免费评估
21,"密歇根大学安娜堡分校University of Michigan,Ann Arbor",UnitedStates,18,43.0,0.0,61.9,43.0,76.5,30.9,44.9,免费评估
22,Kyoto University,Japan,2,39.7,34.1,34.2,37.0,72.3,31.1,43.8,免费评估
23,"The Imperial College of Science, Technology and Medicine",UnitedKingdom,3,20.8,38.1,40.8,38.2,64.6,40.3,43.7,免费评估
24,多伦多大学University of Toronto,Canada,1,28.1,19.7,39.3,38.9,76.7,41.9,43.1,免费评估
25,伊利诺伊大学香槟分校University of Illinois at Urbana-Champaign,UnitedStates,19,41.6,37.4,44.4,34.1,58.0,26.0,42.8,免费评估
26,伦敦大学学院University College London,UnitedKingdom,4,30.7,32.9,37.7,41.5,60.5,38.8,42.6,免费评估
27,Swiss Federal Institute of Technology Zurich,Switzerland,1,40.2,37.0,35.1,41.1,43.4,52.4,41.7,免费评估
28,圣路易斯华盛顿大学Washington University in St Louis,UnitedStates,20,25.1,26.6,38.5,46.5,53.9,39.9,40.7,免费评估
29,纽约大学New York University,UnitedStates,21,33.8,25.0,43.0,35.3,55.4,26.3,38.8,免费评估
30,Rockefeller University,UnitedStates,22,22.6,59.8,28.3,44.1,24.0,35.9,38.2,免费评估
31,西北大学Northwestern University,UnitedStates,23,21.7,19.3,44.4,33.8,57.6,36.2,37.9,免费评估
32,杜克大学Duke University,UnitedStates,24,20.8,0.0,47.1,45.3,60.8,38.9,37.7,免费评估
32,"明尼苏达大学双城校区University of Minnesota,Twin Cities",UnitedStates,24,36.0,0.0,49.7,35.2,68.4,23.8,37.7,免费评估
34,"加利福尼亚大学圣塔芭芭拉分校University of California, Santa Barbara",UnitedStates,26,0.0,36.0,42.3,39.0,44.1,35.8,36.9,免费评估
35,科罗拉多大学波尔得分校University of Colorado Boulder,UnitedStates,27,16.6,29.8,40.8,36.6,46.3,29.5,36.3,免费评估
36,德克萨斯大学奥斯汀分校The University of Texas at Austin,UnitedStates,28,21.7,17.1,49.1,30.0,54.8,21.7,35.5,免费评估
37,英属哥伦比亚大学University of British Columbia,Canada,2,20.8,19.3,32.4,32.5,60.4,33.9,35.4,免费评估
38,The University of Texas Southwestern Medical Center at Dallas,UnitedStates,29,24.3,33.9,31.4,38.2,37.9,31.0,34.8,免费评估
39,宾州州立大学Pennsylvania State University,UnitedStates,30,14.0,0.0,45.8,37.9,59.9,24.0,33.4,免费评估
39,范德堡大学Vanderbilt University,UnitedStates,30,12.5,30.2,34.2,24.5,49.2,35.6,33.4,免费评估
41,"加州大学戴维斯分校University of California,Davis",UnitedStates,32,0.0,0.0,46.5,34.5,64.0,29.8,32.9,免费评估
41,Utrecht University,Netherlands,1,30.7,21.4,27.2,27.3,55.7,25.9,32.9,免费评估
43,"罗格斯大学Rutgers, The State University of New Jersey, New Brunswick",UnitedStates,33,15.4,20.4,36.9,32.9,47.1,24.1,32.3,免费评估
43,匹兹堡大学University of Pittsburgh-Pittsburgh Campus,UnitedStates,33,25.1,0.0,40.1,25.9,64.3,28.2,32.3,免费评估
45,Karolinska Institute,Sweden,1,30.7,27.8,33.3,19.7,47.3,25.1,32.1,免费评估
46,Pierre and Marie Curie University - Paris 6,France,1,35.7,23.9,23.6,24.2,51.2,30.0,32.0,免费评估
