Rank,Institution,Country Region,National Rank,Alumni,Award,HiCi,N&S,PUB,PCP,Total Score,Free
1,哈佛大学Harvard University,UnitedStates,1,100.0,100.0,100.0,100.0,100.0,73.6,100.0,免费评估
2,剑桥大学University of Cambridge,UnitedKingdom,1,96.3,91.5,53.8,59.5,67.1,66.5,72.6,免费评估
3,斯坦福大学Stanford University,UnitedStates,2,39.7,70.7,88.4,70.0,71.4,65.3,72.5,免费评估
4,"加州大学伯克利分校University of California,Berkeley",UnitedStates,3,70.6,74.5,70.5,72.2,71.9,53.1,72.1,免费评估
5,麻省理工学院Massachusetts Institute of Technology,UnitedStates,4,72.9,80.6,66.6,66.4,62.2,53.6,69.7,免费评估
6,加利福尼亚理工学院California Institute of Technology,UnitedStates,5,57.1,69.1,59.1,64.5,50.1,100.0,66.0,免费评估
7,哥伦比亚大学Columbia University,UnitedStates,6,78.2,59.4,56.0,53.6,69.8,45.8,61.8,免费评估
8,普林斯顿大学Princeton University,UnitedStates,7,61.1,75.3,59.6,43.5,47.3,58.0,58.6,免费评估
8,芝加哥大学The University of Chicago,UnitedStates,7,72.9,80.2,49.9,43.7,54.1,41.8,58.6,免费评估
10,牛津大学University of Oxford,UnitedKingdom,2,62.0,57.9,48.0,54.3,66.0,46.0,57.6,免费评估
11,耶鲁大学Yale University,UnitedStates,9,50.3,43.6,59.1,56.6,63.0,49.3,55.9,免费评估
12,康奈尔大学Cornell University,UnitedStates,10,44.9,51.3,56.0,48.4,65.2,40.1,54.1,免费评估
13,"加利福尼亚大学圣地亚哥分校University of California,San Diego",UnitedStates,11,17.1,34.0,59.6,54.8,65.6,47.1,50.5,免费评估
14,"加州大学洛杉矶分校University of California,Los Angeles",UnitedStates,12,26.4,32.1,57.6,47.5,77.3,34.9,50.4,免费评估
15,宾夕法尼亚大学University of Pennsylvania,UnitedStates,13,34.2,34.4,57.0,41.7,73.6,40.0,50.1,免费评估
