Rank,Institution,Country Region,National Rank,Alumni,Award,HiCi,N&S,PUB,PCP,Total Score,Free
1,哈佛大学Harvard University,UnitedStates,1,100.0,100.0,100.0,100.0,100.0,74.8,100.0,免费评估
2,斯坦福大学Stanford University,UnitedStates,2,39.0,78.7,87.1,67.3,70.1,66.9,73.1,免费评估
3,"加州大学伯克利分校University of California,Berkeley",UnitedStates,3,67.4,77.1,68.4,71.1,69.0,53.2,71.0,免费评估
4,剑桥大学University of Cambridge,UnitedKingdom,1,89.4,91.5,53.8,53.9,65.4,65.5,70.2,免费评估
5,麻省理工学院Massachusetts Institute of Technology,UnitedStates,4,71.0,80.6,65.7,67.9,62.0,54.4,69.5,免费评估
6,加利福尼亚理工学院California Institute of Technology,UnitedStates,5,51.5,69.1,57.1,66.2,47.7,100.0,64.8,免费评估
7,哥伦比亚大学Columbia University,UnitedStates,6,70.6,67.7,55.7,49.1,69.6,46.5,61.7,免费评估
8,普林斯顿大学Princeton University,UnitedStates,7,57.8,85.2,61.6,41.5,45.7,61.4,60.2,免费评估
9,芝加哥大学The University of Chicago,UnitedStates,8,65.8,84.3,49.7,38.6,51.6,41.8,57.0,免费评估
10,牛津大学University of Oxford,UnitedKingdom,2,57.6,57.9,48.9,49.8,66.1,45.7,56.3,免费评估
11,耶鲁大学Yale University,UnitedStates,9,49.8,43.6,57.6,55.7,62.7,49.5,55.2,免费评估
12,康奈尔大学Cornell University,UnitedStates,10,40.5,51.3,54.3,51.7,61.2,39.9,53.1,免费评估
13,"加州大学洛杉矶分校University of California,Los Angeles",UnitedStates,11,23.8,42.8,57.4,50.3,74.5,36.2,52.3,免费评估
14,"加利福尼亚大学圣地亚哥分校University of California,San Diego",UnitedStates,12,15.5,35.9,60.3,53.9,65.2,48.0,50.7,免费评估
15,宾夕法尼亚大学University of Pennsylvania,UnitedStates,13,30.9,34.4,57.6,44.1,69.0,39.8,49.3,免费评估
16,"西雅图华盛顿大学University of Washington,Seattle Campus",UnitedStates,14,25.0,31.8,53.3,48.8,73.7,28.1,48.0,免费评估
17,威斯康星大学-麦迪逊分校University of Wisconsin-Madison,UnitedStates,15,37.5,35.5,52.3,39.8,66.7,28.6,46.7,免费评估
18,旧金山大学University of San Francisco,UnitedStates,16,0.0,36.8,53.8,49.7,59.9,46.7,45.9,免费评估
19,The Johns Hopkins University,UnitedStates,17,44.7,27.8,41.7,49.1,67.1,24.9,45.2,免费评估
20,The University of Tokyo,Japan,1,34.1,14.1,42.9,49.0,79.7,34.1,45.1,免费评估
21,伦敦大学学院University College London,UnitedKingdom,3,30.4,32.2,40.4,45.2,66.0,36.1,44.6,免费评估
22,"密歇根大学安娜堡分校University of Michigan,Ann Arbor",UnitedStates,18,37.5,0.0,60.3,41.4,77.3,31.4,43.8,免费评估
23,Swiss Federal Institute of Technology Zurich,Switzerland,1,35.0,36.3,35.9,41.8,52.6,57.0,43.6,免费评估
24,Kyoto University,Japan,2,34.6,34.9,38.4,34.6,67.3,31.0,42.7,免费评估
25,伊利诺伊大学香槟分校University of Illinois at Urbana-Champaign,UnitedStates,19,36.2,36.6,42.9,35.9,59.7,26.8,42.4,免费评估
26,"The Imperial College of Science, Technology and Medicine",UnitedKingdom,4,18.1,37.4,40.4,35.9,61.7,39.4,41.9,免费评估
27,多伦多大学University of Toronto,Canada,1,24.4,19.3,39.1,35.1,78.2,27.5,40.5,免费评估
28,"明尼苏达大学双城校区University of Minnesota,Twin Cities",UnitedStates,20,31.4,16.3,49.7,35.3,67.5,24.6,40.4,免费评估
29,圣路易斯华盛顿大学Washington University in St Louis,UnitedStates,21,21.9,26.0,39.1,41.3,55.0,40.1,39.5,免费评估
30,西北大学Northwestern University,UnitedStates,22,18.9,18.9,47.0,34.8,59.1,38.5,38.7,免费评估
31,杜克大学Duke University,UnitedStates,23,18.1,0.0,47.0,41.7,63.0,40.0,37.1,免费评估
32,纽约大学New York University,UnitedStates,24,33.2,24.5,39.7,33.1,52.9,25.8,36.9,免费评估
32,Rockefeller University,UnitedStates,24,19.7,58.6,29.0,41.9,21.6,37.6,36.9,免费评估
34,科罗拉多大学波尔得分校University of Colorado Boulder,UnitedStates,26,14.5,30.8,39.1,39.8,45.2,30.6,36.4,免费评估
35,"加利福尼亚大学圣塔芭芭拉分校University of California, Santa Barbara",UnitedStates,27,0.0,35.3,41.7,33.8,42.3,35.2,35.0,免费评估
36,英属哥伦比亚大学University of British Columbia,Canada,2,18.1,18.9,31.6,31.3,64.8,23.7,34.4,免费评估
37,马里兰大学University of Maryland-College Park,UnitedStates,28,22.5,20.0,40.4,28.1,53.6,26.1,34.1,免费评估
38,德克萨斯大学奥斯汀分校The University of Texas at Austin,UnitedStates,29,18.9,16.7,46.5,27.7,54.3,21.6,34.0,免费评估
39,北卡罗来纳州大学教堂山分校University of North Carolina at Chapel Hill,UnitedStates,30,10.9,16.3,39.1,27.0,60.4,28.9,33.4,免费评估
40,Pierre and Marie Curie University - Paris 6,France,1,35.7,23.6,22.9,27.7,59.3,21.7,33.3,免费评估
41,曼彻斯特大学The University of Manchester,UnitedKingdom,5,23.8,18.9,28.1,28.5,58.3,29.9,33.0,免费评估
41,范德堡大学Vanderbilt University,UnitedStates,31,18.1,29.6,31.6,22.1,50.1,36.2,33.0,免费评估
43,University of Copenhagen,Denmark,1,26.8,24.2,26.2,24.8,54.5,33.2,32.7,免费评估
43,University of Paris Sud (Paris 11),France,2,32.5,46.2,14.5,20.1,50.3,23.9,32.7,免费评估
45,宾州州立大学Pennsylvania State University,UnitedStates,32,12.2,0.0,45.9,37.6,56.9,24.1,32.5,免费评估
46,"加利福尼亚大学欧文分校University of California, Irvine",UnitedStates,33,0.0,29.4,37.0,26.1,48.9,32.8,32.4,免费评估
46,南加州大学University of Southern California,UnitedStates,33,0.0,26.8,37.7,27.0,52.8,27.1,32.4,免费评估
48,The University of Texas Southwestern Medical Center at Dallas,UnitedStates,35,21.2,33.2,30.8,27.8,39.1,31.1,32.2,免费评估
49,"加州大学戴维斯分校University of California,Davis",UnitedStates,36,0.0,0.0,46.5,31.0,62.6,29.9,31.8,免费评估
50,Karolinska Institute,Sweden,1,26.8,27.3,31.6,19.4,49.6,25.8,31.7,免费评估
50,匹兹堡大学University of Pittsburgh-Pittsburgh Campus,UnitedStates,37,21.9,0.0,42.3,24.1,62.6,28.7,31.7,免费评估
52,Utrecht University,Netherlands,1,26.8,20.9,28.1,30.5,48.2,25.1,31.5,免费评估
53,爱丁堡大学The University of Edinburgh,UnitedKingdom,6,19.7,16.7,27.1,32.2,50.1,30.5,31.0,免费评估
54,University of Zurich,Switzerland,2,10.9,26.8,24.6,28.5,49.0,32.5,30.9,免费评估
55,"罗格斯大学Rutgers, The State University of New Jersey, New Brunswick",UnitedStates,38,13.4,20.0,40.4,25.8,43.4,23.6,30.4,免费评估
55,University of Munich,Germany,1,32.3,22.9,16.2,24.5,52.5,31.4,30.4,免费评估
57,Technical University Munich,Germany,2,40.1,23.6,25.1,18.1,45.2,30.4,30.2,免费评估
58,佛罗里达大学University of Florida,UnitedStates,39,19.7,0.0,37.0,21.2,64.1,26.4,29.8,免费评估
59,卡内基梅隆大学Carnegie Mellon University,UnitedStates,40,30.4,32.8,30.8,14.6,35.1,31.0,29.6,免费评估
59,澳大利亚国立大学The Australian National University,Australia,1,15.5,12.6,36.3,27.2,44.1,32.2,29.6,免费评估
61,布里斯托大学University of Bristol,UnitedKingdom,7,9.5,17.9,29.0,28.6,46.7,33.7,29.5,免费评估
62,俄亥俄州立大学Ohio State University,UnitedStates,41,15.5,0.0,41.7,20.9,61.3,20.2,29.1,免费评估
63,University of Heidelberg,Germany,3,17.3,27.2,17.8,22.5,49.0,29.5,28.7,免费评估
64,The Hebrew University of Jerusalem,Israel,1,28.9,20.0,24.1,22.6,43.9,28.5,28.6,免费评估
65,伦敦国王学院King's College London,UnitedKingdom,8,14.5,23.1,29.0,15.0,49.2,30.4,28.5,免费评估
65,麦吉尔大学McGill University,Canada,3,25.0,0.0,32.4,22.8,58.6,24.9,28.5,免费评估
65,普渡大学Purdue University,UnitedStates,42,16.4,16.7,29.9,21.9,51.7,20.9,28.5,免费评估
65,University of Oslo,Norway,1,22.5,33.4,17.8,16.1,45.6,29.2,28.5,免费评估
69,布朗大学Brown University,UnitedStates,43,16.4,13.6,31.6,28.6,41.0,30.7,28.4,免费评估
70,Ecole Normale Superieure - Paris,France,3,52.1,24.5,12.6,17.9,27.6,57.1,28.1,免费评估
71,Osaka University,Japan,3,10.9,0.0,26.2,27.8,62.0,28.3,27.8,免费评估
72,Leiden University,Netherlands,2,21.9,15.5,29.0,17.9,47.2,29.1,27.7,免费评估
72,赫尔大学University of Hull,Finland,1,16.4,17.9,21.8,20.7,51.8,29.2,27.7,免费评估
74,波士顿大学Boston University,UnitedStates,44,13.4,11.5,29.9,24.8,51.5,17.9,27.3,免费评估
75,墨尔本大学The University of Melbourne,Australia,2,13.4,14.1,22.9,17.2,58.5,26.7,27.2,免费评估
76,Uppsala University,Sweden,2,22.5,32.2,12.6,17.6,48.3,20.6,27.1,免费评估
77,Moscow State University,Russia,1,47.9,34.2,0.0,8.2,48.7,31.7,26.9,免费评估
77,亚利桑那州立大学Arizona State University,UnitedStates,45,0.0,0.0,29.9,36.5,51.7,25.5,26.9,免费评估
77,罗彻斯特大学University of Rochester,UnitedStates,45,28.9,8.9,27.1,19.4,43.4,35.5,26.9,免费评估
80,犹他大学University of Utah,UnitedStates,47,0.0,11.5,30.8,27.3,47.2,25.9,26.6,免费评估
81,谢菲尔德大学The University of Sheffield,UnitedKingdom,9,20.4,14.1,21.8,23.0,44.6,28.5,26.3,免费评估
82,Nagoya University,Japan,4,25.0,14.1,16.2,22.6,48.1,25.9,26.0,免费评估
83,诺丁汉大学The University of Nottingham,UnitedKingdom,10,13.4,20.0,24.1,15.1,46.4,28.3,25.9,免费评估
84,Tohoku University,Japan,5,16.4,0.0,21.8,22.3,59.7,27.5,25.8,免费评估
85,University of Basel,Switzerland,3,22.5,17.1,22.9,19.4,36.1,35.5,25.6,免费评估
86,密歇根州立大学Michigan State University,UnitedStates,48,10.9,0.0,37.0,19.8,52.4,18.8,25.5,免费评估
87,凯斯西储大学Case Western Reserve University,UnitedStates,49,35.4,11.5,21.8,15.1,41.6,31.3,25.3,免费评估
