rankingName,rankingUrlCode,rankingYear,subject,rankingUrl,csvFileName
TIMES-Subject,times,2010,历史History,https://ranking.promisingedu.com/2010-times-en-undergraduate-history,TIMES_2010_历史History.csv
TIMES-Subject,times,2010,"艺术史,建筑与设计History of Art, Architecture and Design",https://ranking.promisingedu.com/2010-times-en-undergraduate-history_of_art_architecture_and_design,"TIMES_2010_艺术史,建筑与设计History of Art, Architecture and Design.csv"
TIMES-Subject,times,2010,"礼仪，休闲，运动，娱乐，旅游Hospitality, Leisure, Sports, Recreation, Tourism",https://ranking.promisingedu.com/2010-times-en-undergraduate-hospitality_leisure_sports_recreation_tourism,"TIMES_2010_礼仪，休闲，运动，娱乐，旅游Hospitality, Leisure, Sports, Recreation, Tourism.csv"
TIMES-Subject,times,2010,伊比利亚语Iberian Languages,https://ranking.promisingedu.com/2010-times-en-undergraduate-iberian_languages,TIMES_2010_伊比利亚语Iberian Languages.csv
TIMES-Subject,times,2010,意大利语Italian,https://ranking.promisingedu.com/2010-times-en-undergraduate-italian,TIMES_2010_意大利语Italian.csv
TIMES-Subject,times,2010,土地与物业管理Land and Property Management,https://ranking.promisingedu.com/2010-times-en-undergraduate-land_and_property_management,TIMES_2010_土地与物业管理Land and Property Management.csv
TIMES-Subject,times,2010,法律Law,https://ranking.promisingedu.com/2010-times-en-undergraduate-law,TIMES_2010_法律Law.csv
TIMES-Subject,times,2010,图书馆与信息管理Library and Information Management,https://ranking.promisingedu.com/2010-times-en-undergraduate-library_and_information_management,TIMES_2010_图书馆与信息管理Library and Information Management.csv
TIMES-Subject,times,2010,语言学Lingustics,https://ranking.promisingedu.com/2010-times-en-undergraduate-lingustics,TIMES_2010_语言学Lingustics.csv
TIMES-Subject,times,2010,材料技术Materials Technology,https://ranking.promisingedu.com/2010-times-en-undergraduate-materials_technology,TIMES_2010_材料技术Materials Technology.csv
TIMES-Subject,times,2010,数学Mathematics,https://ranking.promisingedu.com/2010-times-en-undergraduate-mathematics,TIMES_2010_数学Mathematics.csv
